"course_code","course_title","credits","description"
"ACL 100","ACL 100","3 CRS",""
"ACL 110","ACL 110","3 CRS",""
"ACL 115","ACL 115","3 CRS",""
"ACL 120","ACL 120","3 CRS",""
"ACL 125","ACL 125","3 CRS",""
"ACL 135","ACL 135","3 CRS",""
"ACL 150","ACL 150","3 CRS",""
"ACL 175","ACL 175","3 CRS",""
"ACL 195","ACL 195","3 CRS",""
"ACL 200","ACL 200","3 CRS",""
"ACL 201","ACL 201","3 CRS",""
"ACL 205","ACL 205","3 CRS",""
"ACL 215","ACL 215","3 CRS",""
"ACL 225","ACL 225","3 CRS",""
"ACL 250","ACL 250","3 CRS",""
"ACL 275","ACL 275","3 CRS",""
"ACL 300","ACL 300","3 CRS",""
"CRT 100","CRT 100","3 CRS",""
"CRT 100.6","CRT 100.6","3 CRS",""
"CRT 120","CRT 120","3 CRS",""
"CRT 125","CRT 125","3 CRS",""
"CRT 150","CRT 150","3 CRS",""
"CRT 196","CRT 196","3 CRS",""
"CRT 200","CRT 200","3 CRS",""
"CRT 210","CRT 210","3 CRS",""
"CRT 220","CRT 220","3 CRS",""
"CRT 245","CRT 245","3 CRS",""
"CRT 250","CRT 250","3 CRS",""
"CRT 275","CRT 275","3 CRS",""
"CRT 295","CRT 295","3 CRS",""
"CRT 300","CRT 300","3 CRS",""
"CRT 310","CRT 310","3 CRS",""
"CRT 350","CRT 350","3 CRS",""
"ESL 49","ESL 49","3 HRS",""
"ESL 54","ESL 54","9 HRS",""
"ESL 94RW","ESL 94RW","9 HRS",""
"ESL 96","ESL 96","6 HRS",""
"LIN 100","LIN 100","3 CRS",""
"LIN 100.6","LIN 100.6","3 CRS",""
"LIN 101","LIN 101","3 CRS",""
"LIN 101.6","LIN 101.6","3 CRS",""
"LIN 110","LIN 110","3 CRS",""
"LIN 125","LIN 125","3 CRS",""
"LIN 130","LIN 130","3 CRS",""
"LIN 140","LIN 140","3 CRS",""
"LIN 150","LIN 150","3 CRS",""
"LIN 200","LIN 200","3 CRS",""
"LIN 201","LIN 201","3 CRS",""
"LIN 210","LIN 210","3 CRS",""
"LIN 220","LIN 220","3 CRS",""
"LIN 240","LIN 240","3 CRS",""
"LIN 250","LIN 250","3 CRS",""
"LIN 300","LIN 300","3 CRS",""
"ACC 122","ACC 122","3 CRS",""
"ACC 150","ACC 150","3 CRS",""
"ACC 222","ACC 222","3 CRS",""
"ACC 231","ACC 231","3 CRS",""
"ACC 241","ACC 241","3 CRS",""
"ACC 242","ACC 242","3 CRS",""
"ACC 330","ACC 330","3 CRS",""
"ACC 331","ACC 331","3 CRS",""
"ACC 350","ACC 350","3 CRS",""
"ACC 360","ACC 360","3 CRS",""
"ACC 370","ACC 370","3 CRS",""
"ACC 430","ACC 430","3 CRS",""
"ACC 451","ACC 451","3 CRS",""
"HIT 103","HIT 103","3 CRS",""
"HIT 106","HIT 106","3 CRS",""
"HIT 107","HIT 107","2 CRS",""
"HIT 108","HIT 108","3 CRS",""
"HIT 110","HIT 110","3 CRS",""
"HIT 111","HIT 111","3 CRS",""
"HIT 112","HIT 112","3 CRS",""
"HIT 203","HIT 203","3 CRS",""
"HIT 204","HIT 204","2 CRS",""
"HIT 206","HIT 206","3 CRS",""
"HIT 207","HIT 207","2 CRS",""
"HIT 208","HIT 208","3 CRS",""
"HIT 209","HIT 209","4 CRS",""
"HIT 210","HIT 210","3 CRS",""
"HIT 215","HIT 215","3 CRS",""
"HIT 332","HIT 332","3 CRS",""
"HIT 333","HIT 333","2 CRS",""
"HIT 334","HIT 334","4 CRS",""
"HIT 421","HIT 421","2 CRS",""
"HIT 422","HIT 422","1 CRS",""
"HIT 423","HIT 423","3 CRS",""
