courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 210,Financial Accounting,,ACCT,,
ACCT 211,Managerial Accounting,,ACCT,,
ACCT 302,Cost Accounting I,,ACCT,,
ACCT 304,Income Tax I,,ACCT,,
ACCT 310,Intermediate Accounting I,,ACCT,,
ACCT 311,Intermediate Accounting II,,ACCT,,
ACCT 322,Ethics and the Accounting Profession,,ACCT,,
ACCT 324,Accounting Information Systems,,ACCT,,
ACCT 404,Income Tax II,,ACCT,,
ACCT 405,Fundamentals of Auditing,,ACCT,,
ACCT 410,Advanced Accounting I,,ACCT,,
ACCT 499,Accounting Internship,,ACCT,,
AENV 101,Foundations of Agricultural and Environmental Sciences,,AENV,,
AENV 130,Environmental and Technological Science,,AENV,,
AENV 201,Current Issues in Agricultural and Environmental Sciences,,AENV,,
AENV 353,Plant and Animal Genetics,,AENV,,
AENV 371,Experimental Designs and Data Analysis,,AENV,,
AENV 381,International Applications in Agricultural & Environmental Sciences,,AENV,,
AENV 384,Internship in Agricultural and Environmental Sciences,,AENV,,
AENV 399,Research in Agricultural & Environmental Sciences,,AENV,,
AGRB 261,Principles of Agricultural and Applied Economics,,AGRB,,
AGRB 382,Agribusiness Management,,AGRB,,
ANSC 111,General Animal Science,,ANSC,,
ANSC 235,Companion Animal Management,,ANSC,,
ANSC 336,Animal Nutrition,,ANSC,,
ANSC 337,Animal Nutrition Lab,,ANSC,,
ANSC 343,Animal Reproduction,,ANSC,,
ANSC 345,Techniques in Animal Production,,ANSC,,
ANSC 360,Horses and Horsemanship,,ANSC,,
ANSC 363,Monogastric Livestock Production,,ANSC,,
ANSC 392,Animal Health,,ANSC,,
ANSC 431,Animal Biotechnology,,ANSC,,
ANSC 483,Ruminant Livestock Production,,ANSC,,
ANSC 496,Animal Breeding,,ANSC,,
ANSC 497,Special Problems in Animal Science,,ANSC,,
ANTH 101,Introduction to Anthropology,,ANTH,,
ANTH 211,Ethnography of U.S. Culture,,ANTH,,
ART 101,Introduction to Art,,ART,,
ART 105,Two-Dimensional Design,,ART,,
ART 106,Three-Dimensional Design,,ART,,
ART 111,Basic Drawing,,ART,,
ART 112,Figure Drawing I,,ART,,
ART 213,Figure Drawing II,,ART,,
ART 221,Art History: General Survey I,,ART,,
ART 222,Art History: General Survey II,,ART,,
ART 287,Art Education Methods: All-Levels,,ART,,
ART 291,Introduction to Black and White Photography,,ART,,
ART 292,Digital Art Photography,,ART,,
ART 293,Street Photography,,ART,,
ART 314,Advanced Drawing,,ART,,
ART 315,Printmaking,,ART,,
ART 317,Illustration I,,ART,,
ART 318,Illustration II,,ART,,
ART 324,Art History: American,,ART,,
ART 325,Art History: Christian,,ART,,
ART 331,Sculpture I,,ART,,
ART 332,Sculpture II,,ART,,
