courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACC 5000,Accounting Research and Data Presentation,"(3, 3)",Accounting,Graduate,
ACC 5050,Intermediate Accounting III,"(3, 3)",Accounting,Graduate,
ACC 5080,Taxation of Business Entities,"(3, 3)",Accounting,Graduate,
ACC 5180,Advanced Issues in Corporate Taxation,"(3, 3)",Accounting,Graduate,
ACC 5210,Advanced Management Accounting in a Global Context,"(3, 3)",Accounting,Graduate,
ACC 5230,International Accounting,"(3, 3)",Accounting,Graduate,
ACC 5240,Sustainability Accounting and Reporting,"(3, 3)",Accounting,Graduate,
ACC 5250,Fundamentals of Business Analytics,"(3, 3)",Accounting,Graduate,
ACC 5260,Advanced Excel and Enterprise Resource Planning Software Analytics for Business,"(3, 3)",Accounting,Graduate,
ACC 5270,Current Issues in Technology and AIS: Innovative AI Solutions for Business and Accounting Professionals,"(3, 3)",Accounting,Graduate,
ACC 5280,Partnerships and S Corporations,"(3, 3)",Accounting,Graduate,
ACC 5310,Advanced Auditing Topics,"(3, 3)",Accounting,Graduate,
ACC 5340,Accounting in the Business Environment,"(3, 3)",Accounting,Graduate,
ACC 5350,Accounting Capstone Seminar,"(3, 3)",Accounting,Graduate,
ACC 5370,Analysis and Design of Accounting Systems,"(3, 3)",Accounting,Graduate,
ACC 5380,Multijurisdictional Taxation,"(3, 3)",Accounting,Graduate,
ACC 5390,Contemporary Issues in Accounting,"(3, 3)",Accounting,Graduate,
ACC 5500,Independent Study,"(1, 4)",Accounting,Graduate,
ACC 5530,5549 - Selected Topics,"(1, 4)",Accounting,Graduate,
ACC 5550,Advanced Governmental and Nonprofit Accounting and Reporting,"(3, 3)",Accounting,Graduate,
ACC 5570,Accounting Systems,"(3, 3)",Accounting,Graduate,
ACC 5580,Tax Research and Communication,"(3, 3)",Accounting,Graduate,
ACC 5590,Advanced Accounting Topics,"(3, 3)",Accounting,Graduate,
ACC 5640,Accounting Regulation,"(3, 3)",Accounting,Graduate,
ACC 5645,Advanced Study in Taxation and Law for Accountants,"(1, 1)",Accounting,Graduate,
ACC 5650,Advanced Study in Business Analysis and Reporting,"(1, 1)",Accounting,Graduate,
ACC 5655,Advanced Study in Tax Compliance and Reporting,"(1, 1)",Accounting,Graduate,
ACC 5660,Auditing Concepts and Applications,"(3, 3)",Accounting,Graduate,
ACC 5665,Advanced Study in Audit and Attestation,"(1, 1)",Accounting,Graduate,
ACC 5670,Advanced Study in Financial Accounting and Regulation,"(1, 1)",Accounting,Graduate,
ACC 5675,Advanced Study in Accounting Information Systems and Controls,"(1, 1)",Accounting,Graduate,
ACC 5680,Wealth and Tax Planning,"(3, 3)",Accounting,Graduate,
ACC 5780,Issues in Taxation,"(3, 3)",Accounting,Graduate,
ACC 5900,Internship,"(3, 6)",Accounting,Graduate,
ACC 5989,Graduate Research,"(1, 9)",Accounting,Graduate,
ACC 5990,Survey of Financial Accounting,"(3, 3)",Accounting,Graduate,
ACC 5999,Thesis,"(6, 6)",Accounting,Graduate,
ANT 5120,Appalachian Culture and Social Organization,"(3, 3)",Anthropology,Graduate,
