courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AAS 99,*,"(0, 0)",,Undergraduate,
HUM 295,10q4 Creativ:Self Expr,"(3, 3)",,Undergraduate,
HUMS 295,10q4 Creativ:Self Expr,"(3, 3)",,Undergraduate,
ENGL 295,10q4 Creativ:Self Expr,"(3, 3)",,Undergraduate,
HUM 295,10q4 Creativity,"(3, 3)",,Undergraduate,
SPAN 504,13th Century Spanish Lit,"(3, 3)",,Graduate,
SPAN 539,14th Century Spanish Lit,"(3, 3)",,Graduate,
SPAN 506,15th Century Spanish Lit,"(3, 3)",,Graduate,
FREN 696,16th Century,"(3, 3)",,Graduate,
ARH 414,16th-C Art/North Europe,"(3, 3)",,Undergraduate,
ARH 514,16th-C Art/North Europe,"(3, 3)",,Graduate,
GER 504,"1770-1830:Lit,Art+Intel","(3, 3)",,Graduate,
ART 528,17-18th Cent Art Italy,"(3, 3)",,Graduate,
ARH 428,17-18th Cent Art Italy,"(3, 3)",,Undergraduate,
ARH 528,17-18th Cent Art Italy,"(3, 3)",,Graduate,
ART 428,17-18th Cent Art Italy,"(3, 3)",,Undergraduate,
FREN 696,17th Century,"(3, 3)",,Graduate,
MCB 391,181 Laboratory Preceptor,"(3, 3)",,Undergraduate,
FREN 696,18th Century,"(3, 3)",,Graduate,
ARH 516,18th Cent European Art,"(3, 3)",,Graduate,
ARH 416,18th Cent European Art,"(3, 3)",,Undergraduate,
FREN 696,19th Century,"(3, 3)",,Graduate,
ARH 517,19th Cent European Art,"(3, 3)",,Graduate,
ARH 417,19th Cent European Art,"(3, 3)",,Undergraduate,
ARH 517,19th Cent European Art,"(3, 3)",,Graduate,
ART 417,19th Cent European Art,"(3, 3)",,Undergraduate,
ARH 417,19th Cent European Art,"(3, 3)",,Undergraduate,
ART 517,19th Cent European Art,"(3, 3)",,Graduate,
ENGL 596,19th Century British Lit,"(3, 3)",,Graduate,
ART 517,19th Cent European Art,"(3, 3)",,Graduate,
ARH 517,19th Cent European Art,"(3, 3)",,Graduate,
ARH 417,19th Cent European Art,"(3, 3)",,Undergraduate,
ART 417,19th Cent European Art,"(3, 3)",,Undergraduate,
HIST 441,19th Century Religion,"(3, 3)",,Undergraduate,
HIST 541,19th Century Religion,"(3, 3)",,Graduate,
HIST 596,19th-Century Europe,"(3, 3)",,Graduate,
HIST 596,19th-Cent U.S. History,"(3, 3)",,Graduate,
PORT 101,1st Semester Portuguese,"(4, 4)",,Undergraduate,
JOUR 420,20th C + News Med Intrpt,"(3, 3)",,Undergraduate,
FREN 696,20th Century,"(3, 3)",,Graduate,
ENGL 566,20th Century Americn Lit,"(3, 3)",,Graduate,
ENGL 566,20th Century Americn Lit,"(3, 3)",,Graduate,
PHIL 264,20th Cent Analytic Philosophy,"(3, 3)",,Undergraduate,
CPLT 596,20th-Cent British Lit,"(3, 3)",,Graduate,
ENGL 596,20th Century British Lit,"(3, 3)",,Graduate,
HUM 251,20th Century Culture,"(3, 3)",,Undergraduate,
DNC 596,20th Cent Dnc Hist/Crit,"(3, 3)",,Graduate,
TAR 596,20th Cent Dnc Hist/Crit,"(3, 3)",,Graduate,
HUMS 475,20th Cent Thry Of Realsm,"(3, 3)",,Undergraduate,
ART 418,20th-Century Art,"(3, 3)",,Undergraduate,
ART 518,20th-Century Art,"(3, 3)",,Graduate,
ARH 418,20th-Century Art,"(3, 3)",,Undergraduate,
ARH 418,20th-Century Art,"(3, 3)",,Undergraduate,
ARH 518,20th-Century Art,"(3, 3)",,Graduate,
ART 418,20th-Century Art,"(3, 3)",,Undergraduate,
ART 518,20th-Century Art,"(3, 3)",,Graduate,
ARH 518,20th-Century Art,"(3, 3)",,Graduate,
HIST 596,20th-Century Europe,"(3, 3)",,Graduate,
ENGL 360,21st Century British Lit,"(3, 3)",,Undergraduate,
LAS 512,Intl Management Services,"(3, 3)",,Graduate,
MGMT 512,Intl Management Services,"(3, 3)",,Graduate,
LAW 512,Intl Management Services,"(3, 3)",,Graduate,
LAS 514,Intl Management Services,"(3, 3)",,Graduate,
ENTR 512,Intl Management Services,"(3, 3)",,Graduate,
MGMT 412,Intl Management Services,"(3, 3)",,Undergraduate,
LAS 412,Intl Management Services,"(3, 3)",,Undergraduate,
LAS 414,Intl Management Services,"(3, 3)",,Undergraduate,
ENTR 412,Intl Management Services,"(3, 3)",,Undergraduate,
MGMT 414,Intl Management Services,"(3, 3)",,Undergraduate,
MGMT 514,Intl Management Services,"(3, 3)",,Graduate,
PORT 102,2nd Semester Portuguese,"(4, 4)",,Undergraduate,
ART 596,3-D Concepts,"(3, 3)",,Graduate,
ART 431,3D Animation,"(3, 3)",,Undergraduate,
ART 498,3d Capstone Seminar,"(3, 3)",,Undergraduate,
ART 496,3d Capstone Seminar,"(3, 3)",,Undergraduate,
ART 237,3D Modeling,"(3, 3)",,Undergraduate,
LAR 531,3d Modeling+Visualizatn,"(3, 3)",,Graduate,
LAR 525,3d Modeling+Visualizatn,"(3, 3)",,Graduate,
LAR 597,3d Modeling+Visualizatn,"(3, 3)",,Graduate,
GAME 562,3D Modeling for Games,"(3, 3)",,Graduate,
GAME 462,3D Modeling for Games,"(3, 3)",,Undergraduate,
MEDP 800,3rd Yr SP Research Elect COMP,"(1, 8)",,Medicine,
PRS 407,4th Year Persian I,"(3, 3)",,Undergraduate,
PRS 507,4th Year Persian I,"(3, 3)",,Graduate,
PRS 508,4th Year Persian II,"(3, 3)",,Graduate,
PRS 408,4th Year Persian II,"(3, 3)",,Undergraduate,
TURK 507,4th Year Turkish I,"(3, 3)",,Graduate,
TURK 407,4th Year Turkish I,"(3, 3)",,Undergraduate,
MEDP 800,4th-Year Research Project,"(1, 10)",,Medicine,
TURK 508,4th-Year Turkish II,"(3, 3)",,Graduate,
TURK 408,4th-Year Turkish II,"(3, 3)",,Undergraduate,
MNE 226,A Balanced Future,"(3, 3)",,Undergraduate,
GEOS 226,A Balanced Future,"(3, 3)",,Undergraduate,
ENVS 226,A Balanced Future,"(3, 3)",,Undergraduate,
MIN 226,A Balanced Future,"(3, 3)",,Undergraduate,
MCB 195,History-Genetics+Society,"(1, 1)",,Undergraduate,
LAW 657,Case Stdy in Patent Litigation,"(1, 1)",,Law,
AME 170,A Century of Flight: Airplanes,"(3, 3)",,Undergraduate,
HPS 556,Global Indigenous Research,"(3, 3)",,Graduate,
HPS 456,Global Indigenous Research,"(3, 3)",,Undergraduate,
AEC 549,A Ec549x,"(3, 3)",,Graduate,
EDL 200,A Global Perspect/School,"(3, 3)",,Undergraduate,
HIST 485,History of Migrations,"(3, 3)",,Undergraduate,
MENA 485,History of Migrations,"(3, 3)",,Undergraduate,
HIST 585,History of Migrations,"(3, 3)",,Graduate,
GWS 585,History of Migrations,"(3, 3)",,Graduate,
MENA 585,History of Migrations,"(3, 3)",,Graduate,
RSSS 304,Hist Soviet+Post Svt Flm,"(3, 3)",,Undergraduate,
MENA 277,People's History Middle East,"(3, 3)",,Undergraduate,
HIST 277,People's History Middle East,"(3, 3)",,Undergraduate,
CLAS 304,A Personal Odyssey,"(3, 3)",,Undergraduate,
EHS 525,PH Lens to Climate Change,"(3, 3)",,Graduate,
EHS 425,PH Lens to Climate Change,"(3, 3)",,Undergraduate,
ASTR 196,Astronomical Problem Solving,"(1, 1)",,Undergraduate,
GEOS 195,A Sense of Place,"(1, 1)",,Undergraduate,
MEDP 890,A Study in COVID-19 Pandemic,"(1, 4)",,Medicine,
PED 896,Surv Interdisc Ped Pulm,"(1, 16)",,Medicine,
PED 696,Interdiscip Ped Pulm Isu,"(1, 17)",,Graduate,
NSC 311,Sys Approach/Obesity Prevent,"(3, 3)",,Undergraduate,
LING 650,A-Morphous Morphology,"(2, 2)",,Graduate,
AME 333,Ame Instrumentation,"(3, 3)",,Undergraduate,
AAS 1,AAS Lower Division Transfer,"(3, 3)",,Undergraduate,
AAS 3,AAS Upper Division Transfer,"(3, 3)",,Undergraduate,
SURG 848,Abdominal Transplantation,"(4, 4)",,Medicine,
OPTI 596,Aberrated Imaging+Propgt,"(3, 3)",,Graduate,
OPTI 514,Aberration Theory,"(3, 3)",,Graduate,
PSYC 418,Abnormal Psychology,"(3, 3)",,Undergraduate,
PSYV 381,Abnormal Psychology,"(3, 3)",,Undergraduate,
PSYC 322,Abnormal Psychology,"(3, 3)",,Undergraduate,
PSYC 518,Abnormal Psychology,"(3, 3)",,Graduate,
PSYC 214,Abnormal Psychology,"(3, 3)",,Undergraduate,
PSY 381,Abnormal Psychology,"(3, 3)",,Undergraduate,
ARC 571,[ABouT] Journal,"(3, 3)",,Graduate,
ARC 471,[ABouT] Journal,"(3, 3)",,Undergraduate,
ABT 1,ABT Lower Division Transfer,"(3, 3)",,Undergraduate,
ABT 3,ABT Upper Division Transfer,"(3, 3)",,Undergraduate,
BE 597,Academic & Career Preparation,"(1, 1)",,Graduate,
PSY 197,Acad+Career Success Psyc,"(1, 1)",,Undergraduate,
MGMT 696,Acad+Prof Dev Smnr (Ksa),"(1, 1)",,Graduate,
MGMT 696,Acad+Prof Dev (Research),"(1, 1)",,Graduate,
MAP 696,Acad+Prov Dev (Research),"(1, 1)",,Graduate,
SERP 511,Acad Appl High Inc Disab,"(3, 3)",,Graduate,
SERP 507,Acad Assmnt Std High Inc,"(3, 3)",,Graduate,
SERP 407,Acad Assmnt Std High Inc,"(3, 3)",,Undergraduate,
SERP 408,Academic Assessment,"(3, 3)",,Undergraduate,
NURS 602,Acd Fclty Role:Thry+Appl,"(3, 3)",,Graduate,
LIS 440,Academic Librarianship,"(3, 3)",,Undergraduate,
LIS 540,Academic Librarianship,"(3, 3)",,Graduate,
LIS 693,Academic Library,"(2, 4)",,Graduate,
IRLS 561,Academic Libr Admin+Prct,"(3, 3)",,Graduate,
IRLS 461,Academic Libr Admin+Prct,"(3, 3)",,Undergraduate,
TLS 335,Academic Literacies,"(3, 3)",,Undergraduate,
ACBS 195,Career Prep for ACBS Majors,"(1, 1)",,Undergraduate,
HNRS 196,Acad Strats Hnrs Student,"(1, 1)",,Undergraduate,
ENGR 195,Acad Success in the First Year,"(1, 1)",,Undergraduate,
HED 296,Academic Success Seminar,"(1, 1)",,Undergraduate,
LASC 197,Acad Success Strategies,"(1, 1)",,Undergraduate,
BNAD 100,Academic Success Strategies,"(1, 3)",,Undergraduate,
FA 197,Academic Support Workshop,"(1, 1)",,Undergraduate,
MKTG 600,Academic Writing & Presenting,"(3, 3)",,Graduate,
ENGL 407,Acad Wrtng Nonnative Spk,"(3, 3)",,Undergraduate,
ENGL 407,Acad Wrtng Nonnative Spk,"(3, 3)",,Undergraduate,
FREN 112,Accelerated French I,"(6, 6)",,Undergraduate,
LAT 112,Accelerat Begin Latin I,"(4, 4)",,Undergraduate,
LAT 112,Accelerat Begin Latin II,"(4, 4)",,Undergraduate,
FREN 202,Accelerated French,"(6, 6)",,Undergraduate,
FREN 202,Accelerated French,"(6, 6)",,Undergraduate,
FREN 212,Accelerated French II,"(6, 6)",,Undergraduate,
CHEM 107,Accelerated General Chem,"(4, 4)",,Undergraduate,
PHYS 261,Accl Intro Electr+Magnet,"(4, 4)",,Undergraduate,
PHYS 161,Accl Intro Mechanics,"(4, 4)",,Undergraduate,
PHYS 162,Accl Intr Optics+Thermod,"(4, 4)",,Undergraduate,
PHYS 263,Accl Intro Rel+Quant Phys,"(3, 3)",,Undergraduate,
LAT 212,Accelerated Latin II,"(6, 6)",,Undergraduate,
EAS 495,Accelerated Masters Colloq,"(1, 1)",,Undergraduate,
ENTR 559,Acc Bus Proc Engr+Sys Dv,"(3, 3)",,Graduate,
MAP 559,Acc Bus Proc Engr+Sys Dv,"(3, 3)",,Graduate,
ENTR 459,Acc Bus Proc Engr+Sys Dv,"(3, 3)",,Undergraduate,
MAP 459,Acc Bus Proc Engr+Sys Dv,"(3, 3)",,Undergraduate,
LAW 590,Access to Invest. Medical Prod,"(3, 3)",,Law,
LAW 490,Access to Invest. Medical Prod,"(3, 3)",,Undergraduate,
GEOS 405,Accessible Earth,"(6, 6)",,Undergraduate,
GEOS 505,Accessible Earth,"(6, 6)",,Graduate,
MUS 597,Accessing Arts Resources,"(1, 1)",,Graduate,
MUS 497,Accessing Arts Resources,"(1, 1)",,Undergraduate,
ENGR 521,Acc Solar Enrgy Thru Eng,"(3, 3)",,Graduate,
ENGR 521,Acc Solar Enrgy Thru Eng,"(3, 3)",,Graduate,
MSE 521,Acc Solar Enrgy Thru Eng,"(3, 3)",,Graduate,
MNE 561,Accident Prevention,"(2, 2)",,Graduate,
MNE 461,Accident Prevention,"(2, 2)",,Undergraduate,
GEN 561,Accident Prevention,"(2, 2)",,Graduate,
GEN 461,Accident Prevention,"(2, 2)",,Undergraduate,
OSH 461,Accident Prevention,"(2, 2)",,Undergraduate,
OSH 561,Accident Prevention,"(2, 2)",,Graduate,
MUS 501,Accompanying,"(1, 1)",,Graduate,
MUS 401,Accompanying,"(1, 1)",,Undergraduate,
MUS 201,Accompanying,"(1, 1)",,Undergraduate,
ACCT 554,Acct Analysis/Fin Stmnts,"(3, 3)",,Graduate,
LAW 644,Acct+Finance For Lawyers,"(2, 2)",,Law,
ACCT 562,Accounting Data Analytics,"(1, 1)",,Graduate,
LAW 644,Accounting for Lawyers,"(1, 3)",,Law,
LAW 697,Accounting for Lawyers,"(1, 1)",,Law,
ACCT 572,Acct Not-For-Profit Ents,"(3, 3)",,Graduate,
ACCT 472,Acct Not-For-Profit Ents,"(3, 3)",,Undergraduate,
ACCT 572,Accounting:Not-for-Profit Ent,"(3, 3)",,Graduate,
ACCT 272,Acct For Public Agencies,"(3, 3)",,Undergraduate,
ACCT 561,Accounting Info Systems,"(3, 3)",,Graduate,
MIS 461,Accounting Info Systems,"(3, 3)",,Undergraduate,
ACCT 461,Accounting Info Systems,"(3, 3)",,Undergraduate,
ACCT 561,Accounting Information Systems,"(3, 3)",,Graduate,
ACCT 493,Accounting Internship,"(1, 12)",,Undergraduate,
ACCT 525,Acct Theory+Institution,"(3, 3)",,Graduate,
ACCT 425,Acct Theory+Institution,"(3, 3)",,Undergraduate,
