courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ABS 100,Discovering the Professions,1,Applied Biological Sciences,Undergraduate,
ABS 194,Special Topics,3,Applied Biological Sciences,Undergraduate,
ABS 200,Building Your Professional Self,0.5,Applied Biological Sciences,Undergraduate,
ABS 207,Applied Plant Taxonomy,3,Applied Biological Sciences,Undergraduate,
ABS 260,Fundamentals of Sustainable Horticulture,4,Applied Biological Sciences,Undergraduate,
ABS 270,Sustainable Biological Systems,3,Applied Biological Sciences,Undergraduate,
ABS 271,Veterinary Medicine Today,3,Applied Biological Sciences,Undergraduate,
ABS 272,Discovering Dentistry,3,Applied Biological Sciences,Undergraduate,
ABS 300,Career Competencies and Skills,0.5,Applied Biological Sciences,Undergraduate,
ABS 302,Ethical and Policy Issues in Biology,3,Applied Biological Sciences,Undergraduate,
ABS 311,Molecular and Cellular Biology,3,Applied Biological Sciences,Undergraduate,
ABS 312,Structure and Function,3,Applied Biological Sciences,Undergraduate,
ABS 314,Applied Plant Physiology,3,Applied Biological Sciences,Undergraduate,
ABS 321,Sexually Transmitted Infections,3,Applied Biological Sciences,Undergraduate,
ABS 350,Applied Statistics,3,Applied Biological Sciences,Undergraduate,
ABS 355,Ecology and Adaptations of Vertebrates,3,Applied Biological Sciences,Undergraduate,
ABS 360,Southwest Home Gardening,2,Applied Biological Sciences,Undergraduate,
ABS 368,Plant Propagation,3,Applied Biological Sciences,Undergraduate,
ABS 370,Ecology,3,Applied Biological Sciences,Undergraduate,
ABS 371,Small Animal Veterinary Topics,3,Applied Biological Sciences,Undergraduate,
ABS 376,Wildlife Ecology,3,Applied Biological Sciences,Undergraduate,
ABS 378,Animal Nutrition,3,Applied Biological Sciences,Undergraduate,
ABS 379,Animal Anatomy,3,Applied Biological Sciences,Undergraduate,
ABS 380,Restoration and Wildlife Plants,3,Applied Biological Sciences,Undergraduate,
ABS 394,Special Topics,3,Applied Biological Sciences,Undergraduate,
ABS 414,Plant Pathology,3,Applied Biological Sciences,Undergraduate,
ABS 417,Comparative Immunology,3,Applied Biological Sciences,Undergraduate,
ABS 422,Head and Neck Anatomy,3,Applied Biological Sciences,Undergraduate,
ABS 470,Life History of Mammals,3,Applied Biological Sciences,Undergraduate,
ABS 473,Applied Ornithology,3,Applied Biological Sciences,Undergraduate,
ABS 479,Ecosystem Management and Planning,3,Applied Biological Sciences,Undergraduate,
ABS 484,Internship,1-12,Applied Biological Sciences,Undergraduate,
ABS 486,Introduction to Remote Sensing,4,Applied Biological Sciences,Undergraduate,
ABS 489,Undergraduate Research,1-3,Applied Biological Sciences,Undergraduate,
ABS 490,Applied Biological Sciences Seminar,1,Applied Biological Sciences,Undergraduate,
ABS 492,Honors Directed Study,3,Applied Biological Sciences,Undergraduate,
ABS 493,Honors Thesis,3,Applied Biological Sciences,Undergraduate,
