courseId,courseName,courseDescription,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 2110,Principles Of Financial Accounting,Basic accounting principles with focus on preparation and use of financial statements. Credit will not be given for bothACCT 2110andACCT 2810.,"(3, 3)",Accounting,,
ACCT 2117,Honors Principles Of Financial Accounting,Honors College. Basic accounting principles with focus on preparation and use of financial statements.,"(3, 3)",Accounting,,
ACCT 2210,Principles Of Managerial Accounting,"Emphasis on cost accounting, budgeting, and decision making using managerial accounting information.","(3, 3)",Accounting,,
ACCT 2700,Business Law,"Introduction to contracts, sales, torts, ethics and the judicial system. Focus is on the business environment.","(3, 3)",Accounting,,
ACCT 2707,Honors Business Law,"Honors College. Introduction to contracts, sales, torts, ethics and the judicial system. Focus is on the business environment.","(3, 3)",Accounting,,
ACCT 2810,Fundamentals Of Accounting,Principles of financial and managerial accounting. Not open to undergraduates majoring in Business. Credit will not be given for bothACCT 2110andACCT 2810.,"(3, 3)",Accounting,,
ACCT 2817,Honors Fundamentals Of Accounting,Principles of financial and managerial accounting. Not open to undergraduates majoring in Business. Credit will not be given for bothACCT 2110andACCT 2810.,"(3, 3)",Accounting,,
ACCT 3210,Accounting For Decision Making,"A study of how cost data for products, projects, or services are recorded, analyzed, and used for decision making.","(3, 3)",Accounting,,
ACCT 3310,Business Processes And Internal Controls,"Developing knowledge of business processes, accounting for those business processes, and the internal controls surrounding such processes, both in a manual and computerized environment. Limited to students in the BSBA Online completer program. Credit will not be given for bothACCT 3310and ACCT 3520.","(3, 3)",Accounting,,
ACCT 3810,Professional Development In Accountancy,(P/C ACCT 3110 or P/C ACCT 3113 or P/CACCT 5110) and P/CBUSI 2010. Career planning and preparation for transition from university student to accounting professional.,"(1, 1)",Accounting,,
ACCT 4900,Directed Studies,Departmental approval. Advanced individual research and study in accounting under the direction of a faculty member. Course may be repeated for a maximum of 6 credit hours.,"(1, 3)",Accounting,,
ACCT 4920,Accounting Internship,"Internship opportunity with an accounting firm, corporation, or governmental entity. Course may be repeated for a maximum of 6 credit hours.","(1, 6)",Accounting,,
ACCT 5110,Intermediate Accounting I,"Accounting principles and theory including accounting for current assets, liabilities, and investments.","(3, 3)",Accounting,,
ACCT 5120,Intermediate Accounting Ii,"Grade of C or better. Continuation ofACCT 5110, with emphasis on fixed assets, capital structure, and cash flows.","(3, 3)",Accounting,,
ACCT 5130,Advanced Accounting Topics,"Emphasis on advanced accounting topics including business combinations, foreign currency transactions, derivatives, and other advanced financial topics.","(3, 3)",Accounting,,
ACCT 5140,Special Topics In Accounting,A study of current issues in accounting theory and practice. Topics include regulations and economic and technological developments.,"(3, 3)",Accounting,,
ACCT 5150,Current Issues In Accounting,P/CACCT 5110. Departmental approval. Examination of current issues in the accounting profession.,"(3, 3)",Accounting,,
ACCT 5210,Cost Accounting,"A study of how cost data for products, projects, or services are recorded, analyzed, and used for decision making.","(3, 3)",Accounting,,
ACCT 5300,Auditing And Assurance Services,"Principles of auditing standards, ethics, controls, evidence, sampling, and audit reports.","(3, 3)",Accounting,,
ACCT 5410,Income Tax I,Principles of federal taxation as it applies to individuals and property transactions.,"(3, 3)",Accounting,,
ACCT 5420,Income Tax Ii,"Tax accounting for individuals, partnerships, corporations, estates, and trusts. Extensive use of a tax-service program.","(3, 3)",Accounting,,
ACCT 5510,Accounting Information Systems,"P/C ACCT 3110 or P/C ACCT 3113 or P/CACCT 5110. Developing knowledge of business processes, accounting for those business processes, and the internal controls surrounding such processes, both in a manual and computerized environment.","(3, 3)",Accounting,,
ACCT 5520,Accounting Analytics,"(ACCT 3110 or ACCT 3113 orACCT 5110) and (CTCT 3250or CTCT 3253) and (P/C ACCT 3520 or P/C ACCT 3523 or P/CACCT 5510). Students will learn to analyze data and solve accounting based problems using advanced spreadsheet techniques, database management systems and other analysis tools.","(3, 3)",Accounting,,
ACCT 5610,Governmental And Not-For-Profit Accounting,Accounting for governmental and not-for-profit entities. Focus on effective use of resources.,"(3, 3)",Accounting,,
ACCT 5620,Issues In International Accounting,P/CACCT 5110. Departmental approval. Accounting issues concerning international business activity.,"(3, 3)",Accounting,,
ACCT 5700,Advanced Business Law,"Legal principles concerning secured transactions, bankruptcy, trusts and estates, partnership law, property, corporations, accountant's legal liability, and negotiable instruments.","(3, 3)",Accounting,,
ACCT 5810,Corporate Governance & Accounting Ethics,Analyzing the impact of corporate governance and accounting ethics on business transactions.,"(3, 3)",Accounting,,
