courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ABDR 1301,Auto Body Repair and Repainting,3,ABDR,,
ABDR 1307,Auto Body Welding,3,ABDR,,
ABDR 1315,Vehicle Trim and Hardware,3,ABDR,,
ABDR 1419,Basic Metal Repair,4,ABDR,,
ABDR 1431,Basic Refinishing,4,ABDR,,
ABDR 1441,Structural Analysis and Damage Repair I,4,ABDR,,
ABDR 1442,Structural Analysis and Damage Repair II,4,ABDR,,
ABDR 1449,Automotive Plastic and Sheet Molded Compound Repair,4,ABDR,,
ABDR 1458,Intermediate Refinishing,4,ABDR,,
ABDR 2447,Advanced Collision Repair Welding,4,ABDR,,
ABDR 2449,Advanced Refinishing,4,ABDR,,
ABDR 2451,Specialized Refinishing Techniques,4,ABDR,,
ABDR 2453,Color Analysis and Paint Matching,4,ABDR,,
ABDR 2489,Internship - Autobody/Collision Repair Technology/Technician,4,ABDR,,
ACCT 2301,Principles of Accounting I - Financial,3,ACCT,,
ACCT 2302,Principles of Accounting II - Managerial,3,ACCT,,
ACNT 1303,Introduction to Accounting I,3,ACNT,,
ACNT 1304,Introduction to Accounting II,3,ACNT,,
ACNT 1311,Introduction to Computerized Accounting,3,ACNT,,
ACNT 1313,Computerized Accounting Applications,3,ACNT,,
ACNT 1329,Payroll and Business Tax Accounting,3,ACNT,,
ACNT 1331,Federal Income Tax: Individual,3,ACNT,,
ACNT 1335,Accounting Ethics,3,ACNT,,
ACNT 1347,Federal Income Tax for Partnerships and Corporations,3,ACNT,,
ACNT 1371,Business Applications in Accounting,3,ACNT,,
ACNT 1373,Accounting Data Analytics,3,ACNT,,
ACNT 1374,Survey of Taxation,3,ACNT,,
ACNT 1375,Survey of Accounting for Nonaccounting Majors,3,ACNT,,
ACNT 1378,Career Success in Accounting,3,ACNT,,
ACNT 1391,Special Topics in Accounting,3,ACNT,,
ACNT 1392,Special Topics in Accounting Technician,3,ACNT,,
ACNT 1393,Special Topics in Taxation,3,ACNT,,
ACNT 2303,Intermediate Accounting I,3,ACNT,,
ACNT 2304,Intermediate Accounting II,3,ACNT,,
