courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AFRS BC2004,INTRODUCTN TO AFRICAN STUDIES. 3.00 points,,Africana Studies,,
AFRS BC2005,CARIBBEAN CULTURE ＆ SOCIETIES. 3.00 points,,Africana Studies,,
AFRS BC2006,INTRODUCTION AFRICAN DIASPORA. 3.00 points,,Africana Studies,,
AFEN BC3009,TONI MORRISON: AN ETHICAL POETICS. 4.00 points,,Africana Studies,,
AFRS BC3021,Queer Caribbean Critique. 4.00 points,,Africana Studies,,
AFRS BC3065,Writing Diasporic Cities. 4 points,,Africana Studies,,
AFRS BC3083,Black Women's Freedom Narratives. 4.00 points,,Africana Studies,,
AFRS BC3110,THE AFRICANA COLLOQUIUM. 4.00 points,,Africana Studies,,
AFRS BC3121,Black Women in America. 4 points,,Africana Studies,,
AFEN BC3134,UNHEARD VOICES: AFRICAN WOMEN. 4.00 points,,Africana Studies,,
AFEN BC3135,Zora Neale Hurston: A Writing Life. 4.00 points,,Africana Studies,,
AFRS BC3145,Black Women’s Histories in the United States. 4.00 points,,Africana Studies,,
AFRS BC3160,Fanon’s Psychology of the Oppressed. 4.00 points,,Africana Studies,,
AFEN BC3196,HARLEM RENAISSANCE LITERATURE. 4.00 points,,Africana Studies,,
AFRS BC3516,Environmental Humanities in the Global South. 4.00 points,,Africana Studies,,
AFRS BC3519,Race Before Race: Premodern Constructions of Social Difference. 4 points,,Africana Studies,,
AFRS BC3532,ROMARE BEARDEN:HOME IS HARLEM. 4.00 points,,Africana Studies,,
AFRS BC3550,GAY HARLEM. 4.00 points,,Africana Studies,,
AFRS BC3552,BLACK WOMEN STYLE＆PERFRMNCE. 4.00 points,,Africana Studies,,
AFRS BC3562,Caribbean Sexualities. 4 points,,Africana Studies,,
AFRS BC3565,Art ＆ Culture in Harlem. 4.00 points,,Africana Studies,,
AFEN BC3516,WATER WORLDS IN LITERARY IMAGINATION. 4.00 points,,Africana Studies,,
AFEN BC3815,SHANGE ＆ DIGITAL STORYTELLING. 4.00 points,,Africana Studies,,
AFEN BC3817,Black Shakespeare. 4.00 points,,Africana Studies,,
AFRS BC3998,SENIOR SEMINAR. 4.00 points,,Africana Studies,,
AFRS GU4001,Afro-Latin America in the Artistic Imagination. 4.00 points,,Africana Studies,,
AMST BC1001,WHAT IS AMERICAN STUDIES?. 4.00 points,,American Studies,,
AMST BC1040,Incarcerating the Crisis. 3 points,,American Studies,,
AMST BC1041,Critical Approaches to the Study of Ethnicity and Race. 4 points,,American Studies,,
AMST BC1042,America and Early Modernity. 3 points,,American Studies,,
AMST BC1111,ELEMENTARY AMERICAN SIGN LANGUAGE I. 4.00 points,,American Studies,,
AMST BC2001,Third World Studies. 4.00 points,,American Studies,,
AMST BC2111,INTERMEDIATE AMERICAN SIGN LANGUAGE I. 3.00 points,,American Studies,,
AMST BC1112,Elementary American Sign Language (ASL) II. 4.00 points,,American Studies,,
AMST BC3200,Feminist Ethnography. 4.00 points,,American Studies,,
AMST BC3401,American Studies Methods: Archive Fever. 4.00 points,,American Studies,,
AMST BC3470,Oral History Methods ＆ Praxis in American Studies. 3.00 points,,American Studies,,
AMST BC3702,American Studies Senior Tutorial. 1.00 point,,American Studies,,
AMST BC3703,Senior Seminar. 4 points,,American Studies,,
AMST BC3704,SENIOR RESEARCH ESSAY SEMINAR. 4.00 points,,American Studies,,
AMST BC3707,Global Radicalism. 4 points,,American Studies,,
AMST BC3999,INDEPENDENT RESEARCH. 1.00-4.00 points,,American Studies,,
AMST GU4110,THE WEALTH OF NATIVES. 4.00 points,,American Studies,,
AMST GU4210,Du Bois Seminar. 4.00 points,,American Studies,,
AMST GU4300,Latina/o/x NY. 4.00 points,,American Studies,,
AMST GU4400,"Crime, Sex, Race and the Politics of Purity. 4.00 points",,American Studies,,
CCIS BC1111,REAL TALK / REAL TIME. 1.00 point,,American Studies,,
ANTH UN2005,THE ETHNOGRAPHIC IMAGINATION. 3.00 points,,American Studies,,
ANTH UN3040,ANTHROPOLOGICAL THEORY. 4.00 points,,American Studies,,
ANTH UN3041,ANTHROPOLOGICAL THEORY II. 4.00 points,,American Studies,,
ANTH UN3300,Pre-Columbian Histories of Native America. 3 points,,American Studies,,
ANTH BC3868,ETHNOGRAPHIC FIELD RESEARCH IN NYC. 4.00 points,,American Studies,,
ANTH V3907,Posthumanism. 4 points,,American Studies,,
ANTH V3950,Anthropology of Consumption. 4 points,,American Studies,,
ANTH V3954,Bodies and Machines: Anthropologies of Technology. 4 points,,American Studies,,
ANTH V3960,The Culture of Public Art and Display In New York City. 4 points,,American Studies,,
ANTH UN3966,Culture and Mental Health. 4 points,,American Studies,,
ANTH V3969,Specters of Culture. 4 points,,American Studies,,
ANTH V3974,"Lost Worlds, Secret Spaces: Modernity and the Child. 4 points",,American Studies,,
ANTH V3976,Anthropology and Science. 4 points,,American Studies,,
ANTH V3980,Nationalism. 4 points,,American Studies,,
CLIA GU3660,MAFIA MOVIES. 3.00 points,,American Studies,,
CPLS V3950,Colloquium in Literary Theory. 4 points,,American Studies,,
DNCE BC2565,WORLD DANCE HISTORY. 3.00 points,,American Studies,,
DNCE BC2570,DANCE IN NEW YORK CITY. 3.00 points,,American Studies,,
DNCE BC2575,Choreography for the American Musical. 3 points,,American Studies,,
DNCE BC2580,Tap as an American Art Form. 3 points,,American Studies,,
DNCE BC3001,HISTORY OF THEATRICAL DANCING. 3.00 points,,American Studies,,
DNCE BC3570,Latin American and Caribbean Dance: Identities in Motion. 3 points,,American Studies,,
DNCE BC3574,Inventing the Contemporary: Dance Since the 1960s. 3 points,,American Studies,,
DNCE BC3578,Traditions of African-American Dance. 3 points,,American Studies,,
DNCE BC3583,Gender and Historical Memory in American Dance of the 1930's to the Early 1960's. 3 points,,American Studies,,
DNCE BC3980,Performing the Political: Embodying Change in American Performance. 4 points,,American Studies,,
ECON BC2010,The Economics of Gender. 3 points,,American Studies,,
ECON BC3011,INEQUALITY AND POVERTY. 3.00 points,,American Studies,,
ECON BC3012,THE ECONOMICS OF EDUCATION. 3.00 points,,American Studies,,
ECON BC3013,Economic History of the United States. 3 points,,American Studies,,
ECON BC3019,LABOR ECONOMICS. 3.00 points,,American Studies,,
ECON UN3265,MONEY AND BANKING. 3.00 points,,American Studies,,
EDUC BC3032,CONTEMPORARY ISSUES IN EDUCATION: DOCUMENTARY FILM CRITIQUE ＆ PRODUCTION. 4.00 points,,American Studies,,
EDUC BC3050,SCIENCE IN THE CITY. 4.00 points,,American Studies,,
ENGL BC3130,THE AMERICAN COWBOY AND THE ICONOGRAPHY OF THE WEST. 3.00 points,,American Studies,,
ENGL BC3179,AMERICAN LITERATURE TO 1800. 3.00 points,,American Studies,,
ENGL BC3180,AMERICAN LITERATURE 1800-1870. 3.00 points,,American Studies,,
ENGL BC3181,AMERICAN LITERATURE 1871-1945. 3.00 points,,American Studies,,
ENGL BC3182,American Fiction. 3 points,,American Studies,,
ENGL BC3183,AMERICAN LITERATURE SINCE 1945. 3.00 points,,American Studies,,
ENGL BC3196,HARLEM RENAISSANCE LITERATURE. 4.00 points,,American Studies,,
HRTS BC1025,HUM RGTS IN THEORY＆ PRACTICE. 3.00 points,,American Studies,,
HRTS UN3001,INTRODUCTION TO HUMAN RIGHTS. 3.00 points,,American Studies,,
HIST BC1402,INTRODUCTION TO AMERICAN HISTORY SINCE 1865. 4.00 points,,American Studies,,
HIST BC2413,UNITED STATES 1940-1975. 3.00 points,,American Studies,,
HIST BC2424,Approached by Sea: Early American Maritime Culture. 3 points,,American Studies,,
MUSI UN2010,ROCK. 3.00 points,,American Studies,,
MUSI UN2016,JAZZ. 3.00 points,,American Studies,,
MUSI UN2020,"SALSA, SOCA ＆ REGGAE. 3.00 points",,American Studies,,
MUSI V3420,The Social Science of Music. 3 points,,American Studies,,
MUSI W4507,The New Thing: Jazz 1955-1980. 0 points,,American Studies,,
MUSI GU4420,MUSIC AND PROPERTY. 3.00 points,,American Studies,,
MUSI GU4540,Histories of Post-1960's Jazz. 3 points,,American Studies,,
POLS UN1201,INTRO TO AMERICAN POLITICS. 4.00 points,,American Studies,,
POLS BC3254,FIRST AMENDMENT VALUES. 3.00 points,,American Studies,,
POLS V3212,Environmental Politics. 3 points,,American Studies,,
POLS V3313,American Urban Politics. 3 points,,American Studies,,
POLS BC3331,* Colloquium on American Political Decisionmaking. 4 points,,American Studies,,
POLS BC3332,* Colloquium on Exploring Political Leadership in the U.S.. 4 points,,American Studies,,
POLS BC3521,CIVIL RIGHTS ＆CIVIL LIBERTIES. 3.00 points,,American Studies,,
POLS W4316,The American Presidency. 3 points,,American Studies,,
RELI V2505,Intro to Judaism. 3 points,,American Studies,,
RELI V2645,Religion in Black America: An Introduction. 3 points,,American Studies,,
RELI V3602,Religion in America I. 3 points,,American Studies,,
RELI V3603,Religion in America II. 3 points,,American Studies,,
RELI V3604,Religion in the City. 3 points,,American Studies,,
RELI V3610,Religion in American Film. 3 points,,American Studies,,
RELI V3650,Religion and the Civil Rights Movement. 3 points,,American Studies,,
RELI V3651,Evangelicalism. 3 points,,American Studies,,
RELI W4610,"Science, Nature, and Religion in 20th Century America. 4 points",,American Studies,,
RELI W4614,Defining Marriage: A History of Marriage in the United States. 4 points,,American Studies,,
RELI W4620,Religious Worlds of New York. 4 points,,American Studies,,
RELI W4640,Religion in the American Public Sphere. 4 points,,American Studies,,
RELI W4645,American Protestant Thought. 4 points,,American Studies,,
RELI W4660,Religious History of New York. 4 points,,American Studies,,
RELI W4670,Native American Religions. 4 points,,American Studies,,
RELI W4721,Religion and Social Justice. 4 points,,American Studies,,
RELI W4803,Religion Vs. The Academy. 4 points,,American Studies,,
RELI W4805,Secular and Spiritual America. 4 points,,American Studies,,
SOCI UN2208,CULTURE IN AMERICA. 3.00 points,,American Studies,,
SOCI V3208,Unity and Division in the Contemporary United States: A Sociological View. 4 points,,American Studies,,
SOCI V3220,Masculinity: A Sociological View. 3 points,,American Studies,,
SOCI V3227,The Sociology of U.S. Economic Life. 3 points,,American Studies,,
SOCI UN3235,Social Movements. 3.00 points,,American Studies,,
SOCI V3247,"The Immigrant Experience, Old and New. 3 points",,American Studies,,
SOCI UN3264,The Changing American Family. 3 points,,American Studies,,
SOCI W3277,Post-Racial America?. 3 points,,American Studies,,
SOCI UN3302,Sociology of Gender. 3 points,,American Studies,,
SOCI V3318,The Sociology of Sexuality. 3 points,,American Studies,,
SOCI V3324,"Poverty, Inequality, and Policy: A Sociological Perspective. 4 points",,American Studies,,
