courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
LAWS 2110,"Critical Perspectives: Law, Context, and Professional Identity",1,Law School,Graduate,
LAWS 2120,Civil Procedure,4,Law School,Graduate,
LAWS 2130,Contracts,4,Law School,Graduate,
LAWS 2145,Torts,4,Law School,Graduate,
LAWS 2150,Law Practice 1,3,Law School,Graduate,
LAWS 2181,Constitutional Law: Speech and Religion,3,Law School,Graduate,
LAWS 2185,"Religion Clause Controversies: Past, Present, and Future",3,Law School,Graduate,
LAWS 2190,Professional Responsibility,2,Law School,Graduate,
LAWS 2202,The Constitution and National Security,3,Law School,Graduate,
LAWS 3231,Contract Drafting,3,Law School,Graduate,
LAWS 3299,Civil Procedure and The Social Contract,2,Law School,Graduate,
LAWS 3333,Legal Analysis for Practice,3,Law School,Graduate,
LAWS 3340,Art Law,2,Law School,Graduate,
LAWS 3343,Advanced Civil Rights Class,3,Law School,Graduate,
LAWS 3360,Law and Accounting,2,Law School,Graduate,
LAWS 3383,Selected Topics in White Collar Crime,2,Law School,Graduate,
LAWS 3423,Amicus Brief Clinic,2,Law School,Graduate,
LAWS 4308,Advanced Parole and Medical Release Practice,2,Law School,Graduate,
LAWS 4412,Intellectual Property Survey,3,Law School,Graduate,
LAWS 4414,Trademark and Unfair Competition Law,3,Law School,Graduate,
LAWS 4416,Privacy Law,3,Law School,Graduate,
LAWS 4439,European Union Law,3,Law School,Graduate,
LAWS 4450,Environmental Law: Teaching Seminar,2,Law School,Graduate,
LAWS 4458,Artificial Intelligence: Law and Policy,2,Law School,Graduate,
LAWS 4461,Wrongful Convictions,3,Law School,Graduate,
LAWS 4462,Advanced Innocence Clinic,2,Law School,Graduate,
LAWS 4469,BC Law Prosecution Seminar,2,Law School,Graduate,
LAWS 4483,Advanced Legal Writing: Appellate Litigation,3,Law School,Graduate,
LAWS 4484,Advanced Legal Writing--Employment Law,3,Law School,Graduate,
LAWS 4485,Advanced Legal Writing,3,Law School,Graduate,
LAWS 4513,Constitutional History: The Framing of the Constitution,3,Law School,Graduate,
LAWS 4771,Advanced Entrepreneurship & Innovation Practice,2,Law School,Graduate,
LAWS 5521,The United States Legal System,2,Law School,Graduate,
LAWS 5522,Legal Research and Writing for LL.M'S,2,Law School,Graduate,
LAWS 6050,"Intersection of Cybersecurity Law, Artificial Intelligence (AI) & Privacy",3,Law School,Graduate,
LAWS 6605,BC Defender Seminar,2,Law School,Graduate,
LAWS 6628,Cybersecurity Litigation and Strategy,3,Law School,Graduate,
LAWS 6637,"Cyber Crime: Law, Policy, and Investigations",3,Law School,Graduate,
LAWS 6679,Trusts and Estates,4,Law School,Graduate,
LAWS 6682,Commercial Law: Secured Transactions,4,Law School,Graduate,
LAWS 6687,Regulating the Family,3,Law School,Graduate,
LAWS 6696,International Trade and Investment Law,3,Law School,Graduate,
LAWS 6698,Private Investment Funds: Formation & Operation,2,Law School,Graduate,
LAWS 6826,Corporate Compliance: Building a Strong Compliance Culture,2,Law School,Graduate,
LAWS 7640,"National Security: Law, Policy & Government Investigations",3,Law School,Graduate,
LAWS 7642,Election Law and Politics,2,Law School,Graduate,
LAWS 7650,Legislative and Public Policy Advocacy,2,Law School,Graduate,
LAWS 7717,International Investment Law: Evolution and Challenges,2,Law School,Graduate,
LAWS 7724,Advanced Immigration Class,2,Law School,Graduate,
LAWS 7727,Whistleblowing and Retaliation,2,Law School,Graduate,
LAWS 7731,Administrative Law,3,Law School,Graduate,
LAWS 7750,Corporations,4,Law School,Graduate,
LAWS 7756,International Tax,3,Law School,Graduate,
LAWS 7760,Philosophy of Law,3,Law School,Graduate,
LAWS 7773,Consumer Financial Protection Seminar,2,Law School,Graduate,
LAWS 7776,Tax Concentration Seminar,1,Law School,Graduate,
LAWS 7777,Taxation II,3,Law School,Graduate,
LAWS 7780,Tax Policy,3,Law School,Graduate,
LAWS 7781,Legal Scholarship Workshop: Regulation and Business,1,Law School,Graduate,
LAWS 7785,International Law,3,Law School,Graduate,
LAWS 7789,Entertainment Law,3,Law School,Graduate,
LAWS 7792,Federal Courts,3,Law School,Graduate,
LAWS 7799,Independent Study,1,Law School,Graduate,
LAWS 7805,The Courts and the LGBT+ Movement: A Critical Assessment,2,Law School,Graduate,
LAWS 7840,Patent Law,3,Law School,Graduate,
