courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AERO ENG 1,Aerospace Engineering 1 Seminar,"(1, 1)",Aerospace Engineering,Undergraduate,
AERO ENG 2,Aerospace Engineering 2 Seminar,"(1, 1)",Aerospace Engineering,Undergraduate,
AERO ENG 10,Introduction to Aerospace Engineering Design,"(4, 4)",Aerospace Engineering,Undergraduate,
AERO ENG 24,Freshman Seminars,"(1, 1)",Aerospace Engineering,Undergraduate,
AERO ENG 98,Supervised Group Study and Research,"(1, 4)",Aerospace Engineering,Undergraduate,
AERO ENG 100,Aerospace Capstone,"(4, 4)",Aerospace Engineering,Undergraduate,
AERO ENG C162,Introduction to Flight Mechanics,"(3, 3)",Aerospace Engineering,Undergraduate,
AERO ENG C166,Introduction to Compressible Flow,"(3, 3)",Aerospace Engineering,Undergraduate,
AERO ENG C184,Flight Vehicle Structures and Aeroelasticity,"(3, 3)",Aerospace Engineering,Undergraduate,
AERO ENG 193,Special Topics in Aerospace Engineering,"(1, 4)",Aerospace Engineering,Undergraduate,
AERO ENG C193P,The Final Frontier? Space Technology and National Security Policy,"(4, 4)",Aerospace Engineering,Undergraduate,
AERO ENG H194,Honors Undergraduate Research,"(2, 4)",Aerospace Engineering,Undergraduate,
AERO ENG 196,Undergraduate Research,"(2, 4)",Aerospace Engineering,Undergraduate,
AERO ENG 197,Undergraduate Aerospace Engineering Field Studies,"(0, 4)",Aerospace Engineering,Undergraduate,
AERO ENG 198,Directed Group Study for Advanced Undergraduates,"(1, 4)",Aerospace Engineering,Undergraduate,
AERO ENG 199,Supervised Independent Study,"(1, 4)",Aerospace Engineering,Undergraduate,
AEROSPC 1A,Foundations of the U.S. Air Force,"(1, 1)",Aerospace Studies,Undergraduate,
AEROSPC 1B,Foundations of the U.S. Air Force,"(1, 1)",Aerospace Studies,Undergraduate,
AEROSPC 2A,The Evolution of Air and Space Power,"(1, 1)",Aerospace Studies,Undergraduate,
AEROSPC 2B,The Evolution of Air and Space Power,"(1, 1)",Aerospace Studies,Undergraduate,
AEROSPC 100,Leadership Laboratory,"(0, 0)",Aerospace Studies,Undergraduate,
