courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
CDCI 200,Bridging Academics to Careers,"(2, 2)",Other Courses,,
CDCI 385,Prof Internship Pgm Oral Comm,"(4, 4)",Other Courses,,
CDCI 395,Professional Internship Pgm,"(None, None)",Other Courses,,
CDCI 476,DesignYourPost-GraduationPlan,"(2, 2)",Other Courses,,
CDCI 491,JC Mentor UG Teaching Asst,"(4, 4)",Other Courses,,
CDCI 496,Johnson City Mentor Program,"(2, 2)",Other Courses,,
EML 108,"Englsh lang & lit/Letters, Oth","(2, 2)",Other Courses,,
EML 109,Int English Lang Dev II,"(2, 2)",Other Courses,,
EML 110,Intermed Engl As A Second Lang,"(4, 4)",Other Courses,,
EML 115,Academic Achievement Skills,"(0, 0)",Other Courses,,
EML 120,Intermediate Read Write Vocab,"(4, 4)",Other Courses,,
EML 121,Intermediate SpeakListenVocab,"(4, 4)",Other Courses,,
EML 142,American College Culture,"(2, 2)",Other Courses,,
EML 205,Applied Academic Speak/Listen,"(4, 4)",Other Courses,,
EML 210,Academic Writing for ELLs,"(4, 4)",Other Courses,,
EML 211,Adv ELL Writ Identity&Culture,"(4, 4)",Other Courses,,
EML 212,Fundamentals Academic Writing,"(2, 2)",Other Courses,,
EML 213,Conquering Eng Academic Vocab,"(2, 2)",Other Courses,,
EML 214,Crit Analysis/Argument Speech,"(2, 2)",Other Courses,,
EML 215,Speaking Skills For Bilinguals,"(4, 4)",Other Courses,,
EML 216,Eng Lang Dev Econ Business,"(4, 4)",Other Courses,,
EML 218,Adv Eng Lang Transfer Students,"(4, 4)",Other Courses,,
EML 391,ELL Outreach and Persistence,"(2, 2)",Other Courses,,
EML 491,Practicum in College Teaching,"(None, None)",Other Courses,,
EML 492,Tutoring English Lang Learners,"(1, 1)",Other Courses,,
EML 497,Independent Study,"(None, None)",Other Courses,,
EML 715,Adv Speaking&Listening Compre,"(None, None)",Other Courses,,
EML 720,Writing for Professionals,"(None, None)",Other Courses,,
EML 725,Oral Comm.For Prof.Purposes,"(None, None)",Other Courses,,
FYW CHEM,Basic Chemistry Workshop,"(0, 0)",Other Courses,,
FYW MATH,Mathematics Needed for Calculus,"(0, 0)",Other Courses,,
FYW WRIT,College Writing Workshop,"(0, 0)",Other Courses,,
INFO 541X,Mob. Appl. for Social Networks,"(3, 3)",Other Courses,,
AAAS 105,Intro To Asian Philosophy,"(4, 4)",Asian Asian Am Study,,
AAAS 106A,East Asian Civilizations,"(4, 4)",Asian Asian Am Study,,
AAAS 106B,East Asian Civilizations,"(4, 4)",Asian Asian Am Study,,
