courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACG2001,PRINCIPLES OF ACCOUNTING I,3.00,Accounting General,,
ACG2011,PRINCIPLES OF ACCOUNTING II,3.00,Accounting General,,
ACG2071,MANAGERIAL ACCOUNTING,3.00,Accounting General,,
ACG2100,INTERMEDIATE ACCOUNTING I,3.00,Accounting General,,
ACG2110,INTERMEDIATE ACCOUNTING II,3.00,Accounting General,,
ACG2450C,COMPUTERIZED ACCOUNTING APPLICATIONS,3.00,Accounting General,,
ACG2949,CO OP WORK EXPERIENCE,3.00,Accounting General,,
AER1070C,DEALER POLICY AND PROCEDURES,2.00,Automotive Mechanics,,
AER1081C,INTRODUCTION TO AUTOMOTIVE TECH.,4.00,Automotive Mechanics,,
AER1198C,AUTOMOTIVE ENGINE REPAIR,4.00,Automotive Mechanics,,
AER1695C,AUTOMOTIVE ELECTRONICS,4.00,Automotive Mechanics,,
AER1698C,ELECTRICAL SYSTEMS,4.00,Automotive Mechanics,,
AER2298C,AUTOMATIC TRANSMISSIONS AND TRANSAXLES,4.00,Automotive Mechanics,,
AER2398C,MANUAL DRIVE TRAIN AND AXLES,4.00,Automotive Mechanics,,
AER2498C,STEERING AND SUSPENSION SYSTEMS,4.00,Automotive Mechanics,,
AER2598C,BRAKE SYSTEMS AND CHASSIS REPAIR,4.00,Automotive Mechanics,,
AER2758C,HEATING AND AIR CONDITIONING THEORY,4.00,Automotive Mechanics,,
AER2895C,ADVANCED ENGINE PERFORMANCE -,4.00,Automotive Mechanics,,
AER2898C,ENGINE PERFORMANCE,4.00,Automotive Mechanics,,
AER2948,CO-OP WORK EXPERIENCE INTRODUCTION,3.00,Automotive Mechanics,,
AER2949,CO OP WORK EXPERIENCE,3.00,Automotive Mechanics,,
AFR1101,FIRST YEAR AIR FORCE ROTC. (A),1.00,Aerospace Studies,,
AFR1111,FIRST YEAR AIR FORCE ROTC (B),1.00,Aerospace Studies,,
AFR2130,SECOND YEAR AIR FORCE ROTC (A),1.00,Aerospace Studies,,
AFR2131,SECOND YEAR AIR FORCE ROTC (B),1.00,Aerospace Studies,,
ALS4162,CONSEQUENCES OF BIOLOGICAL INVASION,3.00,Agriculture and Life Sciences,,
ALS4163,CHALLENGES IN PLANT RESOURCE PROTECTION,3.00,Agriculture and Life Sciences,,
AMH2010,HISTORY OF THE UNITED STATES TO 1877,3.00,American History,,
AMH2020,HISTORY OF THE UNITED STATES SINCE 1877,3.00,American History,,
AMH2035,UNITED STATES HISTORY: 1945 TO THE PRESENT,3.00,American History,,
AMH2091,SURVEY OF AFRICAN AMERICAN HISTORY,3.00,American History,,
AMH2949,HISTORY INTERNSHIP,3.00,American History,,
AML2010,AMERICAN LITERATURE: COLONIAL TO 1900,3.00,Survey of American Literature,,
AML2020,AMERICAN LITERATURE 1900-PRESENT,3.00,Survey of American Literature,,
AML2600,AFRICAN AMERICAN LITERATURE,3.00,Survey of American Literature,,
AMT1001C,BASIC ELECTRICITY,2.00,Aviation Maintenance Technology,,
AMT1011C,AIRCRAFT DRAWINGS,1.00,Aviation Maintenance Technology,,
AMT1021C,WEIGHT AND BALANCE,1.00,Aviation Maintenance Technology,,
AMT1031C,FLUID LINES AND FITTINGS,1.00,Aviation Maintenance Technology,,
AMT1041C,MATERIALS AND PROCESSES,2.00,Aviation Maintenance Technology,,
AMT1050C,GROUND OPERATIONS AND SERVICING,1.00,Aviation Maintenance Technology,,
AMT1061C,CLEANING AND CORROSION CONTROL,1.00,Aviation Maintenance Technology,,
AMT1071C,MATHEMATICS FOR AVIATION,1.00,Aviation Maintenance Technology,,
AMT1080C,"FAR'S, FORMS, PRIVILEGES, & HUMAN FACTORS",1.00,Aviation Maintenance Technology,,
AMT1090C,BASIC PHYSICS,1.00,Aviation Maintenance Technology,,
AMT1111C,AIRCRAFT WOOD STRUCTURES,1.00,Aviation Maintenance Technology,,
AMT1116C,AIRCRAFT COVERINGS,1.00,Aviation Maintenance Technology,,
AMT1127C,AIRCRAFT FINISHES,1.00,Aviation Maintenance Technology,,
AMT1131C,SHEETMETAL & NON-METALLIC STRUCTURES,4.00,Aviation Maintenance Technology,,
AMT1132C,METALLIC STRUCTURES,4.00,Aviation Maintenance Technology,,
AMT1141C,AIRCRAFT WELDING,1.00,Aviation Maintenance Technology,,
AMT1151C,FLIGHT CONTROLS & ROTORCRAFT FUNDAMENTALS,4.00,Aviation Maintenance Technology,,
AMT1156C,ASSEMBLY & RIGGING,2.00,Aviation Maintenance Technology,,
AMT1161C,AIRFRAME INSPECTION,1.00,Aviation Maintenance Technology,,
AMT1170C,NON-METALLIC STRUCTURES,2.00,Aviation Maintenance Technology,,
AMT1201C,AIRCRAFT LANDING GEAR SYSTEMS,2.00,Aviation Maintenance Technology,,
AMT1211C,HYDRAULIC AND PNEUMATIC SYSTEMS,2.00,Aviation Maintenance Technology,,
AMT1221C,CABIN ATMOSPHERE CONTROL SYSTEMS,1.00,Aviation Maintenance Technology,,
AMT1222C,WATER & WASTE SYSTEMS,1.00,Aviation Maintenance Technology,,
AMT1231C,AVIONICS INSTALLATION AND TROUBLESHOOTING I,3.00,Aviation Maintenance Technology,,
