courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AFRI 0090,An Introduction to Africana Studies,,AFRI,,
AFRI 0300,Performing Ethnography and the Politics of Culture,,AFRI,,
AFRI 0410,After the Uprisings: Abolition and Black Studies,,AFRI,,
AFRI 0420,"Cannabis Legalization: Race, Education, and Policing",,AFRI,,
AFRI 0670,Global Black Radicalism,,AFRI,,
AFRI 1112,What's Popping: The Contemporary Black Theatre Workshop,,AFRI,,
AFRI 1330,Africana Studies Junior Seminar,,AFRI,,
AFRI 1761,Modern Africa,,AFRI,,
AFRI 1970,Independent Reading and Research,,AFRI,,
AFRI 2002,Theories of Africana Thought: Literary and Expressive Cultures,,AFRI,,
AFRI 2050,History of Black Travel,,AFRI,,
AFRI 2101,Methods in Africana Studies,,AFRI,,
AFRI 2970,Preliminary Examination Preparation,,AFRI,,
AFRI 2980,Graduate Level Independent Reading and Research,,AFRI,,
AFRI 2990,Thesis Preparation,,AFRI,,
AMST 0090A,"7 Hours and 55 Minutes: Sex, Work, and Migration in Global Contexts",,AMST,,
AMST 0090C,Eco-Identity: Representation in Nature,,AMST,,
AMST 0170G,Native American Boarding School Histories,,AMST,,
AMST 0601G,American Dilemmas: U.S. Political Culture and the Cultural History of Democracy,,AMST,,
AMST 1510,Museum Collecting and Collections,,AMST,,
AMST 1611S,US Popular Culture,,AMST,,
AMST 1901B,Form Matters: Contemporary Short Fiction,,AMST,,
AMST 1907F,Queer Indigenous Studies and Two-Spirit Critique,,AMST,,
AMST 1970,Independent Reading and Research,,AMST,,
AMST 2010,Introduction to American Studies,,AMST,,
AMST 2221G,Antidisciplinarity and Black Study,,AMST,,
AMST 2520,American Studies: Professional Issues in American Studies,,AMST,,
AMST 2660,Projects in Public Humanities,,AMST,,
AMST 2920,Independent Reading and Research,,AMST,,
AMST 2921,Independent Reading and Research,,AMST,,
AMST 2922,Independent Reading and Research,,AMST,,
AMST 2923,Independent Reading and Research,,AMST,,
AMST 2950,Independent Reading and Research in Public Humanities,,AMST,,
AMST 2990,Thesis Preparation,,AMST,,
ANTH 0066J,So You Want to Change the World?,,ANTH,,
ANTH 0100,Introduction to Cultural Anthropology,,ANTH,,
ANTH 0112,Anthropology for Global Leaders,,ANTH,,
ANTH 0301,Gender and Politics,,ANTH,,
ANTH 0310,Human Evolution,,ANTH,,
ANTH 0680,Anthropology of Food,,ANTH,,
ANTH 0800,Sound and Symbols: Introduction to Linguistic Anthropology,,ANTH,,
ANTH 1236,Urban Life: Anthropology in and of the City,,ANTH,,
ANTH 1314,"Toxic: Health, Environment, and Life after Harm",,ANTH,,
ANTH 1327,Ethnography in Organizations,,ANTH,,
ANTH 1623,Archaeology of Death,,ANTH,,
ANTH 1760,Disability and Culture in the Past and Present,,ANTH,,
ANTH 1910B,Anthropology of Place,,ANTH,,
ANTH 1930,Anthropology Thesis Workshop,,ANTH,,
ANTH 1970,Individual Research Project,,ANTH,,
ANTH 2010,Principles of Cultural Anthropology,,ANTH,,
ANTH 2045,Proposal Writing Workshop for Anthropological Fieldwork,,ANTH,,
ANTH 2060,Anthropology Dissertators' Seminar,,ANTH,,
ANTH 2325,The State and the Circulation of Meaning,,ANTH,,
ANTH 2501,Principles of Archaeology,,ANTH,,
ANTH 2590,"Space, Power, and Politics",,ANTH,,
ANTH 2970,Preliminary Examination Preparation,,ANTH,,
ANTH 2980,Reading and Research,,ANTH,,
ANTH 2990,Thesis Preparation,,ANTH,,
APMA 0160,Introduction to Scientific Computing,,APMA,,
APMA 0260,Linear Algebra and Multivariable Calculus for Applied Mathematicians,,APMA,,
APMA 0350,Applied Ordinary Differential Equations,,APMA,,
APMA 0355,Applied Ordinary Differential Equations with Theory,,APMA,,
APMA 0360,Applied Partial Differential Equations I,,APMA,,
APMA 0650,Introduction to Probability and Statistics,,APMA,,
APMA 1000,Introduction to Mathematical Proofs,,APMA,,
APMA 1080,Inference in Genomics and Molecular Biology,,APMA,,
APMA 1170,Introduction to Computational Linear Algebra,,APMA,,
APMA 1210,Operations Research: Deterministic Models,,APMA,,
APMA 1650,Introduction to Probability and Statistics with Calculus,,APMA,,
APMA 1655,Introduction to Probability and Statistics with Theory,,APMA,,
APMA 1690,Computational Probability and Statistics,,APMA,,
APMA 1710,Information Theory,,APMA,,
APMA 1860,Graphs and Networks,,APMA,,
APMA 1910,Race and Gender in the Scientific Community,,APMA,,
APMA 1931A,"Convexity: Convex Analysis, Geometry and Optimization",,APMA,,
APMA 1931B,Foundations of Machine Learning,,APMA,,
APMA 1970,Independent Study,,APMA,,
APMA 1971,Independent Study - WRIT,,APMA,,
APMA 2190,Nonlinear Dynamical Systems I,,APMA,,
APMA 2230,Partial Differential Equations I,,APMA,,
APMA 2550,Numerical Solution of Partial Differential Equations I,,APMA,,
APMA 2570A,Numerical Solution of Partial Differential Equations III,,APMA,,
APMA 2630,Theory of Probability I,,APMA,,
APMA 2670,Mathematical Statistics I,,APMA,,
APMA 2812J,Stochastic Differential Equations with Applications,,APMA,,
APMA 2822B,Introduction to Parallel Computing on Heterogeneous (CPU+GPU) Systems,,APMA,,
APMA 2980,Research in Applied Mathematics,,APMA,,
APMA 2990,Thesis Preparation,,APMA,,
ARAB 0100,First-Year Arabic,,ARAB,,
ARAB 0300,Second-Year Arabic,,ARAB,,
ARAB 0500,Third-Year Arabic,,ARAB,,
ARAB 0700,Advanced Arabic: Tales of the City,,ARAB,,
ARAB 1990,"Special Topics in Arabic Language, Literature, and Culture",,ARAB,,
ARAB 2450,Exchange Scholar Program,,ARAB,,
ARCH 0030,Art in Antiquity: An Introduction,,ARCH,,
ARCH 0160,"Buried History, Hidden Wonders: Discovering East Asian Archaeology",,ARCH,,
ARCH 0255,Monsters and Fantastic Creatures,,ARCH,,
ARCH 1600,Archaeologies of the Near East,,ARCH,,
ARCH 1900,The Archaeology of College Hill,,ARCH,,
ARCH 1970,Individual Study Project in Old World Archaeology and Art,,ARCH,,
ARCH 1990,Senior Honors Thesis in Archaeology and the Ancient World,,ARCH,,
ARCH 2105,Ceramic Analysis for Archaeology,,ARCH,,
ARCH 2720,Abydos: The Layered Pasts of a Sacred Site,,ARCH,,
ARCH 2950,Intensive Readings in Ancient Language for Archaeologists,,ARCH,,
ARCH 2970,Preliminary Examination Preparation,,ARCH,,
ARCH 2975,Primary Field Exam Preparation,,ARCH,,
ARCH 2976,Secondary Field Exam Preparation,,ARCH,,
ARCH 2980,Individual Reading,,ARCH,,
ARCH 2982,Individual Reading for Dissertation,,ARCH,,
ARCH 2983,Dissertation Research,,ARCH,,
ARTS 1006,Playing The Villain On Camera,,ARTS,,
ARTS 1015,The Art of Non-Linear Worldforming + Digital Tulpamancy,,ARTS,,
ARTS 1016,Curatorial Praxis: Caring for and Curating Indigenous Contemporary Art,,ARTS,,
ARTS 1970,Brown Arts Institute Independent Study,,ARTS,,
