courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACC 200,Introduction to Financial Accounting,"(None, None)",Accounting,Undergraduate,
ACC 201,Principles of Financial Accounting,"(None, None)",Accounting,Undergraduate,
ACC 202,Principles of Managerial Accounting,"(None, None)",Accounting,Undergraduate,
ACC 210,Professional Practice of Accounting,"(None, None)",Accounting,Undergraduate,
ACC 260,Accounting Applications for Small Business,"(None, None)",Accounting,Undergraduate,
ACC 299X,Experimental/Developmental Topics,"(None, None)",Accounting,Undergraduate,
ACC 301,Financial Accounting and Reporting I,"(None, None)",Accounting,Undergraduate,
ACC 302,Financial Accounting and Reporting II,"(None, None)",Accounting,Undergraduate,
ACC 305,Accounting Systems and Analytics,"(None, None)",Accounting,Undergraduate,
ACC 306,Managerial Accounting,"(None, None)",Accounting,Undergraduate,
ACC 369,Internship in Accounting,"(None, None)",Accounting,Undergraduate,
ACC 401,Federal Taxation of Individuals and Businesses,"(None, None)",Accounting,Undergraduate,
ACC 410,Tax Planning for Businesses and Entities,"(None, None)",Accounting,Undergraduate,
ACC 415,Practicum in Individual Income Tax,"(None, None)",Accounting,Undergraduate,
ACC 420,Selected Topics in Accounting,"(None, None)",Accounting,Undergraduate,
ACC 430,Government and Nonprofit Accounting,"(None, None)",Accounting,Undergraduate,
ACC 440,Advanced Financial Accounting and Reporting,"(None, None)",Accounting,Undergraduate,
ACC 451,Auditing Principles and Practices,"(None, None)",Accounting,Undergraduate,
ACC 495,Special Topics in Accounting,"(None, None)",Accounting,Undergraduate,
ACC 497,Independent Study in Accounting,"(None, None)",Accounting,Undergraduate,
ACR 211,Ceramics: Introduction,"(None, None)",Art:  Crafts,Undergraduate,
ACR 221,Metals: Introduction,"(None, None)",Art:  Crafts,Undergraduate,
ACR 231,Glass: Introduction,"(None, None)",Art:  Crafts,Undergraduate,
ACR 233,Glass: Kiln Sculpting,"(None, None)",Art:  Crafts,Undergraduate,
ACR 291,Ceramics for Non-Majors,"(None, None)",Art:  Crafts,Undergraduate,
ACR 292,Metals for Non-Majors,"(None, None)",Art:  Crafts,Undergraduate,
ACR 293,Glass for Non-Majors,"(None, None)",Art:  Crafts,Undergraduate,
ACR 299X,Experimental Topics in Three-Dimensional Art,"(None, None)",Art:  Crafts,Undergraduate,
ACR 300,Craft Workshop,"(None, None)",Art:  Crafts,Undergraduate,
ACR 312,Ceramics: Throwing,"(None, None)",Art:  Crafts,Undergraduate,
ACR 313,Ceramics: Hand Building: The Figure in Clay/Mold Making Slip Casting/Firing and Surface Design,"(None, None)",Art:  Crafts,Undergraduate,
ACR 316,Ceramics: Glaze and Kiln Technology,"(None, None)",Art:  Crafts,Undergraduate,
ACR 322,Metals + Jewelry: Casting and Forming Methods,"(None, None)",Art:  Crafts,Undergraduate,
ACR 324,Metals + Jewelry: Enameling,"(None, None)",Art:  Crafts,Undergraduate,
ACR 325,Metals + Jewelry: Jewelry Construction,"(None, None)",Art:  Crafts,Undergraduate,
ACR 326,Metals + Jewelry: Production Jewelry Methods,"(None, None)",Art:  Crafts,Undergraduate,
ACR 331,Glass: Flame Special Topics,"(None, None)",Art:  Crafts,Undergraduate,
ACR 332,Glass: Hot Shop Design,"(None, None)",Art:  Crafts,Undergraduate,
ACR 333,Glass: Casting,"(None, None)",Art:  Crafts,Undergraduate,
ACR 335,Glass: Conceptual Construction,"(None, None)",Art:  Crafts,Undergraduate,
ACR 369,Craft Internship,"(None, None)",Art:  Crafts,Undergraduate,
ACR 415,Independent Study in Crafts,"(None, None)",Art:  Crafts,Undergraduate,
ACR 498,Seminar in Crafts,"(None, None)",Art:  Crafts,Undergraduate,
ADPR 122,Sports Media and Strategic Communication,"(None, None)",Advertising And Public Relations,Undergraduate,
ADPR 170,AI in Creative Storytelling,"(None, None)",Advertising And Public Relations,Undergraduate,
ADPR 182,Media Analytics and Content Strategy,"(None, None)",Advertising And Public Relations,Undergraduate,
ADPR 202,Strategic Communication Theory and Inquiry,"(None, None)",Advertising And Public Relations,Undergraduate,
ADPR 250,Introduction to Advertising,"(None, None)",Advertising And Public Relations,Undergraduate,
ADPR 261,Principles of Public Relations,"(None, None)",Advertising And Public Relations,Undergraduate,
ADPR 270,AI and Media Analytics,"(None, None)",Advertising And Public Relations,Undergraduate,
ADPR 282,Media Analytics Metrics,"(None, None)",Advertising And Public Relations,Undergraduate,
ADPR 314,Strategic Communication I: Esports and Sports,"(None, None)",Advertising And Public Relations,Undergraduate,
ADPR 348,Social Media Management and Practice,"(None, None)",Advertising And Public Relations,Undergraduate,
ADPR 352,Media Planning,"(None, None)",Advertising And Public Relations,Undergraduate,
ADPR 354,Advertising Copy & Layout,"(None, None)",Advertising And Public Relations,Undergraduate,
ADPR 355,Branding for Advertising,"(None, None)",Advertising And Public Relations,Undergraduate,
ADPR 360,Content Strategies Using AI,"(None, None)",Advertising And Public Relations,Undergraduate,
ADPR 370,AI and Audience Insights,"(None, None)",Advertising And Public Relations,Undergraduate,
ADPR 385,Public Relations Advanced Writing,"(None, None)",Advertising And Public Relations,Undergraduate,
ADPR 397,Public Relations Topics,"(None, None)",Advertising And Public Relations,Undergraduate,
ADPR 398,Advertising Topics,"(None, None)",Advertising And Public Relations,Undergraduate,
ADPR 405,Public Relation Case Studies,"(None, None)",Advertising And Public Relations,Undergraduate,
ADPR 414,Strategic Communication II: Esports and Sports,"(None, None)",Advertising And Public Relations,Undergraduate,
ADPR 456,Advertising Campaigns,"(None, None)",Advertising And Public Relations,Undergraduate,
ADPR 465,Public Relations Campaigns,"(None, None)",Advertising And Public Relations,Undergraduate,
