courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AAP 101SEM,Introduction to Arts Management,"(3, 3)",,,
AAP 405SEM,Creative Workers and Labor Rights,"(3, 3)",,,
AAS 100LEC,Introduction to African American Studies,"(3, 3)",,,
AAS 117SEM,Hip Hop and Social Issues,"(3, 3)",,,
AAS 118LEC,Introduction to African American Music,"(3, 3)",,,
AAS 128SEM,Public Policies & Social Justice,"(3, 3)",,,
AAS 149SEM,Special Topics,"(3, 3)",,,
AAS 199SEM,UB Seminar,"(3, 3)",,,
AAS 209LEC,The Story of African Art and Culture,"(3, 3)",,,
AAS 218SEM,Special Topics,"(3, 3)",,,
AAS 231SEM,Topics in African American Studies,"(3, 3)",,,
AAS 233SEM,Topics in African American Studies,"(3, 3)",,,
AAS 236SEM,Topics in African American Studies,"(3, 3)",,,
AAS 239LEC,Topics in African American Studies,"(3, 3)",,,
AAS 253LEC,Blacks in Films,"(3, 3)",,,
AAS 254LEC,Race in Films,"(3, 3)",,,
AAS 261LEC,African American History,"(3, 3)",,,
AAS 264SEM,Black Child in America,"(3, 3)",,,
AAS 270LEC,Major Issues in Caribbean Studies,"(3, 3)",,,
AAS 271LEC,African American Literature,"(3, 3)",,,
AAS 280LEC,Survey of African Studies,"(3, 3)",,,
AAS 293SEM,"Race, Law, and Society","(3, 3)",,,
AAS 297LEC,Religion in the Inner City,"(3, 3)",,,
AAS 301LEC,African American Literature: Prose,"(3, 3)",,,
AAS 312SEM,Gender Issues Cont Africa,"(3, 3)",,,
AAS 314SEM,Black Philosophy,"(3, 3)",,,
AAS 315LEC,Ancient African Civilizations,"(3, 3)",,,
AAS 318SEM,Black Presnc Lat Am Cult,"(3, 3)",,,
AAS 320SEM,Research Methods,"(3, 3)",,,
AAS 324LEC,Black Writers,"(3, 3)",,,
AAS 327SEM,Current African Affairs,"(3, 3)",,,
AAS 333LEC,"Race, Ethnicity, and Education","(3, 3)",,,
AAS 341SEM,Hist of African Amer Music,"(3, 3)",,,
AAS 350SEM,Identity Politics,"(3, 3)",,,
AAS 355SEM,"Race, Class, and Society","(4, 4)",,,
AAS 358SEM,African Diaspora,"(3, 3)",,,
AAS 382SEM,Special Topics,"(3, 3)",,,
AAS 385SEM,Special Topics,"(3, 3)",,,
AAS 386SEM,Male-Female Relationships,"(3, 3)",,,
AAS 395SEM,Black Gender Studies,"(3, 3)",,,
AAS 414SEM,Health Problems in the Black Community,"(3, 3)",,,
AAS 417SEM,Black Aesthetics,"(3, 3)",,,
AAS 425SEM,Liberation Struggles of the African Diaspora,"(3, 3)",,,
AAS 460SEM,Black Women in United States History,"(3, 3)",,,
AAS 461SEM,Special Topics,"(3, 3)",,,
AAS 496TUT,Community Internship,"(1, 5)",,,
AAS 497SEM,Honors Seminar,"(4, 4)",,,
AAS 498SEM,Senior Seminar: Research Project,"(3, 3)",,,
AAS 499TUT,Independent Study,"(1, 4)",,,
AED 101LR,College Physics,"(None, None)",,,
AED 198SEM,UB Seminar,"(1, 1)",,,
AED 199SEM,UB Seminar,"(1, 1)",,,
AED 496TUT,Architecture & Environmental Design Practicum,"(1, 6)",,,
AED 498LAB,Research Topics in Architecture and Environmental Design,"(2, 6)",,,
AED 499TUT,Independent Study in Architecture & Environmental Design,"(1, 8)",,,
AHI 101LEC,Survey of Art History: Egypt to Northern Renaissance,"(3, 3)",,,
AHI 102LR,Survey of Art History: Italian Renaissance to Present,"(3, 3)",,,
AHI 105LEC,Mythology in the Ancient World,"(3, 3)",,,
AHI 111LR,Cultural Histories Through Art,"(3, 3)",,,
AHI 150LR,Avant Gardes,"(3, 3)",,,
AHI 198SEM,UB Seminar,"(1, 1)",,,
AHI 199SEM,UB Seminar,"(3, 3)",,,
AHI 200TUT,Sophomore Tutorial,"(1, 1)",,,
AHI 203LEC,Special Topics,"(3, 3)",,,
AHI 204LEC,Mythology in Art,"(None, None)",,,
AHI 206LEC,Introduction to Chinese Art,"(3, 3)",,,
AHI 207LEC,Arts of Islamic World,"(3, 3)",,,
AHI 212LEC,Special Topics,"(3, 3)",,,
AHI 248LEC,History of Photography,"(3, 3)",,,
AHI 258LEC,Impressionism & Post Impressionism,"(3, 3)",,,
AHI 275LEC,Art and Revolution,"(3, 3)",,,
AHI 300TUT,Junior Tutorial,"(1, 4)",,,
AHI 309LEC,Arts of the Islamic World,"(3, 3)",,,
AHI 319SEM,Special Topics,"(3, 3)",,,
AHI 333LEC,Introduction to Greek Archaeology II,"(3, 3)",,,
AHI 336LEC,Greek Archaeology 1,"(3, 3)",,,
AHI 351LEC,Introduction to Modern Art,"(3, 3)",,,
AHI 363LEC,Social Issues in American Art,"(3, 3)",,,
AHI 380LEC,Image and Gender,"(3, 3)",,,
AHI 395LEC,Contemporary Art,"(3, 3)",,,
AHI 400TUT,Senior Tutorial,"(1, 4)",,,
AHI 411SEM,Special Topics,"(3, 3)",,,
AHI 470SEM,Global Modernisms,"(3, 3)",,,
AHI 494SEM,Aims & Methods,"(3, 3)",,,
AHI 496TUT,Museum Internship,"(1, 5)",,,
AHI 497TUT,Honors Thesis Tutorial,"(3, 3)",,,
AHI 499TUT,Independent Study,"(1, 4)",,,
AI 101LEC,AI & Society,"(3, 3)",,,
AI 102LLR,"Introduction to Computational Fundamentals: Programming, Machines, and Constructing Knowledge","(4, 4)",,,
AI 104LR,Introduction to Computational Expression,"(4, 4)",,,
AI 211LEC,Technological Disruption and Diffusion,"(3, 3)",,,
AI 220LR,Applied Linear Algebra and Probability for AI,"(4, 4)",,,
AI 300LEC,Applied Machine Learning,"(4, 4)",,,
AI 320LR,Computation for AI and the Social Sciences,"(4, 4)",,,
AI 323LEC,AI and Social Structures,"(3, 3)",,,
AI 325LEC,AI & The Information Environment,"(3, 3)",,,
AI 494LR,AI and Society Capstone,"(3, 3)",,,
AMS 102LEC,The Asian American Experience,"(3, 3)",,,
AMS 103LEC,Intro African Amer Stds,"(3, 3)",,,
AMS 107LEC,Introduction to American Studies,"(3, 3)",,,
AMS 111SEM,Hip Hop and Social Issues,"(3, 3)",,,
AMS 113SEM,American Lives and Environments: Folklore and Social Groups,"(3, 3)",,,
AMS 114SEM,American Lives and Environments: Folklore and Social Groups,"(3, 3)",,,
AMS 122SEM,Art & Socl Consciousness,"(3, 3)",,,
AMS 144LEC,Native American Natural Resources,"(3, 3)",,,
AMS 145LEC,Cities of the World,"(3, 3)",,,
AMS 147SEM,Topics,"(3, 3)",,,
AMS 197SEM,Seneca Language,"(4, 4)",,,
AMS 199SEM,UB Seminar,"(3, 3)",,,
AMS 206LEC,Women in the Global System,"(3, 3)",,,
AMS 207LEC,U S in the World,"(3, 3)",,,
AMS 229SEM,Top:,"(3, 3)",,,
AMS 264SEM,Black Child in America,"(3, 3)",,,
AMS 265LEC,"Diversity, Equity, Inclusion, and Social Justice in the United States","(3, 3)",,,
AMS 272LEC,Native American Literature,"(3, 3)",,,
AMS 276LEC,Languages and Cultures of Native North America,"(3, 3)",,,
AMS 278SEM,Special Topics,"(3, 3)",,,
AMS 279SEM,Contemporary Problems of American Indians,"(3, 3)",,,
AMS 281SEM,Native Americans and the Colonial Problem,"(3, 3)",,,
AMS 293SEM,"Race, Law, and Society","(3, 3)",,,
AMS 302SEM,Politics of Everyday Life: Food and Eating,"(3, 3)",,,
