courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ICR 101,Centering Citizenship & Community Engagement,,ICR,,
AC 100,Volunteer Income Tax Assistance,,AC,,
AC 203,Introduction to Accounting,,AC,,
AC 204,Introduction to Accounting II,,AC,,
AC 301,Intermediate Accounting I,,AC,,
AC 302,Intermediate Accounting II,,AC,,
AC 310,Advanced Managerial Accounting,,AC,,
AC 320,Auditing,,AC,,
AC 325,Accounting Information Systems,,AC,,
AC 342,Financial Statement Analysis,,AC,,
AC 401,Independent Study,,AC,,
AC 402,Independent Study,,AC,,
AC 403,Independent Study,,AC,,
AC 406,Fundamentals of Income Taxation,,AC,,
AC 495,Special Topics in Accounting,,AC,,
AC 499,Honors Thesis,,AC,,
AI 101,Heritage and Values of the United States Air Force,,AI,,
AI 102,Heritage and Values of the United States Air Force,,AI,,
AI 201,Team and Leadership Fundamentals,,AI,,
AI 202,Team and Leadership Fundamentals,,AI,,
AI 301,Leading People and Effective Communication,,AI,,
AI 302,Leading People and Effective Communication,,AI,,
AI 401,National Security Affairs/Preparation for Active Duty,,AI,,
AI 402,National Security Affairs/Preparation for Active Duty,,AI,,
AR 210-MA,Statistically Speaking,,AR,,
AR 211-MA,Codes and Secret Messages,,AR,,
AR 212-MA,"Win, Lose, or Draw",,AR,,
AR 213-MA,Infinity and Beyond,,AR,,
AR 214-MA,Beauty (not the Beast) in Mathematics,,AR,,
AR 220-CS,Robot Programming,,AR,,
AR 231-PL,Principles of Reasoning,,AR,,
AR 240,Bracket Busting,,AR,,
AN 101,An Introduction to History & Anthropology,,AN,,
AN 280,Sub-Fields in Anthropology,,AN,,
AN 302,The Body and Society,,AN,,
AN 304,Medical Anthropology,,AN,,
AN 305,Anthropology of Disability,,AN,,
AN 306,Anthropology of Reproductive Technologies,,AN,,
AN 308,Anthropology of Death and Dying,,AN,,
AN 311,Anthropology of Difference,,AN,,
AN 315,Gender and Colonialism,,AN,,
AN 320,Gender and Sexuality in Globalization,,AN,,
AN 322,"Sex, Gender, and Sexuality in Modern Japan",,AN,,
AN 323,Sex Education & Culture,,AN,,
AN 326,Youth Conflict Global Cinema,,AN,,
AN 328,Popular Culture,,AN,,
AN 329,Japanese Popular Culture,,AN,,
AN 333,"Folklore, Culture, and Society",,AN,,
AN 334,"Women, Gender, & Folklore",,AN,,
AN 340,Non-Western Art,,AN,,
AN 342,"Science, Technology, and Society",,AN,,
AN 345,Conflict Resolution Through Arts,,AN,,
AN 346,The Anthropology of Sport,,AN,,
AN 347,Museum Studies,,AN,,
AN 350,Anthropological Methods,,AN,,
AN 352,Ethnography,,AN,,
AN 366,East Asia through Ethnography,,AN,,
AN 368,Coming of Age in the Middle East,,AN,,
AN 370,"Anthropology of Africa, Medicine and Technology",,AN,,
AN 372,"Anthropology of Africa, Gender and Sexuality",,AN,,
AN 380,Selected Topics in Anthropology,,AN,,
AN 390,Development of Anthropological Thought,,AN,,
AN 391,Development of Archaeological Thought,,AN,,
AN 460,Capstone Seminar in Anthropology,,AN,,
AN 481,Independent Study,,AN,,
AN 482,Independent Study,,AN,,
AN 483,Independent Study,,AN,,
AN 484,Internship,,AN,,
AN 485,Internship,,AN,,
AN 491,Internship,,AN,,
AN 492,Internship,,AN,,
AN 493,Internship,,AN,,
AN 496,Internship,,AN,,
AN 499,Honors Thesis,,AN,,
MS 100,Business Applications with Excel,,MS,,
MS 264,Statistics,,MS,,
MS 265,Information Technology,,MS,,
MS 350,Operations and Supply Chain Management,,MS,,
MS 365,Information Technology II - Business Analytics,,MS,,
MS 370,Data Networks and Information Security,,MS,,
MS 372,Database Design,,MS,,
MS 374,Web Design & E-Commerce,,MS,,
MS 375,Systems Analysis & Design,,MS,,
MS 377,Health Care Information & Technology Management,,MS,,
MS 378,Data Analysis and Business Modeling,,MS,,
MS 379,Contemporary Technologies,,MS,,
MS 401,Independent Study,,MS,,
MS 402,Independent Study,,MS,,
MS 403,Independent Study,,MS,,
MS 450,International & Sustainable Supply Chains,,MS,,
MS 465,Enterprise Information Systems,,MS,,
MS 466,Capstone: Applied Case with Systems Analysis and Project Management,,MS,,
MS 495,Special Topics in Management Science,,MS,,
MS 499,Honors Thesis,,MS,,
AM 11,Keyboard Skills 1,,AM,,
AM 12,Keyboard Skills 2,,AM,,
