courseId,courseName,courseDescription,courseCredits,courseSubject,courseLevel,courseCampus
CMLIT 420R,12th-C Renaissance,,"(3, 3)",,,
CMLIT 420R,17th-Century Lit,Problems of literary periodization in the 17th century.,"(3, 3)",,,
CMLIT 620R,17th-Century Lit,,"(3, 3)",,,
CMLIT 620R,18th-Century Lit,,"(3, 3)",,,
CMLIT 420R,18th-Century Lit,Problems of literary periodization in the 18th century.,"(3, 3)",,,
FREN 690R,19th C French Novelists,,"(3, 3)",,,
LAW 555,1L Skills Lab,"Develop and refine a range of skills that will improve performance on law school exams, on the bar, and in the practice of law.","(1, 1)",,,
ART 320,20th Century Art & Theory,Survey of modernism and postmodernism with their varied theories and methodologies as related to visual culture and art.,"(3, 3)",,,
FREN 690R,20th C French Novelists,,"(3, 3)",,,
CMLIT 420R,20th-Century Lit,Problems of literary periodization in the 20th century.,"(3, 3)",,,
CMLIT 620R,20th-Century Lit,,"(3, 3)",,,
DESGD 341,3-Dimensional Design,"An advanced studio course in three-dimensional design. 3-dimensional forms including packaging, environmental graphics, signage systems, and experience design. Appropriate material use and selection relative to sustainability will be emphasized. The tactile qualities of dimensional form and the development of strategic, viable design solutions will also be considered.","(3, 3)",,,
DESPX 210,3D Modeling Principles,Computer software programs relative to design disciplines.,"(3, 3)",,,
DES 480,3D Motion,"Continues the exploration of design and communication with motion and animation, including and especially designing in 3-D spaces. Design principles and storytelling concepts are employed to create short motion design projects.","(3, 3)",,,
MUSIC 347R,A Cappella Ensemble,For Noteworthy and Vocal Point.,"(1, 1)",,,
PSYCH 210,History of Psychology,Overview of psychological thinking from Ancient Greece to the present. Emphasizes a critical stance toward the assumptions and implications of major psychological theories.,"(3, 3)",,,
MATH 371,Abstract Algebra 1,"Groups, group homomorphisms, rings, ideals, and polynomials.","(3, 3)",,,
MATH 372,Abstract Algebra 2,"Fields, Galois theory, solvability of polynomials by radicals.","(3, 3)",,,
CPSE 615,Acad & Beh Problem Solving,"Training future Board Certified Behavior Analysts (BCBAs) in the skills necessary to shape, develop, and strengthen behavior in a school or clinic. Emphasis on problem solving skills within an MTSS framework such as (1) collaborating with colleagues, (2) consulting with other service providers, and (3) coaching individuals in need of additional professional support.","(4, 4)",,,
ACC 517,Archival Research Design,"Accounting research using archival methodologies. Focus on reading, interpreting, critiquing, and designing archival research. Designed for those planning to enter a PhD program.","(2, 2)",,,
CPSE 609,Acadmc Assessment & Intrvntn,"Curriculum-based evaluation integrated with standardized academic assessment of reading, writing, and math. Identifying academic needs; developing research-based interventions; setting goals; monitoring progress; and adapting interventions as needed.","(4, 4)",,,
ACC 518,Experimental Research Design,"In-depth study of accounting research using experimental methodologies. Focus on reading, interpreting, critiquing, and designing experimental research. Designed for those planning to enter a PhD program.","(2, 2)",,,
JAPAN 399R,Academic Internship,On-the-job cultural and/or language experience.,"(9, 9)",,,
ACINT 199R,Academic Internshp,"Planned and supervised on-the-job experience, including cooperative education, internships, and practica; allows students to integrate classroom study with the world of work.","(3, 3)",,,
MESA 399R,Academic Internship,Individualized work or volunteer experience in the Middle East or with an organization dealing with the Middle East. Must be coordinated through International Study Programs or the Washington Seminar and with the consent of the Middle East Studies/Arabic  coordinator.,"(3, 3)",,,
CE 199R,Academic Internship,Work experience evaluated by supervisor and posted on student's transcript.,"(3, 3)",,,
HIST 299R,Academic Internship,Work experience evaluated by supervisor and posted on student's transcript.,"(6, 6)",,,
MMBIO 399R,Academic Internship,Approved experiential learning.,"(9, 9)",,,
MUSIC 599R,Academic Internship,"Internship in creative, performing, producing, or teaching applications of major course work.","(6, 6)",,,
CH EN 199R,Academic Internship,Work experience evaluated by supervisor and posted on student's transcript.,"(3, 3)",,,
FINN 399R,Academic Internship,On-the-job experience in Finnish.,"(3, 3)",,,
STAT 199R,Academic Internship,Work experience evaluated by supervisor and posted on student's transcript.,"(3, 3)",,,
ENGL 399R,Academic Internship,On-the-job training.,"(9, 9)",,,
EDLF 399R,Academic Internship,On-the-job experience and training under the guidance of a mentor.,"(9, 9)",,,
TMA 399R,Academic Internship,Off-campus experience or internship in theatre or media arts.,"(9, 9)",,,
NDFS 399R,Academic Internship,"Off-campus work experience sponsored by industrial, government, or academic institutions.","(9, 9)",,,
MFGEN 399R,Academic Internship,Working in teams to solve problems encountered in industry. Project management and reporting under guidance of industry supervisor and department faculty.,"(3, 3)",,,
PSYCH 399R,Academic Internship,Supervised professional experiences linking academic learning with experience in the field of psychology.,"(9, 9)",,,
AM ST 399R,Academic Internship,"Examining the American experience from a variety of standpoints. Honing skills in writing; literary criticism; historical research; and social, political, and economic analysis.","(6, 6)",,,
SFL 399R,Academic Internship,Supervised professional experiences linking academic learning with experience in the field.,"(9, 9)",,,
TMA 599R,Academic Internship,Off-campus experience or internship in theatre or media arts.,"(9, 9)",,,
TMA 688R,Academic Internship,Off-campus experience or internship in theatre or media arts.,"(9, 9)",,,
IP&T 599R,Academic Internship,Practicing skills learned and receiving evaluation and feedback from internship sponsors.,"(6, 6)",,,
LFSCI 399R,Academic Internship,Approved experiential learning.,"(6, 6)",,,
SWED 399R,Academic Internship,On-the-job experience in Swedish.,"(3, 3)",,,
POLI 399R,Academic Internship,"Work-study on the international, national, state, and local level.","(9, 9)",,,
IHUM 399R,Academic Internship,"Combined study-work experience related to the humanities major (museums, government agencies, publishing firms, etc. ).","(9, 9)",,,
PHSCS 399R,Academic Internship,"Research experience in an industrial, academic, or government laboratory, reported to a BYU faculty member.","(9, 9)",,,
ECON 199R,Academic Internship,Internship to apply economic analysis.,"(3, 3)",,,
GEOL 399R,Academic Internship,,"(9, 9)",,,
TMA 496R,Academic Internship,Off-campus experience or internship in theatre or media arts.,"(12, 12)",,,
SOC 399R,Academic Internship,Individualized work or volunteer experience in either a research setting or some kind of field placement with an organization.,"(6, 6)",,,
MSB 199R,Academic Internship,Supervised experience for Pre-Business students in business related work. Opportunity to link learning with practical field applications.,"(3, 3)",,,
KOREA 399R,Academic Internship,On-the-job cultural and language experience.,"(9, 9)",,,
MATH 399R,Academic Internship,On-the-job experience.,"(9, 9)",,,
ECE 496R,Academic Internship,A full-year classroom teaching internship in the public schools.,"(12, 12)",,,
STDEV 199R,Academic Internship,Work experience evaluated by supervisor and faculty mentor and posted on transcript.,"(3, 3)",,,
TMA 199R,Academic Internship,Off-campus experience or internship in theatre and media arts.,"(3, 3)",,,
ARTHC 599R,Academic Internship,Professional museum experience with a curatorial mentor.,"(8, 8)",,,
RUSS 199R,Academic Internship,On-the-job experience evaluated by supervisor and posted on student's transcript. Report required.,"(3, 3)",,,
PWS 199R,Academic Internship,Work experience evaluated by supervisor and posted on student's transcript.,"(3, 3)",,,
COMMS 496R,Academic Internship,Professional field experience.,"(6, 6)",,,
COMMS 399R,Academic Internship,Professional field experience.,"(1, 1)",,,
ENGL 599R,Academic Internship,On-the-job training.,"(9, 9)",,,
MUSIC 399R,Academic Internship,"Internship or externship in creative, performing, producing, or teaching applications of major course work.","(6, 6)",,,
TES 496,Academic Internship,"Capstone, field-based, year-long experience in teaching secondary students; demonstrating proficiency in all program standards. Seminar required.","(12, 12)",,,
PHSCS 599R,Academic Internship,Cooperative education internships off campus.,"(9, 9)",,,
EL ED 496R,Academic Internship,A full-year classroom teaching internship in the public schools.,"(12, 12)",,,
EC EN 199R,Academic Internship,Work experience evaluated by supervisor and posted on student's transcript.,"(3, 3)",,,
BIO 399R,Academic Internship,This course provides credit for students engaged in internship opportunities within the university or with research or industry groups outside of the university. Students will gain practical skills through mentored experiences in authentic environments.,"(6, 6)",,,
P POL 599R,Academic Internship,Internship with an organization conducting policy analysis.,"(9, 9)",,,
NORWE 399R,Academic Internship,On-the-job experience in Norwegian.,"(3, 3)",,,
ICLND 399R,Academic Internship,On-the-job experience in Icelandic.,"(3, 3)",,,
GEOL 599R,Academic Internship,,"(9, 9)",,,
TES 399R,Academic Internship,Work experience in technical and/or teaching environment. Internship will be supervised by employer and program internship coordinator. Formal technical report required.,"(3, 3)",,,
SCAND 399R,Academic Internship,,"(9, 9)",,,
CPSE 688R,Academic Internship,Practical experience in a public school setting.,"(3, 3)",,,
RUSS 399R,Academic Internship,On-the-job experience in Russian-related areas. Report required.,"(9, 9)",,,
C S 199R,Academic Internship,Internships or cooperative education experiences with organizations outside BYU.,"(3, 3)",,,
GEOG 399R,Academic Internship,On-the-job experience.,"(6, 6)",,,
