courseId,courseName,courseDescription,courseCredits,courseSubject,courseLevel,courseCampus
AERO 121,Aerospace Fundamentals,Introduction to the engineering profession including the aeronautical and aerospace fields. Engineering approach to problem-solving and analysis of data obtained from experiments. Basic nomenclature and design criteria used in the aerospace industry. Applications to basic problems in the field.,"(None, None)",Aerospace Engineering (Aero),,
AERO 200,Special Problems for Undergraduates,"Individual investigation, research, studies, or surveys of selected problems. Total credit limited to 4 units.","(1, 4)",Aerospace Engineering (Aero),,
AERO 215,Introduction to Aerospace Design,Introduction to problem solving techniques and team-centered design projects in aerospace engineering. Primary emphasis on the solutions of design problems in aerospace engineering using computers.,"(None, None)",Aerospace Engineering (Aero),,
AERO 220,Aerospace Systems Engineering and Integration,"Project-based study of fundamental systems engineering concepts including sub-system interface requirements, verification and validation, modeling/analysis/design, and implementation of complex aerospace systems.","(None, None)",Aerospace Engineering (Aero),,
AERO 270,Selected Topics,Directed group study of selected topics. The Class Schedule will list topic selected. Total credit limited to 8 units.,"(1, 4)",Aerospace Engineering (Aero),,
AERO 299,Aerospace Thermodynamics,"Basics of thermodynamics, energy, systems and control volume analysis. First law, second law, phase change and energy analysis for aerospace-relevant applications. Entropy and exergy, cycle analysis (Rankine, Brayton, turbojets and turbofans).","(None, None)",Aerospace Engineering (Aero),,
AERO 300,Aerospace Engineering Analysis,"Analytical and numerical methods for aerospace engineering problems. Topics include vector calculus, linear algebra, ordinary and partial differential equations, and Fourier transforms. Computer tools and numerical methods as applied to problems in aerodynamics, structures, stability and control and astronautics. Course may be offered in classroom-based or online format.","(None, None)",Aerospace Engineering (Aero),,
AERO 302,Aerospace Fluid Mechanics,"Properties of fluids, statics, mass/energy/momentum for aeronautical applications, external aerodynamics (lift and drag), dimensional analysis for scale testing, introduction to differential analysis and Navier-Stokes equations, basics of laminar and turbulent boundary layers.","(None, None)",Aerospace Engineering (Aero),,
AERO 303,Aerospace Gas Dynamics and Heat Transfer,"Basics of heat transfer and approaches to problem solving, steady heat conduction, convection (forced and natural), heat exchanger design, shock waves and compressible flow in nozzles and diffusers (normal, oblique, expansion waves), thermal radiation and applications.","(None, None)",Aerospace Engineering (Aero),,
AERO 306,Aerodynamics and Flight Performance,"Introduction to theoretical aerodynamics. Primary emphasis in the subsonic region, including compressibility effects. Basic aerodynamic theory:  Airfoil theory, wing theory, lift and drag. Team-centered aerodynamic design. Flight performance.","(None, None)",Aerospace Engineering (Aero),,
AERO 307,Experimental Aerodynamics,"Wind tunnel testing of basic aerodynamic properties of airfoils, finite wings, aircraft or spacecraft models, and vehicle flight performance. Emphasis on both static and dynamic responses of aircraft. Various measurement techniques, data reduction schemes, and analysis methods.","(None, None)",Aerospace Engineering (Aero),,
AERO 310,Air and Space,"Technological developments of modern aircraft and spacecraft through physics of flight equations, mission analysis, propulsion, structures, materials, and control systems for civil and military aircraft/spacecraft. Synthesis of current and future aerospace technologies through emerging ethical considerations, and global impact. Course may be offered in classroom-based or online format. Crosslisted as AERO/HNRS 310. Fulfills GE Upper-Division B (GE Areas B5, B6, or B7 for students on the 2019-20 catalog).","(None, None)",Aerospace Engineering (Aero),,
AERO 320,Fundamentals of Dynamics and Control,"Introduction to six degree of freedom rigid body dynamic and kinematic equations of motion, including coordinate transformations, Euler angles and quaternions for aerospace vehicles. Linearization and dynamic system theory and stability. Introduction to linear control theory, controller design and analysis. Course may be offered in classroom-based or online format.","(None, None)",Aerospace Engineering (Aero),,
AERO 321,"Experimental Sensors, Actuators and Control","Experiments in translational and rotational dynamics, structural, thermal, and flow control. Comparison of modeling/simulation results to experimental data. Role of actuators, sensors, noise, feedback, and supporting instrumentation hardware and software. Introduction to technical communication.","(None, None)",Aerospace Engineering (Aero),,
