courseId,courseName,courseDescription,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 5000,Financial and Managerial Accounting,,"(None, None)",Accounting (Graduate),,
ACCT 5200,Management Accounting Theory,,"(None, None)",Accounting (Graduate),,
ACCT 5210A,Taxation of Corporations and Partnerships,,"(None, None)",Accounting (Graduate),,
ACCT 5210C,State and Local Taxation,,"(None, None)",Accounting (Graduate),,
ACCT 5210D,IRS’ Volunteer Income Tax Assistance (VITA) Program,,"(None, None)",Accounting (Graduate),,
ACCT 5220,Seminar: Current Topics in Financial Reporting,,"(None, None)",Accounting (Graduate),,
ACCT 5240A,Accounting Information Systems,,"(None, None)",Accounting (Graduate),,
ACCT 5240B,Auditing,,"(None, None)",Accounting (Graduate),,
ACCT 5250,International Accounting,,"(None, None)",Accounting (Graduate),,
ACCT 5260,Financial Accounting Theory,,"(None, None)",Accounting (Graduate),,
ACCT 5270,Governmental and Institutional Accounting,,"(None, None)",Accounting (Graduate),,
ACCT 5290,Advanced Financial Accounting,,"(None, None)",Accounting (Graduate),,
ACCT 5340,Professional Accounting Ethics,,"(None, None)",Accounting (Graduate),,
ACCT 5350,Forensic Accounting,,"(None, None)",Accounting (Graduate),,
ACCT 5360,Advanced Forensic Accounting,,"(None, None)",Accounting (Graduate),,
ACCT 5440A,Advanced Accounting Information Systems,,"(None, None)",Accounting (Graduate),,
ACCT 5440B,Advanced Auditing,,"(None, None)",Accounting (Graduate),,
ACCT 5540,Special Topics in Accounting,,"(None, None)",Accounting (Graduate),,
ACCT 5610,CPA Exam Preparations,,"(None, None)",Accounting (Graduate),,
ACCT 5710,Accounting for Healthcare Managers,,"(None, None)",Accounting (Graduate),,
ACCT 5720,Seminar: Accounting for Small and Medium-Sized Entities,,"(None, None)",Accounting (Graduate),,
ACCT 5730,Specialized Industry Accounting,,"(None, None)",Accounting (Graduate),,
ACCT 5750,Leadership and Professional Skills for Accountants,,"(None, None)",Accounting (Graduate),,
ACCT 5850,Tax Planning for Individuals and Businesses,,"(None, None)",Accounting (Graduate),,
ACCT 5860,Tax And Accounting Research,,"(None, None)",Accounting (Graduate),,
ACCT 5870,Taxation of Corporations and Shareholders,,"(None, None)",Accounting (Graduate),,
ACCT 5880,Multijurisdictional Taxation,,"(None, None)",Accounting (Graduate),,
ACCT 5900,Taxation of Property Transactions,,"(None, None)",Accounting (Graduate),,
ACCT 5910,Taxation of Pass-Thru Entities,,"(None, None)",Accounting (Graduate),,
ACCT 5920,Federal Estate and Gift Taxes,,"(None, None)",Accounting (Graduate),,
ACCT 5930,Tax Procedures,,"(None, None)",Accounting (Graduate),,
ACCT 5980,Graduate Research Study,,"(None, None)",Accounting (Graduate),,
ACCT 5995,Case Studies and Research in Accounting,,"(None, None)",Accounting (Graduate),,
ACCT 2100,Principles of Financial Accounting,,"(None, None)",Accounting (Undergraduate),,
ACCT 2110,Principles of Managerial Accounting,,"(None, None)",Accounting (Undergraduate),,
ACCT 3100,Accounting Information for Decision Making,,"(None, None)",Accounting (Undergraduate),,
ACCT 3200A,Intermediate Financial Accounting and Reporting I,,"(None, None)",Accounting (Undergraduate),,
ACCT 3200B,Intermediate Financial Accounting and Reporting II,,"(None, None)",Accounting (Undergraduate),,
ACCT 3210,Taxation of Individuals,,"(None, None)",Accounting (Undergraduate),,
ACCT 3220,Cost Accounting,,"(None, None)",Accounting (Undergraduate),,
ACCT 3250,Leadership and Professional Skills for Accountants,,"(None, None)",Accounting (Undergraduate),,
ACCT 3610,Job Search for Accountants,,"(None, None)",Accounting (Undergraduate),,
ACCT 3620,Writing for Success,,"(None, None)",Accounting (Undergraduate),,
ACCT 3630,Fraud Detection Techniques,,"(None, None)",Accounting (Undergraduate),,
