courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACTG 210,Introduction to Financial Accounting,,ACTG,,
ACTG 211,Introduction to Managerial Accounting,,ACTG,,
ACTG 312,Financial Reporting and Statement Analysis,,ACTG,,
ACTG 320,Cost Accounting I,,ACTG,,
ACTG 330,Intermediate Financial Accounting I,,ACTG,,
ACTG 331,Intermediate Financial Accounting II,,ACTG,,
ACTG 339,Accounting Information Systems,,ACTG,,
ACTG 440,Accounting for Investments and Consolidations,,ACTG,,
ACTG 441,"Not-For Profit and Government Accounting, and International Accounting",,ACTG,,
ACTG 450,Individual Taxation,,ACTG,,
ACTG 451,Taxation of Corporations and Other Entities,,ACTG,,
ACTG 460,Auditing,,ACTG,,
ACTG 461,Accounting Analytics,,ACTG,,
ACTG 496,Special Topics in Accounting,,ACTG,,
ACTG 499,Individual Study,,ACTG,,
AFST 101,Introduction to Africana Studies,,AFST,,
AFST 179,"Gender, Sexuality, and Power in 19th and 20th Century Africa",,AFST,,
AFST 303,”Mixed Race” Identities,,AFST,,
AFST 304,"Culture, Society and Education in Ghana",,AFST,,
AFST 305,Afro-Latinx in the Americas,,AFST,,
AFST 315,Racialized Punishment,,AFST,,
AFST 320,Black Feminisms,,AFST,,
AFST 324,"African History through Film, Literature, and Music",,AFST,,
AFST 329,Experimental Course,,AFST,,
AFST 333,Mapping the Black Pacific(s): Afro-Asian Encounters,,AFST,,
AFST 344,Black Music and the African Diaspora,,AFST,,
AFST 379,Queer Politics in Africa,,AFST,,
AFST 390,Internship,,AFST,,
AFST 399,Individual Study,,AFST,,
AFST 491,Student-Faculty Research/Creative Activity,,AFST,,
AMST 102,Introduction to Asian American Studies,,AMST,,
AMST 203,Asian American Historical Experience,,AMST,,
AMST 205,Chinese American History and Experience,,AMST,,
AMST 215,Japanese American History and Experience,,AMST,,
AMST 280,Asian American Media,,AMST,,
AMST 342,Empire and Race in US History,,AMST,,
AMST 347,Topics in Asian American Studies,,AMST,,
AMST 376,Asian American Political History,,AMST,,
AMST 380,Chop Suey to the Kogi Taco Truck: Asian American Food and Identity,,AMST,,
AMST 390A,Independent Internship in Asian American Studies,,AMST,,
AMST 395,Asian Diasporas in Latin America,,AMST,,
AMST 396,Indians of California,,AMST,,
AMST 444T,Asian American Film,,AMST,,
AMST 491A,Student-Faculty Research/Creative Activity in Asian American Studies,,AMST,,
AVE 109,Fundamental Graphics I for Animation and Visual Effects,,AVE,,
AVE 120,Introduction to Animation and Visual Effects,,AVE,,
AVE 139,Environment Design and Layout for Animation Production,,AVE,,
AVE 202A,2D Computer Graphics I,,AVE,,
AVE 202B,3D Computer Graphics I,,AVE,,
AVE 206,Mechanics of Motion,,AVE,,
AVE 209,Fundamental Graphics II for Animation and Visual Effects,,AVE,,
AVE 219,Caricaturing for Animation,,AVE,,
AVE 220,Production for Animation,,AVE,,
AVE 229,Experimental Course,,AVE,,
AVE 239,Visual Development for Animation,,AVE,,
AVE 242,Compositing for Visual Effects,,AVE,,
AVE 247,History and Aesthetics of Animation and Visual Effects,,AVE,,
AVE 249,Storytelling in Animation and Visual Effects,,AVE,,
AVE 256A,Beginning Character Animation for 2D,,AVE,,
AVE 256B,Beginning Character Animation for CG,,AVE,,
AVE 269,Introduction to Techniques and Technologies for Visual Effects,,AVE,,
AVE 290,Independent Internship,,AVE,,
AVE 291,Student-Faculty Research/Creative Activity,,AVE,,
AVE 292,Preproduction Gen AI for animation and VFX,,AVE,,
AVE 299,Individual Study,,AVE,,
AVE 302A,2D Computer Graphics II,,AVE,,
AVE 302B,3D Computer Graphics II,,AVE,,
AVE 308,Stop Motion Animation,,AVE,,
AVE 309,Figure Drawing for Animators,,AVE,,
AVE 310,Animation and Visual Effects: Evenings with the Experts,,AVE,,
AVE 320,Pitching and Showrunning for TV Animation,,AVE,,
AVE 323,Color and Design: Principles and Practice,,AVE,,
AVE 329,Experimental Course,,AVE,,
AVE 332,Unreal Previs,,AVE,,
AVE 342,Virtual Production Workshop for Animation and Visual Effects,,AVE,,
AVE 348,Animation Story Telling at Gobelins in the heart of Paris,,AVE,,
AVE 349A,2D Short Film,,AVE,,
AVE 349B,3D Short Film,,AVE,,
AVE 354,Storyboarding and Story Reels,,AVE,,
AVE 355,Production Design for Animation and Visual Effects,,AVE,,
AVE 356A,Intermediate Character Animation for 2D,,AVE,,
AVE 356B,Intermediate Character Animation for CG,,AVE,,
AVE 357,Writing for Animation,,AVE,,
AVE 358,"The Historic, Cultural, and Commercial Influence of Japanese Animation",,AVE,,
AVE 362,Theme Park Attraction Design in Unreal,,AVE,,
AVE 365,3D Production Design for Animation,,AVE,,
AVE 369,Intermediate Techniques and Technologies for Visual Effects,,AVE,,
AVE 372,Unreal Engine for Filmmakers,,AVE,,
AVE 378,Game Jam,,AVE,,
AVE 379,Advanced Techniques and Technologies for VFX,,AVE,,
AVE 382,Advanced Unreal Engine,,AVE,,
AVE 385,Character Design,,AVE,,
AVE 392,Advanced Pre-visualization for Motion Pictures,,AVE,,
AVE 395,3D Character Design,,AVE,,
AVE 399,Individual Study,,AVE,,
AVE 402,Advanced 3D Computer Graphics,,AVE,,
AVE 429,Experimental Course,,AVE,,
AVE 439,Advanced Background Layout and Painting,,AVE,,
AVE 454,Advanced Storyboards and Character Layout,,AVE,,
AVE 456A,Advanced Character Animation for 2D,,AVE,,
AVE 456B,Advanced Character Animation for CG,,AVE,,
AVE 469,On-Set and Post-Production Visual Effects Supervision,,AVE,,
AVE 490,Independent Internship,,AVE,,
AVE 491,Student-Faculty Research/Creative Activity,,AVE,,
AVE 495,2D Group Film,,AVE,,
AVE 496,Senior Thesis I: Concept Development,,AVE,,
AVE 497,Senior Thesis II: Pre-Production and Production Lab and Lecture,,AVE,,
AVE 498,Senior Thesis III: Production II and Post-Production,,AVE,,
AVE 499,Individual Study,,AVE,,
ANTH 102,Cultural Anthropology,,ANTH,,
ANTH 201,Physical Anthropology,,ANTH,,
ANTH 205,Language and Culture,,ANTH,,
ANTH 211,Visual Culture,,ANTH,,
ANTH 225,Radical Placemaking in Orange County,,ANTH,,
ANTH 229,Experimental Course,,ANTH,,
ANTH 291,Student-Faculty Research/Creative Activity,,ANTH,,
ANTH 300,Queer Anthropology,,ANTH,,
ANTH 301,Ethnographic Fieldwork,,ANTH,,
ANTH 303,Abject Bodies,,ANTH,,
ANTH 305,Anthropological Theory,,ANTH,,
ANTH 315,Art and Anthropology,,ANTH,,
ANTH 316,Political Ecology,,ANTH,,
ANTH 320,Anthropology of Death,,ANTH,,
ANTH 321,Archaeology,,ANTH,,
ANTH 324,Ethnofiction Through Contemporary Narratives,,ANTH,,
ANTH 329,Experimental Course,,ANTH,,
ANTH 330,"Culture, Health, and Medicine",,ANTH,,
ANTH 335,Anthropology of Space and Place,,ANTH,,
ANTH 335A,The Anthropology of Space and Place: Disneyland,,ANTH,,
ANTH 335B,The Anthropology of Space and Place: Ethnic Enclaves in Asian America,,ANTH,,
ANTH 335C,Anthropology of Space and Place: Japan,,ANTH,,
ANTH 337,Culture(s) of Outer Space,,ANTH,,
ANTH 343,Archaeology of the Contemporary World,,ANTH,,
ANTH 361,Conflict and Social Change in Latin America,,ANTH,,
ANTH 371,Solarpunks and Saboteurs: Ecosocial Movements,,ANTH,,
ANTH 397,Anthropology Capstone I: Field Research,,ANTH,,
ANTH 399,Individual Study,,ANTH,,
ANTH 450,Postcolonial Women Writers,,ANTH,,
ANTH 491,Student-Faculty Research/Creative Activity,,ANTH,,
