courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ANTH 4620,"Language, Culture, and Thought",,ANTH,,
CHNS 3203,Advanced Chinese Grammar and Conversation,,CHNS,,
ETFS 4132,Fireground Hydraulics,,ETFS,,
ETFS 4901,Fire Safety Research & Data Analysis,,ETFS,,
EXER 1100,Introduction to Anatomy and Physiology,,EXER,,
HAHS 1511,Local Social Science: Issues of Health and Quality of Life,,HAHS,,
ITLN 1502,Global Arts/Humanities: Italian Culture in the World,,ITLN,,
MATH 1241L,The Academic Success Experience,,MATH,,
PHYS 2603,Practical Seminar: Cleanroom Microlithography,,PHYS,,
ACCT 2121,Principles of Accounting I,,ACCT,,
ACCT 2122,Principles of Accounting II,,ACCT,,
ACCT 3300,Professional Development for Accountants,,ACCT,,
ACCT 3311,Intermediate Financial Accounting I,,ACCT,,
ACCT 3312,Intermediate Financial Accounting II,,ACCT,,
ACCT 3323,Intermediate Accounting I,,ACCT,,
ACCT 3324,Intermediate Accounting II,,ACCT,,
ACCT 3325,Intermediate Accounting III,,ACCT,,
ACCT 3330,Managerial Accounting and the Decision Process,,ACCT,,
ACCT 3340,Accounting Information Systems,,ACCT,,
ACCT 3350,Introduction to Auditing,,ACCT,,
ACCT 3361,Intermediate Financial Accounting 1,,ACCT,,
ACCT 3362,Intermediate Financial Accounting 2,,ACCT,,
ACCT 3365,Accounting Information Systems,,ACCT,,
ACCT 3371,Financial Statement Analysis,,ACCT,,
ACCT 3372,Internal Auditing,,ACCT,,
ACCT 3380,Fraud Examination,,ACCT,,
ACCT 3400,Accounting Internship,,ACCT,,
ACCT 3500,Accounting Cooperative Education Experience,,ACCT,,
ACCT 3900,Current Developments in Accounting,,ACCT,,
ACCT 4220,Income Tax,,ACCT,,
ACCT 4225,Accounting Data Analytics,,ACCT,,
CHES 1200,CHESS First-Year Seminar,,CHES,,
CHES 1210,FIT for College Success,,CHES,,
CHES 3400,Non-Residential Studies,,CHES,,
CHES 3480,Citizenship and Service Practicum,,CHES,,
CHES 3500,Humanities & Earth and Social Sciences Cooperative Education Experience,,CHES,,
CHES 4800,LEADS Capstone Project,,CHES,,
LEAD 2600,LEADS Foundations,,LEAD,,
LEAD 3000,LEADS,,LEAD,,
AERO 1100,Leadership Laboratory,,AERO,,
AERO 1101,Aerospace Studies 100-1,,AERO,,
AERO 1102,Aerospace Studies 100-2,,AERO,,
AERO 2101,Aerospace Studies 200-1,,AERO,,
AERO 2102,Aerospace Studies 200-2,,AERO,,
AERO 3101,Aerospace Studies 300-1,,AERO,,
AERO 3102,Aerospace Studies 300-2,,AERO,,
AERO 4101,Aerospace Studies 400-1,,AERO,,
AERO 4102,Aerospace Studies 400-2,,AERO,,
AFRS 1100,Introduction to Africana Studies,,AFRS,,
AFRS 1501,Global Social Science: Africana Studies,,AFRS,,
AFRS 1512,Local Arts/Humanities: Africana Studies,,AFRS,,
AFRS 2050,Topics in Africana Studies,,AFRS,,
AFRS 2103,Introduction to Hip Hop,,AFRS,,
AFRS 2105,Black Images in the Media in the U.S.,,AFRS,,
AFRS 2107,Global Hip Hop,,AFRS,,
AFRS 2111,Yoruba Language and Culture I,,AFRS,,
AFRS 2112,Yoruba Language and Culture II,,AFRS,,
AFRS 2120,African American Women,,AFRS,,
AFRS 2156,African Civilization,,AFRS,,
AFRS 2160,The African American Experience through Civil War,,AFRS,,
AFRS 2161,The African American Experience: Civil War to Civil Rights,,AFRS,,
AFRS 2170,Introduction to Health and Environmental Issues in the Africana World,,AFRS,,
AFRS 2172,Black Sexuality and Health,,AFRS,,
AFRS 2174,Environmental Literature in Africa and the Caribbean,,AFRS,,
AFRS 2206,"African Literature, Music, and Art",,AFRS,,
AFRS 2207,Pan-Africanism,,AFRS,,
AFRS 2215,Black Families in the United States,,AFRS,,
AFRS 2221,Modern Africa,,AFRS,,
AFRS 2301,Introduction to African American Literature,,AFRS,,
AFRS 3050,Topics in Africana Studies,,AFRS,,
AFRS 3101,Perspectives on Race and Ethnicity in the US,,AFRS,,
AFRS 3121,Contemporary African Art,,AFRS,,
AFRS 3150,The African American Church and Civil Rights,,AFRS,,
AFRS 3154,Globalization in African History,,AFRS,,
AFRS 3155,Health and Healing in Africa,,AFRS,,
AFRS 3159,African American Poetry,,AFRS,,
AFRS 3179,African American Political Philosophy,,AFRS,,
AFRS 3192,African Cinema,,AFRS,,
AFRS 3200,Folklore of Africa and the African Diaspora,,AFRS,,
AFRS 3218,"Racial Violence, Colonial Times to Present",,AFRS,,
AFRS 3240,Race and the Law,,AFRS,,
AFRS 3250,African Americans and Health Communication,,AFRS,,
AFRS 3260,"Slavery, Racism, and Colonialism in the African Diaspora",,AFRS,,
AFRS 3261,Psychology of the Black Experience,,AFRS,,
AFRS 3262,Philosophy and Race,,AFRS,,
AFRS 3264,Business Culture and Entrepreneurship in Africa,,AFRS,,
AFRS 3265,African Economic Development,,AFRS,,
AFRS 3270,Afro-Latin American History,,AFRS,,
AFRS 3278,Race in the History of Brazil,,AFRS,,
AFRS 3290,Research Methods,,AFRS,,
AFRS 3328,West African Art and Display,,AFRS,,
AFRS 3395,African American Art,,AFRS,,
AFRS 3692,Colloquium,,AFRS,,
AFRS 3895,Independent Study,,AFRS,,
AFRS 3990,Senior Project in Africana Studies,,AFRS,,
AFRS 4050,Topics in Africana Studies,,AFRS,,
AFRS 4100,African Diaspora Theory,,AFRS,,
AFRS 4105,African International Relations,,AFRS,,
AFRS 4401,Professional Internship in Africana Studies,,AFRS,,
AFRS 4600,Senior Seminar in Africana Studies,,AFRS,,
AFRS 4630,Environmental and Public Health in Africa,,AFRS,,
AFRS 4640,"Environment, State, and Society in the Caribbean and Latin America",,AFRS,,
AFRS 4652,"Race, Health, and the African Diaspora",,AFRS,,
AFRS 4790,Africana Studies Senior Honors Project/Thesis,,AFRS,,
AMST 2050,Topics in American Studies,,AMST,,
AMST 2100,Introduction to American Indian Studies,,AMST,,
AMST 3050,Topics in American Studies,,AMST,,
AMST 3090,Topics in American Film,,AMST,,
AMST 3100,Introduction to American Studies,,AMST,,
AMST 3800,Independent Study or Directed Reading in American Studies,,AMST,,
AMST 4050,Topics in American Studies,,AMST,,
ANTH 1101,Introduction to Anthropology,,ANTH,,
ANTH 1501,Global Social Science: An Introduction to Anthropology,,ANTH,,
ANTH 1511,"Local Social Science: Money, Health, and Happiness",,ANTH,,
ANTH 2010,Topics in Ethnography,,ANTH,,
ANTH 2020,Topics in Cultural Anthropology,,ANTH,,
ANTH 2040,Topics in Biological Anthropology,,ANTH,,
ANTH 2050,Topics in Archaeology,,ANTH,,
