courseId,courseName,courseDescription,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 8510,Tax Research,Tax research methodology as applied to the solution of routine and complex tax problems emphasizing the methodology of solution rather than a specific tax area.,"(3, 3)",Accounting,Graduate,
ACCT 8520,Financial Accounting Theory and Research,"Evolution of financial accounting theory and its application to contemporary reporting. Emphasis is on learning to research, document and present a rationale for a recommended alternative. Research problems are derived from actual audit disputes concerning financial presentation.","(3, 3)",Accounting,Graduate,
ACCT 8530,Advanced Accounting Problems,"Study of specialized aspects of financial reporting, including business combinations, fund accounting and emerging practices and developments in financial accounting.","(3, 3)",Accounting,Graduate,
ACCT 8540,"Ethical, Professional and Societal Responsibilities",Study of ethical and societal responsibilities and constraints that define and affect the practice of accountancy. Includes selected readings and cases.,"(3, 3)",Accounting,Graduate,
ACCT 8550,Governmental and Nonprofit Accounting,"Provides an in-depth understanding of the unique environment, concepts and procedures of accounting, financial reporting, auditing and budgeting of governmental and not-for-profit organizations.","(3, 3)",Accounting,Graduate,
ACCT 8560,CPA Exam Review-A,Preparation for the auditing and attestation section of the Certified Public Accountant exam. Must be completed prior to receiving MPAcc degree. Does not contribute hours toward degree completion. To be taken Pass/No Pass only.,"(0, 0)",Accounting,Graduate,
ACCT 8570,CPA Exam Review-D,Preparation for the discipline-specific section of the Certified Public Accountant exam. Must be completed prior to receiving MPAcc degree. Does not contribute hours toward degree completion. To be taken Pass/No Pass only.,"(0, 0)",Accounting,Graduate,
ACCT 8580,CPA Exam Review-F,Preparation for the financial accounting and reporting section of the Certified Public Accountant exam. Must be completed prior to receiving MPAcc degree. Does not contribute hours toward degree completion. To be taken Pass/No Pass only.,"(0, 0)",Accounting,Graduate,
ACCT 8590,CPA Exam Review-R,Preparation for the regulation section of the Certified Public Accountant exam. Must be completed prior to receiving MPAcc degree. Does not contribute hours toward degree completion. To be taken Pass/No Pass only.,"(0, 0)",Accounting,Graduate,
ACCT 8620,Financial Auditing,Advanced course in financial auditing to provide a framework for thinking about contemporary auditing and assurance issues and evaluating alternative rationales regarding the value and purpose of an audit as well as conducting financial audit research.,"(3, 3)",Accounting,Graduate,
ACCT 8630,Forensics and Analysis,"Study of forensic and fraud principles that relate to asset misappropriations, corruption and fraudulent financial statements. Emphasis is placed on examination and review of major fraud schemes, investigative strategies and controls used to prevent and detect the impact fraud has on an organization.","(3, 3)",Accounting,Graduate,
ACCT 8640,Accounting Information Systems,"Accounting systems including database concepts, systems design and evaluation, systems controls and systems implementation.","(3, 3)",Accounting,Graduate,
ACCT 8650,Taxation of Business Decisions,Discusses the interrelationship of taxation and business decisions. Designed for students not specializing in taxation.,"(3, 3)",Accounting,Graduate,
ACCT 8670,International Accounting,"Contemporary accounting theory and practice from an international perspective. Comparative accounting, auditing and governance systems in various countries based on prevailing practice in the United States. Technical issues covered include accounting for foreign currency transactions, international transfer pricing, international financial statement analysis, and strategic accounting issues for multinational corporations.","(3, 3)",Accounting,Graduate,
ACCT 8680,Advanced Accounting Analytics,"This course provides an advanced examination of accounting data analytics with a focus on analyzing data, interpreting results, and communicating findings to relevant stakeholders.","(3, 3)",Accounting,Graduate,
ACCT 8690,Analytics in Accounting Practice,This course provides a link between academic instruction and analytics in accounting practice. Current and emerging techniques within accounting practice are discussed and examined.,"(3, 3)",Accounting,Graduate,
ACCT 8710,Federal and State Income Taxation of Corporations,"Discusses tax principles and concepts involved in corporate-shareholder transactions, tax planning of corporations, Subchapter C and related provisions of the Internal Revenue Code.","(3, 3)",Accounting,Graduate,
ACCT 8720,Taxation of Flowthrough Entities,"Covers federal income taxation of entities treated as partnerships, S corporations, estates and trusts.","(3, 3)",Accounting,Graduate,
ACCT 8730,International and Special Topics in Taxation,Seminar on international and special topic areas that impact practicing tax professionals.,"(3, 3)",Accounting,Graduate,
ACCT 8740,Tax Aspects of Financial Planning,Covers federal estate and gift tax laws; federal income tax laws related to trusts and estates.,"(3, 3)",Accounting,Graduate,
