courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 2301,Principles of Financial Accounting,,ACCT,,
ACCT 2302,Principles of Managerial Accounting,,ACCT,,
ACNT 1303,Introduction to Accounting I,,ACNT,,
ACNT 1311,Introduction to Computerized Accounting,,ACNT,,
GERS 1160,Clinical - Gerontology,,GERS,,
GERS 1301,Introduction to Gerontology,,GERS,,
GERS 1304,Activity Directing I,,GERS,,
GERS 1307,Activity Directing II,,GERS,,
GERS 1343,Psychology of Adult Development and Aging,,GERS,,
GERS 2160,Clinical - Gerontology,,GERS,,
GERS 2161,Clinical - Gerontology,,GERS,,
GERS 2332,Advanced Activity Director,,GERS,,
AGRI 1325,Marketing of Agricultural Products,,AGRI,,
AGRI 1415,Horticulture,,AGRI,,
AGRI 1419,Introductory Animal Science,,AGRI,,
AGRI 2303,Agricultural Construction,,AGRI,,
AGRI 2317,Introduction to Agricultural Economics,,AGRI,,
AGCR 1304,Introduction to Sustainable Agriculture [formerly AGCR 2371],,AGCR,,
AGCR 2305,Entomology,,AGCR,,
AGCR 2313,Soil and Water Conservation Management,,AGCR,,
AGCR 2586,Internship - Crop Production,,AGCR,,
AERS 1330,USAF Heritage and Values I,,AERS,,
AERS 1340,USAF Heritage and Values II,,AERS,,
AERS 2330,The Evolution of the USAF Air and Space Power I,,AERS,,
AERS 2340,The Evolution of the USAF Air and Space Power II,,AERS,,
ANTH 2301,Physical Anthropology,,ANTH,,
ANTH 2302,Introduction to Archeology,,ANTH,,
ANTH 2346,General Anthropology,,ANTH,,
ANTH 2351,Cultural Anthropology,,ANTH,,
ANTH 2389,Academic Co - op Anthropology,,ANTH,,
ANTH 2401,Physical Anthropology,,ANTH,,
TECM 1343,Technical Algebra and Trigonometry,,TECM,,
ARAB 1411,Beginning Arabic I,,ARAB,,
ARAB 1412,Beginning Arabic II,,ARAB,,
MILS 1141,Foundations of Leadership,,MILS,,
MILS 1142,Introduction to Leadership,,MILS,,
MILS 1180,Leadership Laboratory,,MILS,,
MILS 2251,Individual/Team Development,,MILS,,
MILS 2252,Individual/Team Military Tactics,,MILS,,
