courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACC310,Accounting for Non-Accounting Majors,"(4, 4)",,,
ACC340,Financial Accounting,"(4, 4)",,,
ACCT199,Special Topics in Accounting,"(1, 6)",,,
ACCT201,Accounting I,"(4, 4)",,,
ACCT202,Accounting II,"(4, 4)",,,
ACCT203,Accounting III,"(4, 4)",,,
ACCT210,Computerized Accounting,"(4, 4)",,,
ACCT220,Introduction to Managerial & Cost Accounting,"(4, 4)",,,
ACCT225,Introduction to Tax,"(4, 4)",,,
ACCT226,Individual Tax,"(4, 4)",,,
ACCT260,Intermediate Accounting I,"(4, 4)",,,
ACCT299,Special Topics in Accounting,"(1, 6)",,,
ACCT300,Intermediate Accounting I,"(4, 4)",,,
ACCT305,Intermediate Accounting II,"(4, 4)",,,
ACCT306,Intermediate Accounting II,"(4, 4)",,,
ACCT307,Intermediate Accounting III,"(4, 4)",,,
ACCT325,Auditing,"(4, 4)",,,
ACCT330,Auditing Lab,"(1, 1)",,,
ACCT340,Advanced Accounting,"(4, 4)",,,
ACCT350,Accounting Analytics,"(4, 4)",,,
ACCT351,Cost Accounting,"(4, 4)",,,
ACCT370,Accounting Information Systems,"(4, 4)",,,
ACCT399,Special Topics in Accounting,"(1, 6)",,,
ACCT410,Advanced Tax,"(4, 4)",,,
ACCT411,Corporate and Partnership Tax,"(4, 4)",,,
ACCT420,Government & Not for Profit Accounting,"(4, 4)",,,
ACCT430,Introduction to International Financial Reporting Standards,"(4, 4)",,,
ACCT460,Accounting Capstone,"(4, 4)",,,
ACCT470,Accounting Capstone,"(4, 4)",,,
ACCT495,Advanced Research and Study,"(1, 6)",,,
ACCT499,Special Topics in Accounting,"(1, 6)",,,
ACCT614,Applied Managerial Accounting,"(4, 4)",,,
ACCT615,Advanced Cost Accounting,"(4, 4)",,,
ACCT618,Taxation and Business Decisions,"(4, 4)",,,
ACCT619,Taxation Research and Business Decisions,"(4, 4)",,,
ACCT628,Financial Reporting,"(4, 4)",,,
ACCT635,Forensic Accounting and Fraud Examination,"(4, 4)",,,
ACCT644,Management Control and Auditing,"(4, 4)",,,
ACCT645,Advanced Auditing,"(4, 4)",,,
ACCT650,MBA Accounting Capstone,"(4, 4)",,,
AI870,Artificial Intelligence in Real World Problem Solving,"(4, 4)",,,
BADA200,Foundations of Data Management in Information Systems,"(4, 4)",,,
BADA320,Introduction to Data Analytics for Business,"(4, 4)",,,
BADA400,Business Analytics and Big Data,"(4, 4)",,,
BADA430,Data Mining for Results,"(4, 4)",,,
BADA440,Data-Driven Decision Making,"(4, 4)",,,
BADA610,Data Analytics for Business,"(4, 4)",,,
BADA620,Time Series Analysis,"(4, 4)",,,
BADA630,Data Analytics Visualization and Presentation,"(4, 4)",,,
BADA640,IT Governance and Risk Management,"(4, 4)",,,
BADM150,Contemporary Business Trends,"(4, 4)",,,
BADM299,Special Topics in Business Administration.,"(1, 6)",,,
BADM370,Quality Management,"(4, 4)",,,
BADM372,Quality Management,"(4, 4)",,,
BADM399,Special Topics in Business Administration.,"(1, 6)",,,
BADM440,Research Design Methods and Applications,"(4, 4)",,,
BADM475,Small Business Management and Entrepreneurship,"(4, 4)",,,
BADM485,Senior Project,"(1, 6)",,,
BADM495,Advanced Research and Study,"(1, 6)",,,
BADM499,Special Topics in Business Administration.,"(1, 6)",,,
BADM810,Financial and Managerial Accounting for Decision Making,"(4, 4)",,,
BADM820,Foundations of Economic Theory and Practice,"(4, 4)",,,
BADM830,Strategic Management,"(4, 4)",,,
BADM840,Business Legal and Ethical Environment,"(4, 4)",,,
BADM850,Marketing Strategy for the 21st Century,"(4, 4)",,,
BADM860,IT for Business Operations Optimization,"(4, 4)",,,
BADM870,Organizational Behavior and Management,"(4, 4)",,,
