courseId,courseName,courseDescription,courseCredits,courseSubject,courseLevel,courseCampus
AEAD 8310,Fluency and Comprehension 3,Not for academic credit,"(3, 3)","Academic English, Adv",,
AEAD 8312,Literacy and Structure 3,Not for academic credit,"(6, 6)","Academic English, Adv",,
AEAD 8313,"ESOL – Advanced 3 Academic English, Grammar for Undergraduates",Not for academic credit,"(6, 6)","Academic English, Adv",,
AEAD 8314,Business and Language Integrated Skills 3,Not for academic credit,"(3, 3)","Academic English, Adv",,
AEAD 8315,STEM and Language Integrated Skills 3,Not for academic credit,"(3, 3)","Academic English, Adv",,
AEAD 8325,Test Preparation,Not for academic credit,"(3, 3)","Academic English, Adv",,
AEAD 8335,Extensive Reading 3,Not for academic credit,"(3, 3)","Academic English, Adv",,
AEAD 8345,Intercultural Exploration 3,Not for academic credit,"(3, 3)","Academic English, Adv",,
AEAD 8355,"ESOL – Advanced 3 Academic English, General Non-Core for Undergraduates",Not for academic credit,"(3, 3)","Academic English, Adv",,
AEAD 8365,Language in Practice 3,Not for academic credit,"(3, 3)","Academic English, Adv",,
AEAD 8510,"ESOL – Advanced 3 Academic English, Listening & Speaking for Graduates",Not for academic credit,"(6, 6)","Academic English, Adv",,
AEAD 8512,"ESOL – Advanced 3 Academic English, Reading & Writing for Graduates",Not for academic credit,"(6, 6)","Academic English, Adv",,
AEAD 8513,"ESOL – Advanced 3 Academic English, Grammar for Graduates",Not for academic credit,"(6, 6)","Academic English, Adv",,
AEAD 8555,"ESOL – Advanced 3 Academic English, General Non-Core for Graduates",Not for academic credit,"(3, 3)","Academic English, Adv",,
AEBA 8110,Fluency and Comprehension 1,Not for academic credit,"(3, 3)","Academic English, Basic",,
AEBA 8112,Literacy and Structure 1,Not for academic credit,"(6, 6)","Academic English, Basic",,
AEBA 8113,"ESOL – Basic 1 Academic English, Grammar",Not for academic credit,"(6, 6)","Academic English, Basic",,
AEBA 8114,Business and Language Integrated Skills 1,Not for academic credit,"(3, 3)","Academic English, Basic",,
AEBA 8115,STEM and Language Integrated Skills 1,Not for academic credit,"(3, 3)","Academic English, Basic",,
AEBA 8145,Intercultural Exploration 1,Not for academic credit,"(3, 3)","Academic English, Basic",,
AEBA 8155,"ESOL – Basic 1 Academic English, General Non-Core",Not for academic credit,"(3, 3)","Academic English, Basic",,
AEBA 8165,Language in Practice 1,Not for academic credit,"(3, 3)","Academic English, Basic",,
AEEP 8393,"ESOL – Academic English, Preparatory for IELTS Exam",Not for academic credit,"(3, 3)","Academic English, Engpgm",,
AEEP 8591,"ESOL – Academic English, Preparatory for GRE Exam",Not for academic credit,"(2, 2)","Academic English, Engpgm",,
AEEP 8592,"ESOL – Academic English, Preparatory for GMAT Exam",Not for academic credit,"(2, 2)","Academic English, Engpgm",,
AEEP 8975,"ESOL – Academic English, Independent Study",Not for academic credit,"(1, 6)","Academic English, Engpgm",,
AEFN 8110,"ESOL – Level 1 Foundations Academic English, Listening & Speaking",Not for academic credit,"(3, 3)","Academic English, Fndtns",,
AEFN 8112,"ESOL– Level 1 Foundations Academic English, Reading & Writing",Not for academic credit,"(3, 3)","Academic English, Fndtns",,
AEFN 8113,"ESOL – Level 1 Foundations Academic English, Grammar",Not for academic credit,"(3, 3)","Academic English, Fndtns",,
