courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AAP 1100,The Worlds We Make,"(3, 3)",,,
AAP 3099,[Special Topics in AAP],"(3, 3)",,,
AAS 1100,Introduction to Asian American Studies,"(4, 4)",,,
AAS 2043,Asian American Oral History,"(4, 4)",,,
AAS 2100,South Asian Diaspora,"(3, 3)",,,
AAS 2130,Introduction to Asian American History,"(4, 4)",,,
AAS 2269,[Korean Popular Culture],"(3, 3)",,,
AAS 2295,Orientalism and East Asia,"(3, 3)",,,
AAS 2620,Introduction to Asian American Literature,"(3, 3)",,,
AAS 2623,Introduction to Asian American Performance,"(3, 3)",,,
AAS 2641,Race and Modern US History,"(3, 3)",,,
AAS 3020,Asian Americans and Popular Culture,"(4, 4)",,,
AAS 3030,[Asians in the Americas: A Comparative Perspective],"(3, 3)",,,
AAS 3378,Korean American Literature,"(3, 3)",,,
AAS 3885,"Race and War in History: Workers, Soldiers, Prisoners, Activists","(3, 3)",,,
AAS 4020,U.S. Cultures of War and Empire,"(4, 4)",,,
AAS 4040,[Fictions of Dictatorship],"(4, 4)",,,
AAS 4050,Critical Filipino and Filipino American Studies,"(4, 4)",,,
AAS 4550,Race and the University,"(4, 4)",,,
AAS 4567,Speculative East Asias,"(4, 4)",,,
AAS 4630,"[Rethinking Asian American Literature: Indigeneity, Diaspora, Settler Colonialism]","(4, 4)",,,
AAS 4699,Mapping the Black Pacific(s): Afro-Asian Encounters,"(3, 3)",,,
AAS 4950,Independent Study,"(1, 4)",,,
AAS 6020,U.S. Cultures of War and Empire,"(4, 4)",,,
AAS 6100,Graduate Proseminar in Asian American Studies,"(3, 3)",,,
AAS 6630,[Asian American Theory and Literature],"(3, 3)",,,
AAS 6633,[Q and A: Asian American Gender and Sexuality],"(3, 3)",,,
AAS 7200,Directed Graduate Individual Study,"(1, 4)",,,
AAS 7300,Directed Graduate Group Study,"(1, 4)",,,
AEM 1101,Design Your Dyson,"(3, 3)",,,
AEM 1106,FWS: Topics in Applied Economics and Management,"(3, 3)",,,
AEM 1200,Introduction to Business Management,"(3, 3)",,,
AEM 1300,Introduction to Macroeconomic Theory and Policy,"(3, 3)",,,
AEM 1500,An Introduction to the Economics of Environmental and Natural Resources,"(3, 3)",,,
AEM 1600,The Business of Modern Medicine,"(5, 5)",,,
