courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ALS 101,College Success,,ALS,,
ACC 105,Taxation for Individuals,,ACC,,
ACC 135B,Bookkeeping I,,ACC,,
ACC 201,Financial Accounting,,ACC,,
ACC 202,Managerial Accounting,,ACC,,
ACC 203,Intermediate Accounting I,,ACC,,
ACC 204,Intermediate Accounting II,,ACC,,
ACC 205,Cost Accounting,,ACC,,
ACC 210B,IRS Computerized Tax Preparation Program,,ACC,,
ACC 220,Microcomputer Accounting Systems,,ACC,,
ACC 222B,Excel for Accounting,,ACC,,
ACC 223B,Introduction to QuickBooks,,ACC,,
ACC 295B,Work Experience I,,ACC,,
AC 100B,Technician Certification Review,,AC,,
AC 101B,Introduction to HVAC and Refrigeration,,AC,,
AC 102B,Introduction to HVAC Electrical Theory and Application,,AC,,
AC 103B,Introduction to HVAC Mechanical Theory and Application,,AC,,
AC 106B,Residential Gas Heating,,AC,,
AC 110B,Intermediate HVAC Electrical Theory and Application,,AC,,
AC 111B,Heat Pumps,,AC,,
AC 114B,Heat Load Calculations,,AC,,
AC 115B,Troubleshooting,,AC,,
AC 116B,Copper Fundamentals,,AC,,
AC 119B,Professionals in Customer Service,,AC,,
AC 120B,Air Conditioning Duct Work Fabrication,,AC,,
AC 122B,HVAC Installation and Commissioning Techniques,,AC,,
AC 200B,Commercial Refrigeration I,,AC,,
AC 201B,HVAC Automatic Controls,,AC,,
AC 202B,Commercial Refrigeration II,,AC,,
AC 210B,Boiler Operation and Maintenance,,AC,,
AC 212B,Equipment Cooling,,AC,,
AC 220B,Chiller Operations and Maintenance,,AC,,
AC 221B,Gas Heat Pump Technology I,,AC,,
AC 230B,Building Automation Fundamentals,,AC,,
AC 231B,Building Automation Networks and Programming,,AC,,
AC 295B,Internship HVAC Career,,AC,,
AES 110,Heritage and Values I,,AES,,
AES 111,AFROTC Leadership Lab I-A,,AES,,
AES 120,Heritage and Values II,,AES,,
AES 121,AFROTC Leadership Lab I-B,,AES,,
AES 230,Team and Leadership Fundamentals I,,AES,,
AES 231,AFROTC Leadership Lab II-A,,AES,,
AES 240,Team and Leadership Fundamentals II,,AES,,
