courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 201,Introduction to Financial Accounting,"(3, 3)",Accounting,,
ACCT 202,Introduction to Managerial Accounting,"(3, 3)",Accounting,,
ACCT 298,Special Accounting Topics,"(1, 3)",Accounting,,
ACCT 320,Cost Management Accounting I,"(3, 3)",Accounting,,
ACCT 325,Intermediate Accounting I,"(3, 3)",Accounting,,
ACCT 326,Intermediate Accounting II,"(3, 3)",Accounting,,
ACCT 327,Intermediate Accounting III,"(3, 3)",Accounting,,
ACCT 359,Directed Mentorship,"(6, 6)",Accounting,,
ACCT 365,Not-for-Profit Accounting,"(3, 3)",Accounting,,
ACCT 389,Accounting Intern/Cooperative Education,"(1, 6)",Accounting,,
ACCT 398,Special Accounting Topics,"(1, 3)",Accounting,,
ACCT 399,Special Accounting Problems,"(1, 3)",Accounting,,
ACCT 421W,Auditing and Assurance (W),"(3, 3)",Accounting,,
ACCT 425,Advanced Accounting,"(3, 3)",Accounting,,
ACCT 437,Federal Income Taxation I,"(3, 3)",Accounting,,
ACCT 451,Simulation Accounting Laboratory,"(1, 6)",Accounting,,
ACCT 456,Professional Development in Accounting,"(3, 3)",Accounting,,
ACCT 489,Accounting Internship/Cooperative Education,"(1, 3)",Accounting,,
ACCT 498,Special Accounting Topics,"(1, 3)",Accounting,,
ACCT 499,Special Accounting Problems,"(1, 3)",Accounting,,
ACCT 499H,Honors Seminar in Accounting,"(1, 6)",Accounting,,
ACCT 537,Federal Income Taxation II,"(3, 3)",Accounting,,
ACCT 551,Information Technology in Accounting,"(3, 3)",Accounting,,
ACCT 558,Accounting Ethics,"(3, 3)",Accounting,,
ACCT 568,Forensic Accounting,"(3, 3)",Accounting,,
ACCT 598,Special Accounting Topics,"(1, 3)",Accounting,,
ACCT 615,Accounting for Managers,"(3, 3)",Accounting,,
ACCT 689,Directed Internship,"(1, 3)",Accounting,,
ACCT 691,Simulation Laboratory in Accounting,"(1, 6)",Accounting,,
ACCT 697,Independent Study,"(1, 4)",Accounting,,
ACCT 699T,Master's Thesis,"(1, 3)",Accounting,,
AMAR 160,Manufacturing Processes,"(3, 3)",Advanced Manufacturing And Applied Robotics,,
AMAR 198,Special Topic,"(1, 3)",Advanced Manufacturing And Applied Robotics,,
AMAR 260,Applied Advanced Manufacturing,"(4, 4)",Advanced Manufacturing And Applied Robotics,,
AMAR 298,Special Topic,"(1, 1)",Advanced Manufacturing And Applied Robotics,,
AMAR 300,Applied Mathematics and Programming for Advanced Manufacturing,"(3, 3)",Advanced Manufacturing And Applied Robotics,,
AMAR 316,Introduction to Plastics,"(3, 3)",Advanced Manufacturing And Applied Robotics,,
AMAR 318,Advanced Plastics & Composites,"(3, 3)",Advanced Manufacturing And Applied Robotics,,
AMAR 347,Sustainable Polymer Composites,"(3, 3)",Advanced Manufacturing And Applied Robotics,,
AMAR 352W,Industrial Management (W),"(3, 3)",Advanced Manufacturing And Applied Robotics,,
AMAR 360,Computer Integrated Manufacturing,"(4, 4)",Advanced Manufacturing And Applied Robotics,,
AMAR 389,Directed Manufacturing Experience,"(1, 3)",Advanced Manufacturing And Applied Robotics,,
AMAR 395,Manufacturing Laboratory Practice,"(1, 1)",Advanced Manufacturing And Applied Robotics,,
AMAR 398,Special Topic,"(3, 3)",Advanced Manufacturing And Applied Robotics,,
AMAR 399,Special Problems,"(1, 3)",Advanced Manufacturing And Applied Robotics,,
AMAR 420,Robotics for Advanced Manufacturing,"(4, 4)",Advanced Manufacturing And Applied Robotics,,
AMAR 440AW,Capstone Design I,"(3, 3)",Advanced Manufacturing And Applied Robotics,,
AMAR 440B,Capstone Design II,"(3, 3)",Advanced Manufacturing And Applied Robotics,,
AMAR 451,Quality Management,"(3, 3)",Advanced Manufacturing And Applied Robotics,,
AMAR 454,Advanced Laboratory Practices,"(2, 2)",Advanced Manufacturing And Applied Robotics,,
