courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACC 502.,Advance Cost Management and Related Accounting.,3,Accounting,,
ACC 510.,Research of Accounting Principles.,3,Accounting,,
ACC 520.,Accounting Ethics and Corporate Social Responsibility.,3,Accounting,,
ACC 530.,Forensic Accounting and Cybersecurity for Accounting MS Program.,3,Accounting,,
ACC 540.,Advanced Accounting.,3,Accounting,,
ACC 550.,Advanced Auditing for Accounting MS Program.,3,Accounting,,
ACC 560.,Accounting Information Systems and Associated Internal Control Frameworks.,3,Accounting,,
ACC 570.,Financial Statement Analysis and Valuation.,3,Accounting,,
ACC 580.,Strategic Tax Planning.,3,Accounting,,
ACC 590.,Advanced Capstone Governmental and Non-Profit Accounting.,3,Accounting,,
ACC 595.,Selected Topics in Accounting.,3,Accounting,,
AFS 100.,The African American Experience.,3,Africana Studies,,
AFS 200.,Intro to Africana Studies.,3,Africana Studies,,
AFS 201.,African World Civilizations.,3,Africana Studies,,
AFS 205.,Introduction to Hip Hop.,3,Africana Studies,,
AFS 212.,Intro To Comp Eth & Global Soc.,3,Africana Studies,,
AFS 220.,African World Peoples & Soc..,3,Africana Studies,,
AFS 231.,Africana Literary Traditions.,3,Africana Studies,,
AFS 241.,His Afr World People:1450-1888.,3,Africana Studies,,
AFS 242.,His of Afn People:1888-present.,3,Africana Studies,,
AFS 295.,Special Topics.,3,Africana Studies,,
AFS 301.,Africana Msc thgh 19th C..,3,Africana Studies,,
AFS 305.,Theories and Approaches in AFS.,3,Africana Studies,,
AFS 306.,Research Methods in AFS.,3,Africana Studies,,
AFS 307.,"Research Methods, Theories, and Approaches in African Studies.",3,Africana Studies,,
AFS 310.,The African American Experience in the US.,3,Africana Studies,,
AFS 311.,Afro Latinidad & the Caribbean.,3,Africana Studies,,
AFS 312.,Cultural Pluralism: Ethnic & Global Society.,3,Africana Studies,,
AFS 330.,Africana Lit. & Culture.,3,Africana Studies,,
AFS 331.,Key Movements: African Literature and Culture.,3,Africana Studies,,
AFS 332.,Key Movements: Harlem Renaissance.,3,Africana Studies,,
AFS 333.,Black Movements of the Sixties.,3,Africana Studies,,
AFS 334.,African Culture and Art.,3,Africana Studies,,
AFS 340.,Africana Womanhood.,3,Africana Studies,,
AFS 395.,Spec Topics in Africana Stud.,3,Africana Studies,,
AFS 396.,Practicum in Africana Studies.,3,Africana Studies,,
AFS 423.,Africana Leaders Seminar.,3,Africana Studies,,
AFS 424.,Africana Political Thought.,3,Africana Studies,,
AFS 490.,Seminar in Africana Studies.,3,Africana Studies,,
AFS 494.,Independent Study.,1-3,Africana Studies,,
AFS 495.,Special Topics in Africana St.,3,Africana Studies,,
AFS 496.,Internship.,3,Africana Studies,,
AFS 497.,Directed Reading.,1-3,Africana Studies,,
AFS 498.,Directed Research.,1-3,Africana Studies,,
AFS 499.,Senior Project.,3,Africana Studies,,
AFS 590.,Afr Amer Lit & Pol Thought.,3,Africana Studies,,
AFS 594.,Independent Study.,1-4,Africana Studies,,
AFS 595.,Special Topics:.,3,Africana Studies,,
AFS 596.,Pract in Teach Africana Stdy.,1-4,Africana Studies,,
AFS 597.,Graduate Directed Reading.,1-4,Africana Studies,,
