courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 210,Introduction to Financial Accounting,,ACCT,,
ACCT 215,Introduction to Managerial Accounting,,ACCT,,
ACCT 220,Legal Environment of Business,,ACCT,,
ACCT 300,Business Leadership for Accountants,,ACCT,,
ACCT 302,Cost Accounting,,ACCT,,
ACCT 311,Intermediate Financial Accounting I,,ACCT,,
ACCT 312,Intermediate Financial Accounting II,,ACCT,,
ACCT 320,Business Law for Accountants,,ACCT,,
ACCT 321,Auditing I,,ACCT,,
ACCT 325,Accounting Ethics,,ACCT,,
ACCT 331,Federal Taxation for Individuals,,ACCT,,
ACCT 335,VITA - Individual Income Tax Return Preparation,,ACCT,,
ACCT 340,Accounting Information Systems,,ACCT,,
ACCT 341,Introduction to Data Analytics in Accounting,,ACCT,,
ACCT 370,Accounting for Governmental and Not-for-Profit Entities,,ACCT,,
ACCT 398,Internship,,ACCT,,
ACCT 411,Advanced Financial Accounting,,ACCT,,
ACCT 425,Auditing and Control Environment,,ACCT,,
ACCT 431,Federal Taxation of Business Entities,,ACCT,,
ACCT 434,"Tax Compliance, Planning and Applied Tax Research",,ACCT,,
ACCT 440,Advanced Accounting Information Systems,,ACCT,,
ACCT 442,Corporate Sustainability Accounting Reporting,,ACCT,,
ACCT 490,Independent Study,,ACCT,,
ACCT 498,Internship,,ACCT,,
ACCT 499,Capstone: Financial Statement Reporting and Analysis,,ACCT,,
ACCT 604,Financial Accounting,,ACCT,,
ACCT 611,Financial Accounting and Reporting I,,ACCT,,
ACCT 612,Financial Accounting and Reporting II,,ACCT,,
ACCT 613,Advanced Topics in Accounting,,ACCT,,
ACCT 621,Accountants’ Ethics and Professional Responsibilities,,ACCT,,
ACCT 622,Auditing Theory and Practice I,,ACCT,,
ACCT 623,Auditing Theory and Practice II,,ACCT,,
ACCT 630,Federal Taxation of Individuals and Sole Proprietors,,ACCT,,
ACCT 631,Federal Taxation of Corporations and Flow-Through Entities,,ACCT,,
ACCT 639,Business Law and Regulation,,ACCT,,
ACCT 641,Data Analytics in Accounting I,,ACCT,,
ACCT 642,Data Analytics in Accounting II,,ACCT,,
ACCT 671,Business Communications and Professional Development I,,ACCT,,
ACCT 672,Business Communications and Professional Development II,,ACCT,,
ACCT 681,Financial Statement Analysis and Business Valuation,,ACCT,,
ACCT 690,Independent Study,,ACCT,,
ACCT 693,Project,,ACCT,,
ACCT 697,Issues in Accounting,,ACCT,,
ACCT 698,Internship,,ACCT,,
ANTH 100,Introduction to Anthropology,,ANTH,,
ANTH 110,Introduction to Biological Anthropology,,ANTH,,
ANTH 120,Introduction to Archaeology,,ANTH,,
ANTH 130,Introduction to Cultural Anthropology,,ANTH,,
ANTH 140,How We Communicate: Anthropological Perspectives,,ANTH,,
ANTH 300,Anthropology of Global Change,,ANTH,,
ANTH 405,Linked Lab for Success,,ANTH,,
ANTH 490,Independent Study,,ANTH,,
ANTH 497,Issues in Anthropology,,ANTH,,
ANTH 498,Internship,,ANTH,,
ANTH 370,Anthropology in Action,,ANTH,,
ANTH 372,Medical Anthropology,,ANTH,,
ANTH 375,Fire Ecology and Management,,ANTH,,
ANTH 398,Internship,,ANTH,,
ANTH 121,Experimental Archaeology Laboratory,,ANTH,,
ANTH 320,Archaeological Science and Indigenous Knowledge,,ANTH,,
ANTH 321,Archaeology of the Americas,,ANTH,,
ANTH 323,Archaeology in Movies and TV,,ANTH,,
ANTH 324,Decolonizing Museum Archaeology,,ANTH,,
ANTH 421,Dig Deep! A Hands-On Archaeology Field Course,,ANTH,,
ANTH 422,Museum Exhibit Development,,ANTH,,
HIST 422,Museum Exhibit Development,,HIST,,
ANTH 350,Indigenous Peoples of California,,ANTH,,
ANTH 354,Chinese History and Culture Since 1911,,ANTH,,
ANTH 110L,Laboratory in Biological Anthropology,,ANTH,,
ANTH 310,Evolutionary Biology of Humans,,ANTH,,
ANTH 311,Human Fossil Record,,ANTH,,
ANTH 312,Primate Behavioral Ecology,,ANTH,,
ANTH 411,Human Forensic Osteology,,ANTH,,
ANTH 430,Ethnography and Oral History,,ANTH,,
HIST 430,Ethnography and Oral History,,HIST,,
ANTH 340,Language and Culture,,ANTH,,
ANTH 341,Linguistic Diversity and Social Justice,,ANTH,,
ANTH 342,Language and Sexuality,,ANTH,,
ANTH 330,"Culture, Power, and Ecology",,ANTH,,
ANTH 333,Women in Cross-Cultural Perspective,,ANTH,,
ANTH 334,Human Sexuality: Anthropological Perspectives,,ANTH,,
ANTH 431,Advanced Anthropological Theory,,ANTH,,
ART 398,Internship,,ART,,
ART 440,Forum,,ART,,
ART 490,Independent Study,,ART,,
ART 491,BFA Critique,,ART,,
ART 492,Professional Practices,,ART,,
ART 498,Internship,,ART,,
ART 120,Art of Asia and the Pacific World,,ART,,
ART 127,"History of Play, Games, and Interactivity",,ART,,
ART 220,Art of the Early Mediterranean World,,ART,,
ART 221,Art of the Transatlantic Modern World,,ART,,
ART 225,Art and Social Engagement,,ART,,
ART 226,Histories of Design,,ART,,
ART 320,Comparative World Art,,ART,,
ART 323,Art and Media in Modernity,,ART,,
ART 326,Contemporary Visual Studies,,ART,,
ART 327,Cinema Art Studies,,ART,,
ART 420W,Writing about World Art,,ART,,
ART 423W,Writing about Art and Media in Modernity,,ART,,
ART 426W,Writing about Contemporary Visual Studies,,ART,,
ART 493G,Art History and Visual Studies Senior Project,,ART,,
ART 497,Issues in Art History and Visual Studies,,ART,,
ART 100,Fundamentals of Drawing,,ART,,
ART 101,Photography I,,ART,,
ART 102,2D Processes,,ART,,
ART 103,3D Processes,,ART,,
ART 104,4D Processes,,ART,,
ART 111,Sculpture I,,ART,,
ART 115,Ceramics I,,ART,,
ART 152,Web Design I: Foundations,,ART,,
ART 172,Painting I,,ART,,
ART 211,Sculpture II,,ART,,
ART 215,Ceramics II,,ART,,
ART 230,Graphic Arts,,ART,,
ART 240,Photography II,,ART,,
ART 241,4D Project Development and Preproduction,,ART,,
ART 242,Audio Production for Video and Animation,,ART,,
ART 243,Video I,,ART,,
ART 244,Animation I,,ART,,
ART 245,Motion Graphics I,,ART,,
ART 246,3D Modeling and Animation I,,ART,,
ART 251,Interaction and Experience Design Foundations,,ART,,
ART 255,Game Design I,,ART,,
ART 259,Interaction Design Studio I: Tools for Designers,,ART,,
ART 260,Introduction to Illustration,,ART,,
ART 270,Drawing II,,ART,,
ART 272,Painting II,,ART,,
ART 274,Figure Drawing I,,ART,,
ART 278,Bookmaking I,,ART,,
ART 279,Printmaking I,,ART,,
ART 310,3D Modeling and Fabrication,,ART,,
ART 311,Sculpture III,,ART,,
ART 315,Ceramics III,,ART,,
ART 330,Typography I,,ART,,
ART 331,Design Concepts and Narratives,,ART,,
ART 332,Design for Production,,ART,,
ART 335,Design Strategy and Collaborations,,ART,,
ART 336,Information Design,,ART,,
ART 340A,Creative Photography I,,ART,,
ART 340B,Creative Photography II,,ART,,
ART 340C,Creative Photography III,,ART,,
ART 341,Photography and Social Justice,,ART,,
ART 343,Video II,,ART,,
ART 344,Animation II,,ART,,
ART 345,Motion Graphics II,,ART,,
ART 346,3D Modeling and Animation II,,ART,,
ART 349A,Portrait Photography,,ART,,
ART 349B,Advanced Portrait Photography,,ART,,
ART 351,User Experience Theory and Design,,ART,,
ART 352,Web Design II: Screen Interactions,,ART,,
ART 355,Game Design II,,ART,,
ART 356,Interaction Design Studio II : Prototyping the Internet of Things,,ART,,
ART 357,Interaction Design Studio III : Interactive Immersive Experiences,,ART,,
ART 361,Color and Concept,,ART,,
ART 362,Illustrating Dynamic Forms,,ART,,
ART 363,Narrative Illustration,,ART,,
ART 364,Advanced Illustration,,ART,,
ART 370,Drawing III,,ART,,
ART 371,Watermedia,,ART,,
ART 378,Bookmaking II,,ART,,
ART 379,Printmaking II,,ART,,
ART 430,Typography for Print and Interactive Publications,,ART,,
ART 448,Advanced 4D Projects,,ART,,
ART 449,Select Topics in Video Animation,,ART,,
ART 452,Web Design III: Design Evolution,,ART,,
ART 455,Game Development Team Project,,ART,,
ART 457,Interaction Design Studio IV : Speculative Interaction Research Lab,,ART,,
ART 472,Painting III,,ART,,
ART 474,Figure Drawing II,,ART,,
ART 475,Advanced 2D Practice,,ART,,
ART 493A,Illustration Senior Project,,ART,,
ART 493B,Interaction and Game Design Senior Project,,ART,,
ART 493C,Photography Senior Project,,ART,,
ART 493D,3D Art & Design Senior Project,,ART,,
ART 493F,Video Animation Senior Project,,ART,,
ART 493H,Fine Art Practice Senior Project,,ART,,
ART 493I,Graphic Design Senior Project,,ART,,
ART 493J,Art & Design Senior Project,,ART,,
ART 496,Special Topics,,ART,,
BIOL 100,Biology in the Real World,,BIOL,,
BIOL 101,Introduction to Biology,,BIOL,,
BIOL 102,Introduction to Biology Lab,,BIOL,,
BIOL 106,Biodiversity of California,,BIOL,,
BIOL 130,Connecting to Biology,,BIOL,,
BIOL 140A,Principles of Cell and Molecular Biology,,BIOL,,
BIOL 140B,Principles of Organismal Biology,,BIOL,,
BIOL 200,Biological Reasoning,,BIOL,,
BIOL 230,Introduction to Clinical Microbiology,,BIOL,,
BIOL 270,Human Anatomy & Physiology I,,BIOL,,
BIOL 271,Human Anatomy & Physiology II,,BIOL,,
BIOL 300W,Writing in the Biological Sciences,,BIOL,,
BIOL 310,Genetic Analysis I,,BIOL,,
BIOL 315,Marine Biology,,BIOL,,
BIOL 320,Evolutionary Biology,,BIOL,,
BIOL 321,Readings in Biological Sciences,,BIOL,,
BIOL 330,General Microbiology,,BIOL,,
BIOL 333,Humans and Sex,,BIOL,,
BIOL 334,Humans and the Living Planet,,BIOL,,
BIOL 335,Humans: Health and Disease,,BIOL,,
BIOL 336,Historical and Biological Perspectives on Vaccines,,BIOL,,
BIOL 350,Ecology,,BIOL,,
BIOL 352,Biogeography,,BIOL,,
BIOL 368,Fungi of California,,BIOL,,
BIOL 370,Animal Physiology,,BIOL,,
BIOL 372,Microscopic Methods: Quantitative Analysis of Structure & Function,,BIOL,,
BIOL 398,Internship,,BIOL,,
BIOL 402,Preparation for Undergraduate Instruction in Biology,,BIOL,,
BIOL 408,Biomedical Sciences Seminar,,BIOL,,
BIOL 410,Genetic Analysis II,,BIOL,,
BIOL 415,"PCR, Sequencing and Fragment Analysis",,BIOL,,
BIOL 424,Bioinformatics,,BIOL,,
BIOL 425,Techniques in Mammalian Cell Culture,,BIOL,,
BIOL 426,Advanced Molecular and Cell Biology,,BIOL,,
BIOL 427,Molecular and Cell Biology Lab,,BIOL,,
BIOL 428,Genomics,,BIOL,,
BIOL 430,Microbial Physiology and Metabolism,,BIOL,,
BIOL 431,Medical Microbiology,,BIOL,,
BIOL 432,Microbe-Host Interactions,,BIOL,,
BIOL 433,Microbial Ecology,,BIOL,,
BIOL 434,Molecular Microbiology,,BIOL,,
BIOL 440,Molecular Virology,,BIOL,,
