courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 201,Elementary Financial Accounting,"(3, 3)",,,
ACCT 202,Managerial Accounting,"(3, 3)",,,
ACCT 300A,Intermediate Accounting,"(4, 4)",,,
ACCT 300B,Intermediate Accounting,"(4, 4)",,,
ACCT 320,Cost Accounting,"(4, 4)",,,
ACCT 351,Federal Tax Law,"(4, 4)",,,
ACCT 352,Voluntary Income Tax Assistance (VITA),"(None, None)",,,
ACCT 400,Advanced Accounting,"(4, 4)",,,
ACCT 460,Accountants’ Professional Responsibilities and Ethics,"(3, 3)",,,
ACCT 465,International Accounting,"(3, 3)",,,
ACCT 470,Auditing,"(4, 4)",,,
ACCT 480,Accounting Systems and Data Processing,"(4, 4)",,,
ACCT 493,Accounting Internships,"(3, 3)",,,
ACCT 495,Selected Topics in Accountancy,"(3, 3)",,,
ACCT 497,Directed Studies in Accountancy,"(None, None)",,,
ACCT 500,Financial Accounting,"(3, 3)",,,
ACCT 601,Corporate Governance and Financial Reporting,"(4, 4)",,,
ACCT 603,Financial Statement Analysis,"(4, 4)",,,
ACCT 604,Forensic Accounting,"(2, 2)",,,
ACCT 605,Seminar in Accounting Information Systems,"(4, 4)",,,
ACCT 610,Managerial Accounting and Control,"(3, 3)",,,
ACCT 611,Seminar in Auditing and Assurance Services,"(4, 4)",,,
ACCT 612,Governmental and Non-Profit Accounting & Taxation,"(4, 4)",,,
ACCT 622,Taxation of Partnerships & S Corporations,"(4, 4)",,,
ACCT 623,Taxation of C Corporations and Shareholders,"(4, 4)",,,
ACCT 633,Accounting Database Systems,"(4, 4)",,,
ACCT 695,Selected Topics in Accountancy,"(3, 3)",,,
ACCT 697,Directed Studies in Accountancy,"(None, None)",,,
ACCT 699,Accountant’s Professional Responsibilities and Ethics,"(4, 4)",,,
AFRS 100A,Composition I,"(3, 3)",,,
AFRS 100B,Composition II,"(3, 3)",,,
AFRS 110,Introduction to Africana Studies,"(3, 3)",,,
AFRS 119,Introduction to Racial and Ethnic Studies,"(3, 3)",,,
AFRS 120,African American History to 1865,"(3, 3)",,,
AFRS 121,African American History Since 1865-Present,"(3, 3)",,,
AFRS 140,Introduction to African American Literature,"(3, 3)",,,
AFRS 150,Critical Thinking in Africana Studies,"(3, 3)",,,
AFRS 154,Introduction to Africana Women’s Studies,"(3, 3)",,,
AFRS 155,African American Music,"(3, 3)",,,
AFRS 160,Introduction to Africana Arts,"(3, 3)",,,
AFRS 170A,Elementary Swahili,"(4, 4)",,,
AFRS 201,History of Slavery,"(3, 3)",,,
AFRS 255,Introduction to Hip Hop,"(3, 3)",,,
AFRS 310,African American Male and Female Relationships,"(3, 3)",,,
AFRS 319,Racial and Ethnic Experience in the United States,"(3, 3)",,,
AFRS 325,Africana Psychology,"(3, 3)",,,
AFRS 330,Politics of the African American Community,"(3, 3)",,,
AFRS 332,Civil Rights and the Law,"(3, 3)",,,
AFRS 335,Economic Development in the African American Community,"(3, 3)",,,
AFRS 343A,African Literature,"(3, 3)",,,
AFRS 346,Africana Theatre,"(3, 3)",,,
AFRS 353,Religions of African Peoples,"(3, 3)",,,
AFRS 354,African American Women and the Civil Rights Movement,"(3, 3)",,,
AFRS 400,African American Social Thought,"(3, 3)",,,
AFRS 410,The African American Family,"(3, 3)",,,
AFRS 415,International Africana Children’s Literature,"(3, 3)",,,
AFRS 420,African American Children in Public Schools,"(3, 3)",,,
AFRS 440,Black Los Angeles,"(3, 3)",,,
AFRS 445,Africana Women’s Literary Tradition: Toni Morrison,"(3, 3)",,,
AFRS 454,Africana Womanism: An Intellectual History,"(3, 3)",,,
AFRS 475,Racism and Sexism: An Analytical Approach,"(3, 3)",,,
AFRS 490,Selected Topics in Africana Studies,"(3, 3)",,,
AFRS 495,Research Methods in Africana Studies,"(3, 3)",,,
AFRS 498,Ancient Egyptian Ethical Thought,"(3, 3)",,,
AFRS 499,Directed Studies,"(None, None)",,,
AFRS 521,Critical Perspectives in Africana Studies,"(3, 3)",,,
AFRS 525,Black Student Movements,"(3, 3)",,,
AFRS 545,Africana Women’s Literary Tradition: Zora Neale Hurston,"(3, 3)",,,
AIS 100A,Composition I,"(None, None)",,,
AIS 100B,Composition II,"(3, 3)",,,
AIS 101,Introduction to the Study of Native American People,"(3, 3)",,,
AIS 105,American Indian History - Pre 1871,"(3, 3)",,,
AIS 106,American Indian History - Post 1871,"(3, 3)",,,
AIS 119,Introduction to Racial and Ethnic Studies,"(None, None)",,,
AIS 222,American Indian Museum Studies,"(3, 3)",,,
AIS 308,California Indian History,"(3, 3)",,,
AIS 313,American Indian Genders and Sexualities,"(3, 3)",,,
AIS 319,Racial and Ethnic Experience in the United States,"(3, 3)",,,
AIS 335,American Indian Philosophies,"(3, 3)",,,
AIS 336,Indigenous Philosophies of Sustainability,"(3, 3)",,,
AIS 340,American Indian Literature,"(3, 3)",,,
AIS 345,Working with American Indian and Indigenous Families,"(3, 3)",,,
AIS 410,American Indian Creative Cultural Practices,"(3, 3)",,,
AIS 421,Critical Perspectives in American Indian Studies,"(3, 3)",,,
AIS 450,American Indian and Indigenous Cinema,"(3, 3)",,,
AIS 454,Contemporary Indigenous Arts in the United States and American Territories,"(3, 3)",,,
AIS 485,American Indians and the Law,"(3, 3)",,,
