courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AAS 100,Introduction to Asian American Studies,"(3, 3)",Asian American Studies,,
AAS 113A,Approaches to University Writing A,"(3, 3)",Asian American Studies,,
AAS 113B,Approaches to University Writing B,"(3, 3)",Asian American Studies,,
AAS 114A,Approaches to University Writing A,"(3, 3)",Asian American Studies,,
AAS 114B,Approaches to University Writing B,"(3, 3)",Asian American Studies,,
AAS 115,Approaches to University Writing,"(3, 3)",Asian American Studies,,
AAS 151,Fundamentals of Public Speaking,"(3, 3)",Asian American Studies,,
AAS 201,"Race, Racism and Critical Thinking","(3, 3)",Asian American Studies,,
AAS 210,History of Asians in America,"(3, 3)",Asian American Studies,,
AAS 220,Survey of Asian American Literature,"(3, 3)",Asian American Studies,,
AAS 230,Asian Americans and the Media,"(3, 3)",Asian American Studies,,
AAS 296A-Z,Experimental Topics Courses in Asian American Studies,"(1, 3)",Asian American Studies,,
AAS 311,Research Methods in Asian American Studies,"(3, 3)",Asian American Studies,,
AAS 321,Asian American Fiction,"(3, 3)",Asian American Studies,,
AAS 340,Asian American Women,"(3, 3)",Asian American Studies,,
AAS 345,Contemporary Issues in Asian American Studies,"(3, 3)",Asian American Studies,,
AAS 347,Asian American Politics and the Law,"(3, 3)",Asian American Studies,,
AAS 350,Asian American Personality and Mental Health,"(3, 3)",Asian American Studies,,
AAS 355,Biracial and Multiracial Identity,"(3, 3)",Asian American Studies,,
AAS 360,Asian American Immigration–Global Perspective,"(3, 3)",Asian American Studies,,
AAS 361A-Z,Asian American Experience of Selected Groups,"(3, 3)",Asian American Studies,,
AAS 362,Asian Pacific Islander Desi American Experience,"(3, 3)",Asian American Studies,,
AAS 390/F,Asian American Communities: Field Practicum,"(2, 2)",Asian American Studies,,
AAS 396A-Z,Experimental Topics Courses in Asian American Studies,"(1, 3)",Asian American Studies,,
AAS 417,Equity and Diversity in Schools,"(3, 3)",Asian American Studies,,
AAS 440,Urbanization and Asian American Communities,"(3, 3)",Asian American Studies,,
AAS 450,Asian American Child and the Schools,"(3, 3)",Asian American Studies,,
AAS 453,Asian American Families,"(3, 3)",Asian American Studies,,
AAS 455,Asian American Sexuality,"(3, 3)",Asian American Studies,,
AAS 495A-Z,Selected Topics in Asian American Studies,"(3, 3)",Asian American Studies,,
AAS 496A-Z,Experimental Topics Courses in Asian American Studies,"(1, 3)",Asian American Studies,,
AAS 497,Senior Seminar in Asian American Studies,"(3, 3)",Asian American Studies,,
AAS 499A-C,Independent Study,"(1, 3)",Asian American Studies,,
ACCT 220,Introduction to Financial Accounting,"(3, 3)",Accounting,,
ACCT 230,Introduction to Managerial Accounting,"(3, 3)",Accounting,,
ACCT 292BCS,Volunteer Income Tax Assistance Clinic – Preparer,"(2, 2)",Accounting,,
ACCT 292CCS,Volunteer Income Tax Assistance Clinic – Preparer,"(3, 3)",Accounting,,
ACCT 292DCS,Volunteer Income Tax Assistance Clinic – Preparer,"(4, 4)",Accounting,,
ACCT 350,Intermediate Financial Accounting I,"(3, 3)",Accounting,,
ACCT 351,Intermediate Financial Accounting II,"(3, 3)",Accounting,,
ACCT 352,Intermediate Financial Accounting III,"(3, 3)",Accounting,,
ACCT 380,Cost Accounting,"(3, 3)",Accounting,,
ACCT 392BCS,Volunteer Income Tax Assistance Clinic – Supervisor,"(2, 2)",Accounting,,
ACCT 392CCS,Volunteer Income Tax Assistance Clinic – Supervisor,"(3, 3)",Accounting,,
ACCT 392DCS,Volunteer Income Tax Assistance Clinic – Supervisor,"(4, 4)",Accounting,,
ACCT 412L,Excel Specialist Certification,"(1, 1)",Accounting,,
ACCT 440,Income Tax I,"(3, 3)",Accounting,,
ACCT 441,Income Tax II,"(3, 3)",Accounting,,
ACCT 450,Advanced Financial Accounting,"(3, 3)",Accounting,,
ACCT 460,Auditing Principles and Analytics,"(3, 3)",Accounting,,
ACCT 465,Advanced Auditing,"(3, 3)",Accounting,,
ACCT 475,Governmental and Nonprofit Accounting,"(3, 3)",Accounting,,
ACCT 496A-Z,Experimental Topics Courses,"(3, 3)",Accounting,,
ACCT 497A-Z,Special Topics in Accounting,"(3, 3)",Accounting,,
ACCT 498A-C,Field Assignments and Reports—Accounting,"(1, 3)",Accounting,,
ACCT 499A-C,Independent Study—Accounting,"(1, 3)",Accounting,,
ACCT 501,Financial Accounting,"(3, 3)",Accounting,,
ACCT 505,Financial and Managerial Accounting in Industry,"(3, 3)",Accounting,,
ACCT 509,"Tax Ethics, Research and Communication","(3, 3)",Accounting,,
ACCT 511,Accounting Ethics and Professional Responsibilities,"(3, 3)",Accounting,,
ACCT 515,Contemporary Issues in Accounting,"(3, 3)",Accounting,,
ACCT 520,Income Tax Concepts and Their Business Applications,"(3, 3)",Accounting,,
ACCT 536,Accounting for Governmental and Nonprofit Entities,"(3, 3)",Accounting,,
ACCT 542,Introduction to Federal Tax Procedure,"(3, 3)",Accounting,,
ACCT 600,Taxation of Individuals and Property Transactions,"(3, 3)",Accounting,,
ACCT 605,Introduction to Audit and Attestation,"(3, 3)",Accounting,,
ACCT 620A,Financial Accounting Reporting I,"(3, 3)",Accounting,,
ACCT 620B,Financial Accounting Reporting II,"(3, 3)",Accounting,,
ACCT 620C,Financial Accounting Reporting III,"(3, 3)",Accounting,,
ACCT 624,Advanced Audit and Attestation,"(2, 2)",Accounting,,
ACCT 625,Federal Taxation of Entities,"(3, 3)",Accounting,,
ACCT 626,Managerial Cost Accounting Seminar,"(3, 3)",Accounting,,
ACCT 628,Financial Statement Analysis and Valuation,"(3, 3)",Accounting,,
ACCT 629,Income Taxation of Corporations and Shareholders I,"(3, 3)",Accounting,,
ACCT 632,Accounting Issues in Select Industries,"(3, 3)",Accounting,,
ACCT 633,Income Taxation of Partnerships,"(3, 3)",Accounting,,
ACCT 634,Forensic Accounting,"(3, 3)",Accounting,,
ACCT 635,Income Taxation of Estates and Trusts,"(3, 3)",Accounting,,
ACCT 637,Taxation of Foreign Transactions and Taxpayers,"(3, 3)",Accounting,,
ACCT 640,Accounting Methods and Periods,"(3, 3)",Accounting,,
ACCT 645,Federal Tax Procedure,"(3, 3)",Accounting,,
ACCT 650,Contemporary Tax Planning Issues Seminar,"(2, 2)",Accounting,,
ACCT 655,Real Estate Taxation,"(3, 3)",Accounting,,
ACCT 661,State and Local Taxes,"(3, 3)",Accounting,,
ACCT 668,Selected Topics in Taxation,"(3, 3)",Accounting,,
