courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCY 1,Accounting Fundamentals.,"(3, 3)",,,
ACCY 2,Managerial Accounting.,"(3, 3)",,,
ACCY 111,Intermediate Accounting I.,"(3, 3)",,,
ACCY 112,Intermediate Accounting II.,"(3, 3)",,,
ACCY 113,Intermediate Accounting III.,"(3, 3)",,,
ACCY 117,Advanced Accounting.,"(3, 3)",,,
ACCY 121,Cost Accounting.,"(3, 3)",,,
ACCY 122,Advanced Management Accounting.,"(3, 3)",,,
ACCY 131,"Survey of Auditing, Attest, and Assurance Topics.","(3, 3)",,,
ACCY 132,Accountants' Ethical and Professional Responsibilities.,"(3, 3)",,,
ACCY 133,Internal Auditing.,"(3, 3)",,,
ACCY 141,Accounting Information Systems Development.,"(3, 3)",,,
ACCY 143,Accounting Data Analytics.,"(3, 3)",,,
ACCY 161,Government and Nonprofit Accounting.,"(3, 3)",,,
ACCY 171,Federal Tax Procedures I.,"(3, 3)",,,
ACCY 172,Federal Tax Procedures II.,"(3, 3)",,,
ACCY 190,International Accounting.,"(3, 3)",,,
ACCY 194,Cooperative Education Experience in Accountancy.,"(6, 12)",,,
ACCY 195,Internship in Accountancy.,"(3, 3)",,,
ACCY 196B,Exper Offer Accountancy.,"(3, 3)",,,
ACCY 199,Special Problems in Accountancy.,"(1, 3)",,,
ACCY 220,Accountancy Teaching Experience.,"(3, 6)",,,
ACCY 240,Integrated Accounting Concepts.,"(3, 3)",,,
ACCY 250,Financial Reporting I.,"(3, 3)",,,
ACCY 251,Foundations of International Accounting.,"(3, 3)",,,
ACCY 260,Financial Reporting II.,"(3, 3)",,,
ACCY 261,Cost Analysis and Control.,"(3, 3)",,,
ACCY 262,Auditing.,"(3, 3)",,,
ACCY 263,Governmental and Non-Profit Accounting.,"(3, 3)",,,
ACCY 264,Taxation of Business Entities.,"(3, 3)",,,
ACCY 265,Advanced Accounting Information Systems Analysis and Controls.,"(3, 3)",,,
ACCY 266,Business Environment and Concepts.,"(3, 3)",,,
ACCY 269,Taxation of Individuals.,"(3, 3)",,,
ACCY 270,Tax Research and Procedure.,"(3, 3)",,,
ACCY 271,Tax Accounting Periods and Methods.,"(3, 3)",,,
ACCY 272,Taxation of Business Enterprises I - Corporations.,"(3, 3)",,,
ACCY 273,Taxation of Business Enterprises II - Partnerships.,"(3, 3)",,,
ACCY 274,"Estate, Gift and Trust Taxation.","(3, 3)",,,
ACCY 275,International Wealth and Asset Management.,"(3, 3)",,,
ACCY 276,U.S.Taxation of International Transactions.,"(3, 3)",,,
ACCY 277,Comparative International Tax Systems.,"(3, 3)",,,
ACCY 278,International and Multi-State Taxation.,"(3, 3)",,,
ACCY 280,Management Control Systems.,"(3, 3)",,,
ACCY 295,Internship in Accountancy.,"(3, 3)",,,
ACCY 296,Experimental Offerings in Accountancy.,"(3, 3)",,,
ACCY 299,Special Problems in Accountancy.,"(1, 3)",,,
ACCY 500A,Thesis.,"(1, 3)",,,
ACCY 500B,Project.,"(1, 3)",,,
ACCY 500C,Comprehensive Examination for MS/Accountancy and MSBA/Taxation Degrees.,"(1, 3)",,,
ACCY 501,Culminating Experience Project in Accounting and Ethics.,"(3, 3)",,,
AIS 142,Enterprise and E-Commerce Accounting Models.,"(3, 3)",,,
AIS 194,Cooperative Education Experience in Accounting Information Systems Problems.,"(6, 12)",,,
AIS 195,Internship in Accounting Information Systems.,"(3, 6)",,,
AIS 199,Special Problems in Accounting Information Systems.,"(1, 3)",,,
ANTH 1,Introduction to Biological Anthropology.,"(3, 3)",,,
ANTH 1A,Biological Anthropology Laboratory.,"(1, 1)",,,
ANTH 2,Introduction to Cultural Anthropology.,"(3, 3)",,,
ANTH 2H,Introduction to Cultural Anthropology - Honors.,"(3, 3)",,,
ANTH 3,Introduction to Archaeology.,"(3, 3)",,,
ANTH 4,"Language, Culture, and Critical Thinking.","(3, 3)",,,
ANTH 13,"Magic, Witchcraft and Religion.","(3, 3)",,,
ANTH 16,Comparative Early Civilizations.,"(3, 3)",,,
ANTH 21,Freshman Seminar: Becoming an Educated Person.,"(3, 3)",,,
ANTH 101,Cultural Diversity.,"(3, 3)",,,
ANTH 102,The Nature of Culture.,"(3, 3)",,,
ANTH 103,Psychological Anthropology.,"(3, 3)",,,
ANTH 105,Anthropology of War.,"(3, 3)",,,
ANTH 106,Culture and Personality of the Chicano Child.,"(3, 3)",,,
ANTH 107,Anthropology of Hunters and Gatherers.,"(3, 3)",,,
ANTH 108,Economic Anthropology.,"(3, 3)",,,
ANTH 109,Ecological and Evolutionary Approaches to Anthropology.,"(3, 3)",,,
ANTH 110,Archaeological Method and Theory.,"(3, 3)",,,
ANTH 111,California Archaeology.,"(3, 3)",,,
ANTH 112,Great Basin Archaeology.,"(3, 3)",,,
ANTH 113,Prehistory of the Southwest.,"(3, 3)",,,
ANTH 114,North American Prehistory.,"(3, 3)",,,
ANTH 115,Origins of Agriculture.,"(3, 3)",,,
ANTH 116,Old World Prehistory:  Paleolithic Archaeology.,"(3, 3)",,,
ANTH 117,World Prehistory and the Evolution of Modern Humanity.,"(3, 3)",,,
ANTH 118,The Anthropocene: Human Impacts on Ancient Environments.,"(3, 3)",,,
ANTH 119,Analysis of Faunal Remains.,"(4, 4)",,,
ANTH 120,Introductory Statistics for Anthropologists.,"(3, 3)",,,
ANTH 121,Archaeology of Mexico.,"(3, 3)",,,
ANTH 122,The Evolution of Early Mesoamerican States.,"(3, 3)",,,
ANTH 123,Ancient Technology.,"(3, 3)",,,
ANTH 124,Environmental Archaeology.,"(3, 3)",,,
ANTH 126,Techniques of Archaeological Analysis.,"(3, 3)",,,
ANTH 127,Cultural Resource Management in Theory and Practice.,"(3, 3)",,,
ANTH 128,Indians of California.,"(3, 3)",,,
