courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 2110,Introductory Accounting I,"(3, 3)",,,
ACCT 2120,Introductory Accounting II,"(3, 3)",,,
ACCT 3110,Financial Accounting and Reporting,"(3, 3)",,,
ACCT 3120,Managerial Accounting Analysis,"(3, 3)",,,
ACCT 3150,Accounting Information Systems and Business Ethics,"(3, 3)",,,
ACCT 3470,Management Accounting and Ethics in Business,"(3, 3)",,,
ACCT 3720,Intermediate Accounting I,"(3, 3)",,,
ACCT 3730,Intermediate Accounting II,"(3, 3)",,,
ACCT 4260,Introduction to Taxation,"(3, 3)",,,
ACCT 4400,Financial Statement Auditing,"(3, 3)",,,
ACCT 5200,Forensic Accounting I,"(3, 3)",,,
ACCT 5300,Advanced Tax Topics: Corporate Taxation,"(3, 3)",,,
ACCT 5360,Corporate and Partnership Taxation,"(3, 3)",,,
ACCT 5390,Advanced Accounting,"(3, 3)",,,
ACCT 5410,EDP Auditing and Control,"(3, 3)",,,
ACCT 5440,"Accounting Law, Ethics and Institutions","(3, 3)",,,
ACCT 5470,Advanced Cost Accounting,"(3, 3)",,,
ACCT 5560,"Estates and Gifts, Ethics and other Specialized Taxation Topics","(3, 3)",,,
ACCT 5680,Accounting for Government and Not-for-Profit Organizations,"(3, 3)",,,
ACCT 5753,Accounting Internship,"(3, 3)",,,
ACCT 5755,Internship,"(1, 1)",,,
ACCT 5915,Seminar in Accounting,"(1, 1)",,,
ACCT 5930,Seminar in Accounting,"(3, 3)",,,
ACCT 5951,Independent Study,"(1, 1)",,,
ACCT 5952,Independent Study,"(2, 2)",,,
ACCT 5953,Independent Study,"(3, 3)",,,
ACCT 5955,Independent Study,"(1, 1)",,,
ACCT 5980,CPA Preparation & Practice,"(0, 0)",,,
ACCT 6060,Accounting for Managerial Decision-Making,"(3, 3)",,,
ACCT 6100,Financial Accounting from the User Perspective with Data Analytics in Accounting,"(3, 3)",,,
ACCT 6150,Controllership and Professional Ethics,"(3, 3)",,,
