courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 201,Introduction to Financial Accounting,,ACCT,,
ACCT 202,Introduction to Managerial Accounting,,ACCT,,
ACCT 203,Introduction to Accounting for Managers,,ACCT,,
ACCT 204,Principles of Financial Accounting,,ACCT,,
ACCT 301,Intermediate Accounting I,,ACCT,,
ACCT 302,Intermediate Accounting II,,ACCT,,
ACCT 306,Cost Accounting,,ACCT,,
ACCT 307,Tax Accounting,,ACCT,,
ACCT 308,Accounting Information and Systems,,ACCT,,
ACCT 406,"Cost Management, Measurement, and Control",,ACCT,,
ACCT 407,Advanced Tax Accounting,,ACCT,,
ACCT 416,Auditing,,ACCT,,
ACCT 421,Financial Accounting in Government and Non-Profit Organizations,,ACCT,,
ACCT 422,Advanced Accounting,,ACCT,,
ACCT 423,International Accounting,,ACCT,,
ACCT 424,Accounting Ethics,,ACCT,,
ACCT 425,Data Analytics in Accounting,,ACCT,,
ACCT 481,Selected Topics in Accountancy,,ACCT,,
ACCT 482,Selected Topics in Accountancy,,ACCT,,
ACCT 483,Selected Topics in Accountancy,,ACCT,,
ACCT 484,Selected Topics in Accountancy,,ACCT,,
ACCT 498A,Independent Study in Accountancy,,ACCT,,
ACCT 498B,Independent Study in Accountancy,,ACCT,,
ACCT 498C,Independent Study in Accountancy,,ACCT,,
ACCT 498D,Independent Study in Accountancy,,ACCT,,
ACCT 502,Foundations of Accounting,,ACCT,,
ACCT 513,International Financial Reporting Standards,,ACCT,,
ACCT 525,Assurance Services and Information Technology,,ACCT,,
ACCT 560,Accounting Ethics,,ACCT,,
ACCT 561,Current Professional Issues in Accounting,,ACCT,,
ACCT 591,Accounting Internship,,ACCT,,
ACCT 592,Accounting Internship,,ACCT,,
ACCT 601,Principles of Accounting for Managers,,ACCT,,
ACCT 602,Accounting for Managers,,ACCT,,
AI 101,Critical Thinking and Artificial Intelligence,,AI,,
AI 270,Programming for Artificial Intelligence,,AI,,
AI 330,Artificial Intelligence Fundamentals,,AI,,
AI 421,Computer Vision,,AI,,
AI 431,Natural Language Processing,,AI,,
AI 433,Artificial Intelligence in Healthcare,,AI,,
AI 441,Robotics and Autonomous Systems,,AI,,
AI 478,Deep Learning,,AI,,
AIS 101,Introduction to American Indian Studies,,AIS,,
AIS 110,"Decolonizing California: California Indian Resistance, Resurgence and Resilience",,AIS,,
AIS 115,"American Indians, Colonialism, and Critical Thinking",,AIS,,
AIS 120,"Decolonizing the Diet: Intro to Native Foods, Systems and Plants",,AIS,,
AIS 125,Decolonizing the Narrative: American Indian and Indigenous Film and Filmmakers,,AIS,,
AIS 130,"Environmental Justice, Racism, and Settler Colonialism",,AIS,,
AIS 150,Introduction to Federal Indian Law and Policy,,AIS,,
AIS 160,Climate Change and Indigenous People,,AIS,,
AIS 200,Topics in American Indian Studies,,AIS,,
AIS 220,American Indian Religion,,AIS,,
AIS 225,American Indians and Sports,,AIS,,
AIS 230,American Indian Art and Contemporary Issues,,AIS,,
AIS 235,American Indian Youth Literature: A Critical Perspective,,AIS,,
AIS 240,American Indians and Environmental Issues,,AIS,,
AIS 250,California Indian Culture and History,,AIS,,
AIS 260,American Indians and Rock & Roll,,AIS,,
AIS 265,American Indian Women Writers,,AIS,,
AIS 270,American Indian Digital Humanities,,AIS,,
AIS 280,American Indian Culture and Language Preservation and Revitalization,,AIS,,
AIS 290,American Indian Education: Equity and Social Justice,,AIS,,
AIS 315,Criminal Justice in Indian Country,,AIS,,
AIS 348,American Indian Communities,,AIS,,
AIS 350,"Imagining Indians: American Indians, Mass Media, Film and Society",,AIS,,
AIS 360,American Indian Water Rights,,AIS,,
AIS 370,American Indian Women and Activism,,AIS,,
AIS 380,Topics in American Indian Studies,,AIS,,
AIS 390,Independent Study in American Indian Themes,,AIS,,
AIS 400,Contemporary American Indian Health and Wellness,,AIS,,
AIS 410,United States History through Indigenous Lenses: Pre-Contact to the Present,,AIS,,
AIS 420,American Indian Leadership: Sustaining Indigenous Knowledge,,AIS,,
AIS 440,American Indian Traditional Ecological Knowledge and Practice,,AIS,,
AIS 450,Decolonization in Practice,,AIS,,
AIS 468,American Indian Political and Economic Development,,AIS,,
AIS 470,Tribal Economics,,AIS,,
AIS 480,Local Archaeological Practice,,AIS,,
AIS 481,American Indian Archaeological Monitoring,,AIS,,
AIS 490,"American Indian Studies: Research, Methods, and Applications",,AIS,,
AIS 498,Internship in an American Indian Community,,AIS,,
ANTH 200,Cultural Anthropology,,ANTH,,
ANTH 205,Introduction to Medical Anthropology,,ANTH,,
ANTH 215,Human Origins,,ANTH,,
ANTH 240,Introduction to Biological Anthropology,,ANTH,,
ANTH 280,Of Trowels and Trenches: An Introduction to Archaeology,,ANTH,,
ANTH 301,Culture and Medicine: Healers and Healing Practices,,ANTH,,
ANTH 302,Culture and Medicine: The Anthropology of Health Care,,ANTH,,
ANTH 305,Medical Anthropology,,ANTH,,
ANTH 310,World Prehistory,,ANTH,,
ANTH 319,Topics in Biological Anthropology,,ANTH,,
ANTH 325,Ancient Mexican Society and Art,,ANTH,,
ANTH 327,Anthropology of Cities,,ANTH,,
ANTH 328,Body and Identity,,ANTH,,
ANTH 329,Topics in Cultural Anthropology,,ANTH,,
ANTH 330,Ritual and Religion,,ANTH,,
ANTH 340,Immigration and Health,,ANTH,,
ANTH 345,Culture and Mind,,ANTH,,
ANTH 350,Visual Anthropology,,ANTH,,
ANTH 360,Indigenous Anthropology,,ANTH,,
ANTH 370,"Environment, Population, and Culture",,ANTH,,
ANTH 375,"Money, Culture, and Power",,ANTH,,
ANTH 379,Environmental Health and Justice,,ANTH,,
ANTH 380,Current Archaeology,,ANTH,,
ANTH 381,"Archaeological Method, Theory, and Practice",,ANTH,,
ANTH 385,Divine Lords and Earth Monsters: Archaeology of the Maya,,ANTH,,
ANTH 388,"Space, Place, and Landscape in Archaeology",,ANTH,,
ANTH 389,Topics in Archaeology,,ANTH,,
ANTH 390,Anthropological Research Methods,,ANTH,,
ANTH 391,Anthropological Theory,,ANTH,,
ANTH 399,Topics in Medical Anthropology,,ANTH,,
ANTH 430,Medical Ethnography,,ANTH,,
ANTH 440,Farmworker Health Ethnography,,ANTH,,
ANTH 460,Questioning Cultural Competency,,ANTH,,
ANTH 465,Indigenous Health,,ANTH,,
ANTH 470,Community Ethnobotany,,ANTH,,
ANTH 471,Plant Medicines and People,,ANTH,,
ANTH 480,Local Archaeological Practice,,ANTH,,
ANTH 498,Directed Research in Anthropology,,ANTH,,
ANTH 499A,Directed Research in Medical Anthropology,,ANTH,,
ANTH 499B,Directed Research in Medical Anthropology,,ANTH,,
ANTH 499C,Directed Research in Medical Anthropology,,ANTH,,
ABA 601,Foundations and Concepts in Behavior Analysis,,ABA,,
ABA 602,Behavior Analysis Processes for Behavior Change,,ABA,,
ABA 603,Applied Behavior Analysis Applications for Complex Procedures and Promoting Behavior Change,,ABA,,
