courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACC 3,Ms Fsa,3,Accountancy,Graduate,Baruch College
ACC 125,Fsa Holder,12.5,Accountancy,Graduate,Baruch College
ACC 9100,Financial and Management Accounting,3,Accountancy,Graduate,Baruch College
ACC 9110,Financial Reporting,3,Accountancy,Graduate,Baruch College
ACC 9110H,Honors Financial Accounting,3,Accountancy,Graduate,Baruch College
ACC 9112,Financial Accounting: Intensive,3,Accountancy,Graduate,Baruch College
ACC 9115,Managerial Accounting,2,Accountancy,Graduate,Baruch College
ACC 9125,Fundamentals of Managerial Accounting,1.5,Accountancy,Graduate,Baruch College
ACC 9312,Health Care Accounting and Finance,3,Accountancy,Graduate,Baruch College
ACC 9703,Management Control,3,Accountancy,Graduate,Baruch College
ACC 9705,Advanced Accounting,4,Accountancy,Graduate,Baruch College
ACC 9706,Fin Statement Analys,3,Accountancy,Graduate,Baruch College
ACC 9707,Cur Accy Theory/Prac,3,Accountancy,Graduate,Baruch College
ACC 9713,Cost Cont&Cost Reduc,2,Accountancy,Graduate,Baruch College
ACC 9721,Auditing,3,Accountancy,Graduate,Baruch College
ACC 9755,Budget Accounting,2,Accountancy,Graduate,Baruch College
ACC 9801,Management Accounting and Control for Entrepreneurs and Business Managers,3,Accountancy,Graduate,Baruch College
ACC 9802,Intl Acct & Controls,3,Accountancy,Graduate,Baruch College
ACC 9804,Intermediate Financial Accounting,4,Accountancy,Graduate,Baruch College
ACC 9805,Advanced Financial Accounting,4,Accountancy,Graduate,Baruch College
ACC 9806,Financial Statement Analysis and Reporting,3,Accountancy,Graduate,Baruch College
ACC 9807,Contemporary Topics in Accounting,4,Accountancy,Graduate,Baruch College
ACC 9808,Financial Statement Analysis II,4,Accountancy,Graduate,Baruch College
ACC 9809,Financial Statement Analysis III,4,Accountancy,Graduate,Baruch College
ACC 9810,Current Topics in Financial Accounting,3,Accountancy,Graduate,Baruch College
ACC 9811,Managerial Accounting Theory and Practice,4,Accountancy,Graduate,Baruch College
ACC 9815,Advanced Managerial Accounting,3,Accountancy,Graduate,Baruch College
ACC 9816,Accounting and Auditing Aspects of Computer-Based Information Systems,4,Accountancy,Graduate,Baruch College
ACC 9818,Auditing and Accounting Information Systems,3,Accountancy,Graduate,Baruch College
ACC 9821,Auditing,4,Accountancy,Graduate,Baruch College
ACC 9826,Contemporary Topics in Internal Auditing,3,Accountancy,Graduate,Baruch College
ACC 9827,Advanced Topics in Governmental and Non-Profit Accounting and Auditing,3,Accountancy,Graduate,Baruch College
ACC 9850,Accounting Practicum,3,Accountancy,Graduate,Baruch College
ACC 9851,Accounting Practicum I,1,Accountancy,Graduate,Baruch College
ACC 9852,Accounting Practicum II,1,Accountancy,Graduate,Baruch College
ACC 9853,Accounting Practicum III,1,Accountancy,Graduate,Baruch College
ACC 9872,Personal Financial Planning,3,Accountancy,Graduate,Baruch College
ACC 9886,Data Analytics in Accounting,4,Accountancy,Graduate,Baruch College
ACC 9901,Special Topics in Accountancy,3,Accountancy,Graduate,Baruch College
ACC 9990,Special Topics in Accountancy,1,Accountancy,Graduate,Baruch College
ACC 9991,Special Topics in Accountancy,1.5,Accountancy,Graduate,Baruch College
ACC 9992,Special Topics in Accountancy,2,Accountancy,Graduate,Baruch College
ACC 9993,Special Topics in Accountancy,3,Accountancy,Graduate,Baruch College
ACC 99001,Res Method For Sem,3,Accountancy,Graduate,Baruch College
ACC 99002,Res Seminar In Acc,3,Accountancy,Graduate,Baruch College
ACC 99301,Research Methodology,3,Accountancy,Graduate,Baruch College
ACC 99302,Thesis,3,Accountancy,Graduate,Baruch College
BUS 9100,Business and Society,3,Management,Graduate,Baruch College
BUS 9200,Business Policy,3,Management,Graduate,Baruch College
BUS 9300,Bus Research Seminar,3,Management,Graduate,Baruch College
BUS 9301,Leadership Assessment and Development,2,Management,Graduate,Baruch College
BUS 9303,"Three Faces of Negotiating: Behavior, Law and Labor",1,Management,Graduate,Baruch College
BUS 9400,Total Quality Management,3,Management,Graduate,Baruch College
BUS 9420,Communications and Ethics for Business Analytics,3,Management,Graduate,Baruch College
BUS 9425,Ethics in Business Analytics,1.5,Management,Graduate,Baruch College
BUS 9430,Business Analytics Project Management,3,Management,Graduate,Baruch College
BUS 9550,Management Communication: Linking Theory and Practice,3,Management,Graduate,Baruch College
