courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ENGL XXXX,Core Options,"(None, None)",,,
ESOL 0031,Esol 0034 -,"(None, None)",,,
ESOL 0031,ESOL 0034 - ESOL Listening/Speaking,"(2, 2)",,,
ESOL 0041,Esol 0044 -,"(None, None)",,,
ESOL 0041,Esol 0044 -,"(None, None)",,,
ESOL 0051,Esol 0054 -,"(None, None)",,,
ESOL 0051,Esol 0054 -,"(None, None)",,,
ESOL 0061,Esol 0064 -,"(None, None)",,,
ESOL 0061,Esol 0064 -,"(None, None)",,,
HRPO 2004,Employee Relations,"(None, None)",,,
HUMA XXXX,Core Options,"(None, None)",,,
ACCT 2301,Principles of Financial Accounting,"(3, 3)",,,
ACCT 2302,Principles of Managerial Accounting,"(3, 3)",,,
ACNT 1003,Introduction to Accounting I,"(None, None)",,,
ACNT 1277,Taxation Procedures for Individuals,"(2, 2)",,,
ACNT 1278,Taxation Procedures for C Corps and S Corps,"(2, 2)",,,
ACNT 1279,"Taxation Procedures for Estates, Trusts and Partnerships","(2, 2)",,,
ACNT 1303,Introduction to Accounting I,"(3, 3)",,,
ACNT 1304,Introduction to Accounting II,"(3, 3)",,,
ACNT 1305,Forensic Accounting,"(3, 3)",,,
ACNT 1311,Introduction to Computerized Accounting,"(3, 3)",,,
ACNT 1313,Computerized Accounting Applications,"(3, 3)",,,
ACNT 1329,Payroll and Business Tax Accounting,"(3, 3)",,,
ACNT 1331,Federal Income Tax: Individual,"(3, 3)",,,
ACNT 1335,Accounting Ethics,"(3, 3)",,,
ACNT 1347,Federal Income Tax for Partnerships and Corporations,"(3, 3)",,,
ACNT 1373,Financial Accounting Reporting Standards I,"(3, 3)",,,
ACNT 1374,Financial Accounting Reporting Standards II,"(3, 3)",,,
ACNT 1375,Forensic Financial Investigation,"(3, 3)",,,
ACNT 1380,Cooperative Education - Accounting,"(3, 3)",,,
ACNT 1391,Special Topics in Accounting,"(3, 3)",,,
ACNT 1393,Special Topics in Taxation,"(3, 3)",,,
ACNT 2302,Accounting Capstone,"(3, 3)",,,
ACNT 2303,Intermediate Accounting I,"(3, 3)",,,
ACNT 2304,Intermediate Accounting II,"(3, 3)",,,
ACNT 2309,Cost Accounting,"(3, 3)",,,
ACNT 2311,Managerial Accounting,"(3, 3)",,,
ACNT 2330,Governmental and Not-for-Profit Accounting,"(3, 3)",,,
ACNT 2332,Accounting Information Systems,"(3, 3)",,,
ACNT 2336,Financial Statement Analysis,"(3, 3)",,,
ACNT 2345,Technical Writing for Accountants,"(3, 3)",,,
ACNT 2378,Financial Statement Auditing Theory,"(3, 3)",,,
ACNT 2379,Accounting Data Analytics,"(3, 3)",,,
ACNT 2380,Cooperative Education - Accounting,"(3, 3)",,,
AGCR 1071,Urban Farming for Income,"(None, None)",,,
AGRI 1131,The Agricultural Industry,"(1, 1)",,,
AGRI 1307,Agronomy,"(3, 3)",,,
AGRI 1309,Computers in Agriculture,"(3, 3)",,,
AGRI 1315,Horticulture,"(3, 3)",,,
AGRI 1319,Introductory Animal Science,"(3, 3)",,,
AGRI 1325,Marketing of Agricultural Products,"(3, 3)",,,
AGRI 1329,Principles of Food Science,"(3, 3)",,,
AGRI 1407,Agronomy,"(4, 4)",,,
AGRI 1415,Horticulture,"(4, 4)",,,
AGRI 1419,Introductory Animal Science,"(4, 4)",,,
AGRI 2317,Introduction to Agricultural Economics,"(3, 3)",,,
AGRI 2330,Wildlife Conservation and Management,"(3, 3)",,,
HART 1001,Basic Electricity for HVAC,"(None, None)",,,
HART 1003,Air Conditioning Control Principles,"(None, None)",,,
HART 1007,Refrigeration Principles,"(None, None)",,,
HART 1010,HVAC Shop Practices and Tools,"(None, None)",,,
HART 1041,Residential Air Conditioning,"(None, None)",,,
HART 1045,Gas and Electric Heating,"(None, None)",,,
HART 1056,EPA Recovery Certification Preparation,"(None, None)",,,
HART 1301,Basic Electricity for HVAC,"(3, 3)",,,
HART 1303,Air Conditioning Control Principles,"(3, 3)",,,
HART 1307,Refrigeration Principles,"(3, 3)",,,
HART 1310,HVAC Shop Practices and Tools,"(3, 3)",,,
HART 1351,Energy Management,"(3, 3)",,,
HART 1356,EPA Recovery Certification Preparation,"(3, 3)",,,
HART 1366,Practicum,"(3, 3)",,,
HART 1380,"Cooperative Education - Heating, Air Conditionning, And Refrigeration Technology/Technician","(3, 3)",,,
HART 1394,"Special Topics in Heating, Air Conditioning, and Refrigeration Mechanic and Repairer","(3, 3)",,,
HART 1401,Basic Electricity for HVAC,"(4, 4)",,,
HART 1403,Air Conditioning Control Principles,"(4, 4)",,,
HART 1407,Refrigeration Principles,"(4, 4)",,,
HART 1441,Residential Air Conditioning,"(4, 4)",,,
HART 1445,Gas And Electric Heating,"(4, 4)",,,
HART 1451,Energy Management,"(4, 4)",,,
HART 2002,Commercial Air Conditioning System Design,"(None, None)",,,
HART 2034,Advanced Air Conditioning Controls,"(None, None)",,,
HART 2036,Air Conditioning Troubleshooting,"(None, None)",,,
HART 2038,Air Conditioning Installation and Startup,"(None, None)",,,
HART 2041,Commercial Air Conditioning,"(None, None)",,,
HART 2042,Commercial Refrigeration,"(None, None)",,,
HART 2043,Industrial Air Conditioning,"(None, None)",,,
HART 2045,Residential Air Conditioning Systems Design,"(None, None)",,,
HART 2071,Commercial and Industrial Heating Systems,"(None, None)",,,
HART 2302,Commercial Air Conditioning System Design,"(3, 3)",,,
HART 2334,Advanced Air Conditioning Controls,"(3, 3)",,,
HART 2336,Air Conditioning Troubleshooting,"(3, 3)",,,
HART 2338,Air Conditioning Installation and Startup,"(3, 3)",,,
HART 2341,Commercial Air Conditioning,"(3, 3)",,,
HART 2342,Commercial Refrigeration,"(3, 3)",,,
HART 2343,Industrial Air Conditioning,"(3, 3)",,,
HART 2345,Residential Air Conditioning Systems Design,"(3, 3)",,,
HART 2349,Heat Pumps,"(3, 3)",,,
HART 2368,Practicum,"(3, 3)",,,
HART 2380,"Cooperative Education - Heating, Air Conditionning, And Refrigeration Technology/Technician","(3, 3)",,,
HART 2436,Air Conditioning Troubleshooting,"(4, 4)",,,
ITSY 1391,Special Topics in Information Technology/Security,"(3, 3)",,,
ITSY 1491,Special Topics in Information Technology/Security,"(4, 4)",,,
ITSY 2000,Operating System Security,"(None, None)",,,
ITSY 2001,Firewalls and Network Security Design,"(None, None)",,,
ITSY 2300,Operating System Security,"(3, 3)",,,
ITSY 2301,Firewalls and Network Security Design,"(3, 3)",,,
ITSY 2341,Security Management Practices,"(3, 3)",,,
ITSY 2342,Incident Response and Handling,"(3, 3)",,,
ITSY 2345,Network Defense and Countermeasures,"(3, 3)",,,
ITSY 2359,Security Assessment and Auditing,"(3, 3)",,,
ITSY 2372,Ethical Hacking and System Defense,"(3, 3)",,,
ITSY 2375,Applied IT Security Compliance Auditing Project,"(3, 3)",,,
ITSY 2386,Internship-Computer and Information Systems Security,"(3, 3)",,,
ITSY 2430,Intrusion Detection,"(4, 4)",,,
ITSY 2443,Computer System Forensics,"(4, 4)",,,
ITSY 2445,Network Defense and Countermeasures,"(4, 4)",,,
CMDR 1018,Introduction to Mediation,"(None, None)",,,
CMDR 1300,Workplace Dispute Resolution,"(3, 3)",,,
CMDR 1306,Current Issues and Trends,"(3, 3)",,,
CMDR 1309,Introduction to Conflict Dynamics,"(3, 3)",,,
