courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ANIM 588,Spatial Data Capture,"(None, None)",Animation,Graduate,
ARCH 667,Introduction to Historic Preservation,"(None, None)",Architecture,Graduate,
ARCH 684,Specialized Studio,"(None, None)",Architecture,Graduate,
ARCH 747,Summer Study Abroad,"(None, None)",Architecture,Graduate,
ARCH I599,Independent Study in Architecture,"(None, None)",Architecture,Graduate,
ARCH I699,Independent Study in Architecture,"(None, None)",Architecture,Graduate,
ARCH I799,Independent Study in Architecture,"(None, None)",Architecture,Graduate,
ARCH I899,Independent Study in Architecture,"(None, None)",Architecture,Graduate,
ARCH I999,Independent Study in Architecture,"(None, None)",Architecture,Graduate,
ARCH T580,Special Topics in Architecture,"(None, None)",Architecture,Graduate,
ARCH T680,Special Topics in Architecture,"(None, None)",Architecture,Graduate,
ARCH T780,Special Topics in Architecture,"(None, None)",Architecture,Graduate,
ARCH T880,Special Topics in Architecture,"(None, None)",Architecture,Graduate,
ARCH T980,Special Topics in Architecture,"(None, None)",Architecture,Graduate,
ARTH 530,History of Modern Design,"(None, None)",Art History,Graduate,
AADM 500,Foundations of Cultural Practice,"(None, None)",Arts Administration,Graduate,
AADM 600,Community Cultural Engagement,"(None, None)",Arts Administration,Graduate,
AADM 660,Advancing Cultural Policy,"(None, None)",Arts Administration,Graduate,
AADM 690,Equitable Cultural Practices,"(None, None)",Arts Administration,Graduate,
AADM 698,Capstone Development,"(None, None)",Arts Administration,Graduate,
AADM 741,Arts Entrepreneurship,"(None, None)",Arts Administration,Graduate,
AADM 745,Arts in Education,"(None, None)",Arts Administration,Graduate,
AADM 752,Performing Arts Management,"(None, None)",Arts Administration,Graduate,
AADM 753,Visual Arts Organization Management,"(None, None)",Arts Administration,Graduate,
AADM 755,Community Cultural Planning,"(None, None)",Arts Administration,Graduate,
AADM 757,Political Activism in the Arts,"(None, None)",Arts Administration,Graduate,
AADM 785,Research Design in the Arts,"(None, None)",Arts Administration,Graduate,
AADM 798,Thesis Development,"(None, None)",Arts Administration,Graduate,
AADM 799,Thesis Completion,"(None, None)",Arts Administration,Graduate,
AADM I599,Independent Study in Arts Administration,"(None, None)",Arts Administration,Graduate,
AADM I699,Independent Study in Arts Administration,"(None, None)",Arts Administration,Graduate,
AADM T580,Special Topics in Arts Administration,"(None, None)",Arts Administration,Graduate,
AADM T680,Special Topics in Arts Administration,"(None, None)",Arts Administration,Graduate,
AAML 525,Legal and Ethical Issues in Arts and Culture,"(None, None)",Arts Administration And Museum Leadership,Graduate,
AAML 550,Management Techniques in Arts and Cultural Organizations,"(None, None)",Arts Administration And Museum Leadership,Graduate,
AAML 560,Marketing & Engagement in Arts and Cultural Orgs.,"(None, None)",Arts Administration And Museum Leadership,Graduate,
AAML 575,Revenue Development in Arts and Cultural Orgs.,"(None, None)",Arts Administration And Museum Leadership,Graduate,
AAML 610,Financial Accounting in Arts and Cultural Orgs.,"(None, None)",Arts Administration And Museum Leadership,Graduate,
AAML 660,Technology Tools for Arts and Cultural Managers,"(None, None)",Arts Administration And Museum Leadership,Graduate,
AAML 680,"Leadership, Strategy & Planning in Arts and Cult.","(None, None)",Arts Administration And Museum Leadership,Graduate,
DSRE 620,Design Problem Solving,"(None, None)",Design Research,Graduate,
DSRE 625,Technologies of Making,"(None, None)",Design Research,Graduate,
DSRE 626,Design: Making and Disruption,"(None, None)",Design Research,Graduate,
DSRE 630,Data Visualization for Design Professionals,"(None, None)",Design Research,Graduate,
DSRE 635,Translational Design Research,"(None, None)",Design Research,Graduate,
DSRE 641,Contemporary Design Theory,"(None, None)",Design Research,Graduate,
DSRE 645,Design Research Thesis Proposal,"(None, None)",Design Research,Graduate,
DSRE 650,Thesis Research and Practicum,"(None, None)",Design Research,Graduate,
DSRE 660,Design Research Studio,"(None, None)",Design Research,Graduate,
DSRE 677,Health and Design Research,"(None, None)",Design Research,Graduate,
DSRE 750,Thesis in Design Research I,"(None, None)",Design Research,Graduate,
DSRE 760,Thesis in Design Research II,"(None, None)",Design Research,Graduate,
DSRE 770,Thesis in Design Research III,"(None, None)",Design Research,Graduate,
DSRE I599,Independent Study in Design Research,"(None, None)",Design Research,Graduate,
DSRE I699,Independent Study in Design Research,"(None, None)",Design Research,Graduate,
DSRE T580,Special Topics in Design Research,"(None, None)",Design Research,Graduate,
DSRE T680,Special Topics in Design Research,"(None, None)",Design Research,Graduate,
DIGM 501,"New Media: History, Theory and Methods","(None, None)",Digital Media,Graduate,
DIGM 502,Advanced New Media Topics,"(None, None)",Digital Media,Graduate,
DIGM 505,Design and Interactivity Bootcamp,"(None, None)",Digital Media,Graduate,
DIGM 506,Animation and Game Design Bootcamp,"(None, None)",Digital Media,Graduate,
DIGM 508,Digital Cultural Heritage,"(None, None)",Digital Media,Graduate,
DIGM 510,Designing for Interactivity,"(None, None)",Digital Media,Graduate,
DIGM 511,Research Methods for Digital Media,"(None, None)",Digital Media,Graduate,
DIGM 512,Shader Writing and Programming,"(None, None)",Digital Media,Graduate,
DIGM 515,Digital Matte Painting,"(None, None)",Digital Media,Graduate,
DIGM 518,Particle Systems and Artificial Intelligence for Visual Effects,"(None, None)",Digital Media,Graduate,
DIGM 520,Interactivity I,"(None, None)",Digital Media,Graduate,
DIGM 521,Interactivity II,"(None, None)",Digital Media,Graduate,
DIGM 525,Animation I,"(None, None)",Digital Media,Graduate,
DIGM 526,Animation II,"(None, None)",Digital Media,Graduate,
DIGM 530,Game Design I,"(None, None)",Digital Media,Graduate,
DIGM 531,Game Design II,"(None, None)",Digital Media,Graduate,
DIGM 540,New Media Project,"(None, None)",Digital Media,Graduate,
DIGM 547,Organic Modeling,"(None, None)",Digital Media,Graduate,
DIGM 551,Critical and Speculative Design for Digital Media,"(None, None)",Digital Media,Graduate,
DIGM 552,Visual Storytelling in Digital Media,"(None, None)",Digital Media,Graduate,
DIGM 553,Experimental Digital Media Lab,"(None, None)",Digital Media,Graduate,
DIGM 560,Advanced Concepts and Applications in Interactive 3D Environments,"(None, None)",Digital Media,Graduate,
DIGM 561,Digital Media Technologies,"(None, None)",Digital Media,Graduate,
DIGM 562,Interactive Media and User Experience,"(None, None)",Digital Media,Graduate,
DIGM 563,Emerging Technologies in Digital Media,"(None, None)",Digital Media,Graduate,
DIGM 571,Digital Media Project Management,"(None, None)",Digital Media,Graduate,
DIGM 572,Digital Media Research Strategies,"(None, None)",Digital Media,Graduate,
DIGM 573,Critical Theories in Digital Media,"(None, None)",Digital Media,Graduate,
DIGM 580,Thesis Preparation,"(None, None)",Digital Media,Graduate,
DIGM 591,Digital Media Skills Intensive,"(None, None)",Digital Media,Graduate,
DIGM 605,Advanced Techniques in Computer Generated Imagery,"(None, None)",Digital Media,Graduate,
DIGM 616,Immersive World Building,"(None, None)",Digital Media,Graduate,
DIGM 620,Digital Media Workshop,"(None, None)",Digital Media,Graduate,
DIGM 630,Digital Media Group Workshop,"(None, None)",Digital Media,Graduate,
DIGM 650,Public Venue Seminar,"(None, None)",Digital Media,Graduate,
DIGM 651,Publication and Presentation,"(None, None)",Digital Media,Graduate,
DIGM 664,Advanced Topics in Digital Media,"(None, None)",Digital Media,Graduate,
DIGM 670,Gaming I,"(None, None)",Digital Media,Graduate,
DIGM 671,Gaming II,"(None, None)",Digital Media,Graduate,
DIGM 674,Ethics and Social Impact of Digital Media,"(None, None)",Digital Media,Graduate,
DIGM 675,Future Trends in Digital Media,"(None, None)",Digital Media,Graduate,
DIGM 680,Thesis Development,"(None, None)",Digital Media,Graduate,
DIGM 681,Thesis Completion,"(None, None)",Digital Media,Graduate,
DIGM 690,Advanced Special Topics in Digital Media,"(None, None)",Digital Media,Graduate,
DIGM 691,Digital Media Research and Project Development I,"(None, None)",Digital Media,Graduate,
DIGM 692,Digital Media Research and Project Development II,"(None, None)",Digital Media,Graduate,
DIGM 693,Digital Media Thesis/Capstone Finalization,"(None, None)",Digital Media,Graduate,
DIGM 701,Advanced New Media Topics,"(None, None)",Digital Media,Graduate,
DIGM 710,Digital Media Research Methods I,"(None, None)",Digital Media,Graduate,
DIGM 711,Digital Media Research Methods II,"(None, None)",Digital Media,Graduate,
DIGM 751,Critical and Speculative Design for Digital Media,"(None, None)",Digital Media,Graduate,
DIGM 752,Visual Storytelling in Digital Media,"(None, None)",Digital Media,Graduate,
DIGM 753,Experimental Digital Media Lab,"(None, None)",Digital Media,Graduate,
DIGM 761,Digital Media Technologies,"(None, None)",Digital Media,Graduate,
DIGM 762,Interactive Media and User Experience,"(None, None)",Digital Media,Graduate,
DIGM 763,Emerging Technologies in Digital Media,"(None, None)",Digital Media,Graduate,
DIGM 771,Digital Media Project Management,"(None, None)",Digital Media,Graduate,
DIGM 772,Digital Media Research Strategies,"(None, None)",Digital Media,Graduate,
DIGM 773,Critical Theories in Digital Media,"(None, None)",Digital Media,Graduate,
DIGM 810,Advanced Topics in Digital Media Research,"(None, None)",Digital Media,Graduate,
DIGM 850,Public Venue Seminar,"(None, None)",Digital Media,Graduate,
DIGM 851,Publication and Presentation,"(None, None)",Digital Media,Graduate,
DIGM 998,Digital Media Ph.D. Seminar,"(None, None)",Digital Media,Graduate,
DIGM 999,Digital Media Research,"(None, None)",Digital Media,Graduate,
DIGM I599,Independent Study in Digital Media,"(None, None)",Digital Media,Graduate,
DIGM I699,Independent Study in Digital Media,"(None, None)",Digital Media,Graduate,
DIGM I799,Independent Study in Digital Media,"(None, None)",Digital Media,Graduate,
DIGM I899,Independent Study in Digital Media,"(None, None)",Digital Media,Graduate,
DIGM I999,Independent Study in Digital Media,"(None, None)",Digital Media,Graduate,
DIGM T580,Special Topics in Digital Media,"(None, None)",Digital Media,Graduate,
DIGM T680,Special Topics in Digital Media,"(None, None)",Digital Media,Graduate,
DIGM T780,Special Topics in Digital Media,"(None, None)",Digital Media,Graduate,
DIGM T880,Special Topics in Digital Media,"(None, None)",Digital Media,Graduate,
DIGM T980,Special Topics in Digital Media,"(None, None)",Digital Media,Graduate,
DMVP 500,Introduction to Virtual Production,"(None, None)",Digital Media & Virtual Production,Graduate,
DMVP 510,In-Camera Virtual Production,"(None, None)",Digital Media & Virtual Production,Graduate,
DMVP 520,Live Event Virtual Production,"(None, None)",Digital Media & Virtual Production,Graduate,
DMVP 530,Realtime Virtual Cinematography,"(None, None)",Digital Media & Virtual Production,Graduate,
FASH 500,Sustainable Practice in Fashion,"(None, None)",Fashion Design,Graduate,
FASH 501,Fashion Drawing I,"(None, None)",Fashion Design,Graduate,
FASH 502,Fashion Drawing II,"(None, None)",Fashion Design,Graduate,
FASH 504,Materials Exploration,"(None, None)",Fashion Design,Graduate,
