courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AAAS 20,General African American Studies,"(None, None)",,Undergraduate,
AAAS 89S,First-Year Seminar,"(None, None)",,Undergraduate,
AAAS 102,Introduction to African American Studies,"(None, None)",,Undergraduate,
AAAS 103,Introduction to African Studies (DS3 or DS4),"(None, None)",,Undergraduate,
AAAS 104,Introduction to Latino/a Studies in the Global South,"(None, None)",,Undergraduate,
AAAS 104S,Introduction to Latino/a Studies in the Global South,"(None, None)",,Undergraduate,
AAAS 110S,Embodied Blackness,"(None, None)",,Undergraduate,
AAAS 111,Djembe Class,"(None, None)",,Undergraduate,
AAAS 117FS,Race and Language,"(None, None)",,Undergraduate,
AAAS 128CN,Black Psychology,"(None, None)",,Undergraduate,
AAAS 133S,Gateway Seminar: Civil Rights and Asian Americans,"(None, None)",,Undergraduate,
AAAS 134,"Old Worlds/New Histories, 500-1500 CE","(None, None)",,Undergraduate,
AAAS 139,History of Rock: Rhythm & Blues and Rock & Roll to Indie Rock and Hip-Hop,"(None, None)",,Undergraduate,
AAAS 140,Introduction to Jazz,"(None, None)",,Undergraduate,
AAAS 145,Hip-Hop/Rap Music Appreciation,"(None, None)",,Undergraduate,
AAAS 146,Motown and American Soul Music,"(None, None)",,Undergraduate,
AAAS 147,Global History of the Prison,"(None, None)",,Undergraduate,
AAAS 154S,Gateway Seminar: Comparative Slavery,"(None, None)",,Undergraduate,
AAAS 171,Anthropologists in the Workplace: Applied Anthropology,"(None, None)",,Undergraduate,
AAAS 172S,Gateway: Eyewitness to Slavery,"(None, None)",,Undergraduate,
AAAS 173S,The Ways and Wisdom of First-Gen College Students,"(None, None)",,Undergraduate,
AAAS 176CNS,Afro-Global Struggles,"(None, None)",,Undergraduate,
AAAS 180S,Gateway Seminar: The History of the U.S. South,"(None, None)",,Undergraduate,
AAAS 182S,The Law in Slavery and Freedom,"(None, None)",,Undergraduate,
AAAS 185S,African Hashtag Activism,"(None, None)",,Undergraduate,
AAAS 187FS,Chronic Stress and Health,"(None, None)",,Undergraduate,
AAAS 188,Black Music and the Soul of America,"(None, None)",,Undergraduate,
AAAS 189S,Gateway Seminar: Slavery and Its Afterlives,"(None, None)",,Undergraduate,
AAAS 190,Special Topics,"(None, None)",,Undergraduate,
AAAS 190A,Duke-Administered Study Abroad: Special Topics in African & African American Studies,"(None, None)",,Undergraduate,
AAAS 190FS,Focus Program Seminars: Special Topics,"(None, None)",,Undergraduate,
AAAS 190S,Special Topics,"(None, None)",,Undergraduate,
AAAS 195FS,Liberating Archives: Remaking History through the Arts,"(None, None)",,Undergraduate,
AAAS 196FS,Patient and Research Participant Activism and Advocacy,"(None, None)",,Undergraduate,
AAAS 201,"Race, Film, and Religion","(None, None)",,Undergraduate,
AAAS 202,"Manifesto Workshop: Climate Change, Afro-/Solar Punk, and Performance","(None, None)",,Undergraduate,
AAAS 203,Sport As Performance,"(None, None)",,Undergraduate,
AAAS 204S,Union Activism,"(None, None)",,Undergraduate,
AAAS 205S,Afro-Asia,"(None, None)",,Undergraduate,
AAAS 207,African Americans Since the Civil War,"(None, None)",,Undergraduate,
AAAS 209,Afro-Brazilian Culture and History,"(None, None)",,Undergraduate,
AAAS 211,Anthropology of Money,"(None, None)",,Undergraduate,
AAAS 212,Djembe Ensemble,"(None, None)",,Undergraduate,
AAAS 213,Global Brazil,"(None, None)",,Undergraduate,
AAAS 214S,South African Past and Present,"(None, None)",,Undergraduate,
AAAS 217S,The Atlantic Slave Trade,"(None, None)",,Undergraduate,
AAAS 218,"The Caribbean, 1492-1700","(None, None)",,Undergraduate,
AAAS 219,"War, Slavery, and Revolution in the Caribbean, 1700-1800","(None, None)",,Undergraduate,
AAAS 220SL,West African Rootholds in Dance,"(None, None)",,Undergraduate,
AAAS 221SL,Capoeira: Practice and Culture,"(None, None)",,Undergraduate,
AAAS 223,Black Psychology,"(None, None)",,Undergraduate,
AAAS 224,African Diaspora Literature: Twentieth- and Twenty-First-Century Black Writers,"(None, None)",,Undergraduate,
AAAS 225S,Documenting Black Experiences,"(None, None)",,Undergraduate,
AAAS 227,African American Art,"(None, None)",,Undergraduate,
AAAS 228S,Fictions That Mark the Moment,"(None, None)",,Undergraduate,
AAAS 229S,Performing African Diaspora,"(None, None)",,Undergraduate,
AAAS 230,The South in Black and White,"(None, None)",,Undergraduate,
AAAS 230S,The South in Black and White,"(None, None)",,Undergraduate,
AAAS 232,"Race, Power, and Identity: From Ali to Kaepernick","(None, None)",,Undergraduate,
AAAS 233S,Writing American Politics,"(None, None)",,Undergraduate,
AAAS 234S,Comparative Urban Politics and Policymaking,"(None, None)",,Undergraduate,
AAAS 235S,Performing Brazil,"(None, None)",,Undergraduate,
AAAS 236S,"China and Africa: Similarities, Differences, and Interconnections","(None, None)",,Undergraduate,
AAAS 237S,Advanced Research Seminar in Urban Politics and Policymaking,"(None, None)",,Undergraduate,
AAAS 238S,Activism & Christianity in Modern America,"(None, None)",,Undergraduate,
AAAS 239,"Racial Attitudes, Racial Prejudice, and Racial Politics","(None, None)",,Undergraduate,
AAAS 241,"Race, Racism, and Democracy","(None, None)",,Undergraduate,
AAAS 242S,"Race, Gender, and Sexuality","(None, None)",,Undergraduate,
AAAS 243,The Civil Rights Movement,"(None, None)",,Undergraduate,
AAAS 246,Sociology of Racism in America,"(None, None)",,Undergraduate,
AAAS 247S,Social Movements and Social Media,"(None, None)",,Undergraduate,
AAAS 248,"Hip Hop, Futurism, and the End of the World","(None, None)",,Undergraduate,
