courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
DMST 398L5 DOMESTIC STUDY EXPERIENCE,,,DMST,,
ACC 130 ACCOUNTING FOR NONBUSINESS MAJORS,,,ACC,,
ACC 177 SPECIAL TOPICS,,,ACC,,
ACC 178 SPECIAL TOPICS,,,ACC,,
ACC 179 SPECIAL TOPICS,,,ACC,,
ACC 240 PRINCIPLES OF FINANCIAL ACCOUNTING,,,ACC,,
ACC 241 PRINCIPLES OF MANAGERIAL ACCOUNTING,,,ACC,,
ACC 244 PERSONAL TAX ACCOUNTING,,,ACC,,
ACC 246 ACCOUNTING FOR PUBLIC ADMINISTRATORS,,,ACC,,
ACC 277 SPECIAL TOPICS,,,ACC,,
ACC 278 SPECIAL TOPICS,,,ACC,,
ACC 279 SPECIAL TOPICS,,,ACC,,
ACC 285L4 COOPERATIVE EDUCATION IN ACCOUNTING [GELB],,,ACC,,
ACC 286L4 COOPERATIVE EDUCATION IN ACCOUNTING [GELB],,,ACC,,
ACC 287L4 COOPERATIVE EDUCATION IN ACCOUNTING [GELB],,,ACC,,
ACC 296 THE ACCOUNTING CYCLE AND PROFESSION,,,ACC,,
ACC 340 INTERMEDIATE ACCOUNTING,,,ACC,,
ACC 342 MANAGERIAL COST ACCOUNTING,,,ACC,,
ACC 344 INCOME TAX ACCOUNTING I,,,ACC,,
ACC 350 TAX MANAGEMENT AND PLANNING,,,ACC,,
ACC 356 ACCOUNTING INFORMATION SYSTEMS,,,ACC,,
ACC 377 SPECIAL TOPICS,,,ACC,,
ACC 378 SPECIAL TOPICS,,,ACC,,
ACC 379 SPECIAL TOPICS,,,ACC,,
ACC 442 ADVANCED COST ACCOUNTING,,,ACC,,
ACC 446 GOVERNMENTAL AND FUND ACCOUNTING,,,ACC,,
ACC 450 INTERNAL AUDITING,,,ACC,,
ACC 456 ACCOUNTING INFORMATION SYSTEMS IMPLEMENTATION AND PROJECTS,,,ACC,,
ACC 460 PRINCIPLES OF FRAUD EXAMINATION,,,ACC,,
ACC 467 EXTERNAL AUDITING,,,ACC,,
ACC 475 PRINCIPLES OF INTERNATIONAL ACCOUNTING & TAXATION,,,ACC,,
ACC 477 SPECIAL TOPICS,,,ACC,,
ACC 478 SPECIAL TOPICS,,,ACC,,
ACC 479 SPECIAL TOPICS,,,ACC,,
ACC 488L4 ACCOUNTING INTERNSHIP [GELB],,,ACC,,
ACC 489L4 ACCOUNTING INTERNSHIP [GELB],,,ACC,,
ACC 491 ACCOUNTING HONORS THESIS,,,ACC,,
ACC 496W FINANCIAL MANAGEMENT AND CONTROLLERSHIP [GEWI],,,ACC,,
ACC 497 DIRECTED STUDIES,,,ACC,,
ACC 498 DIRECTED STUDIES,,,ACC,,
ACC 499 DIRECTED STUDIES,,,ACC,,
AFC 101 INTRODUCTION TO AFRICOLOGY AND AFRICAN AMERICAN STUDIES [GEUS],,,AFC,,
AFC 102 INTRODUCTION TO AFRICAN CIVILIZATION [GEGA],,,AFC,,
AFC 177 SPECIAL TOPICS,,,AFC,,
AFC 178 SPECIAL TOPICS,,,AFC,,
AFC 179 SPECIAL TOPICS,,,AFC,,
AFC 201 FOUNDATIONS OF KNOWLEDGE IN AFRICOLOGY AND AFRICAN AMERICAN STUDIES,,,AFC,,
AFC 211 BLACK CARIBBEAN WORLD [GEGA],,,AFC,,
AFC 221 BLACK LIBERATION STRUGGLES,,,AFC,,
"AFC 231 RACE, URBANIZATION AND THE POLICY MINDSET",,,AFC,,
AFC 232 POLITICS IN THE AFRICAN AMERICAN EXPERIENCE [GEUS],,,AFC,,
AFC 233 PUBLIC POLICY AND AFRICAN AMERICANS,,,AFC,,
AFC 243 BLACK WOMEN: POLITICS AND RACISM,,,AFC,,
AFC 244 DIMENSIONS OF RACISM [GEGA OR GEKS],,,AFC,,
AFC 245 SLAVERY IN THE AMERICAN IMAGINATION,,,AFC,,
AFC 246 INTRODUCTION TO AFRICAN PHILOSOPHY [GEKH],,,AFC,,
AFC 272 HIP HOP LYRICISM IN AFRICAN AMERICAN CULTURE,,,AFC,,
AFC 273 AFRICAN AMERICAN RELIGION,,,AFC,,
AFC 277 SPECIAL TOPICS,,,AFC,,
AFC 278 SPECIAL TOPICS,,,AFC,,
AFC 279 SPECIAL TOPICS,,,AFC,,
AFC 297 INDEPENDENT STUDY,,,AFC,,
AFC 298 INDEPENDENT STUDY,,,AFC,,
AFC 299 INDEPENDENT STUDY,,,AFC,,
AFC 301 RESEARCH METHODS IN AFRICOLOGY & AFRICAN AMERICAN STUDIES,,,AFC,,
AFC 302W WRITING FOR AFRICOLOGY & AFRICAN AMERICAN STUDIES [GEWI],,,AFC,,
AFC 311 THE AFRICAN DIASPORA,,,AFC,,
AFC 312 AFRICAN CIVILIZATION,,,AFC,,
AFC 313 CONTEMPORARY AFRICA: THE STRUGGLE AND PROSPECTS FOR DEVELOPMENT [GEGA],,,AFC,,
AFC 351 THE SOCIAL CONTEXT OF AFRICAN AMERICAN HEALTH [GEKS],,,AFC,,
AFC 361 THE AFRICAN AMERICAN FAMILY,,,AFC,,
AFC 362 BLACK WOMEN: RELIGION AND SEXISM,,,AFC,,
AFC 363 RACE AND THE ZOMBIE,,,AFC,,
AFC 364 CARIBBEAN WOMEN,,,AFC,,
AFC 370 FILMS OF THE AFRICAN AMERICAN EXPERIENCE,,,AFC,,
AFC 373 AFRO-CARIBBEAN RELIGIONS,,,AFC,,
AFC 377 SPECIAL TOPICS,,,AFC,,
AFC 378 SPECIAL TOPICS,,,AFC,,
AFC 379 SPECIAL TOPICS,,,AFC,,
AFC 402L4 INTERNSHIP & CAPSTONE SEMINAR [GELB],,,AFC,,
"AFC 415 PLACE, RACE, AND ETHNICITY",,,AFC,,
AFC 441 LAW IN THE AFRICAN AMERICAN EXPERIENCE,,,AFC,,
AFC 442 AFRO-ENVIRONMENTALISM,,,AFC,,
AFC 445 THEMES IN AFRICAN AND AFRICAN DIASPORIC PHILOSOPHIES,,,AFC,,
AFC 446 HISTORY OF AFRICAN AMERICAN WOMEN,,,AFC,,
AFC 477 SPECIAL TOPICS,,,AFC,,
AFC 478 SPECIAL TOPICS,,,AFC,,
AFC 479 SPECIAL TOPICS,,,AFC,,
AFC 497 INDEPENDENT STUDY,,,AFC,,
AFC 498 INDEPENDENT STUDY,,,AFC,,
AFC 499 INDEPENDENT STUDY,,,AFC,,
AGIN 177 SPECIAL TOPICS,,,AGIN,,
AGIN 178 SPECIAL TOPICS,,,AGIN,,
AGIN 179 SPECIAL TOPICS,,,AGIN,,
AGIN 212 INTRODUCTION TO GERONTOLOGY [GEUS],,,AGIN,,
AGIN 219 AROUND THE WORLD IN 80 YEARS: ADULT DEVELOPMENT ACROSS CULTURE [GEGA],,,AGIN,,
