courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AAAS 100,Intro To Afro-American Studies,4,Arts & Sciences,Undergraduate Emory College,
AAAS 101,Dynamics Of The Black Community,4,Arts & Sciences,Undergraduate Emory College,
AAAS 110,20th Century Southern Black Life,4,Arts & Sciences,Undergraduate Emory College,
AAAS 115,Jazz: Its Evolution & Essence,4,Arts & Sciences,Undergraduate Emory College,
AAAS 201,African Amer: Africa To 1865,4,Arts & Sciences,Undergraduate Emory College,
AAAS 202,Hist Afro-Am: Emancipation-Present,4,Arts & Sciences,Undergraduate Emory College,
AAAS 205,Introduction To Ethnomusicology,4,Arts & Sciences,Undergraduate Emory College,
AAAS 240,Jazz Improvisation,4,Arts & Sciences,Undergraduate Emory College,
AAAS 260,Afro-Centric Health Care Systems,4,Arts & Sciences,Undergraduate Emory College,
AAAS 270G,Blacks And Jews In Film & Fiction,4,Arts & Sciences,Undergraduate Emory College,
AAAS 270H,19thc. African American Literature,4,Arts & Sciences,Undergraduate Emory College,
AAAS 270J,Images Of Kin,4,Arts & Sciences,Undergraduate Emory College,
AAAS 270K,Afro-Amer Situation 1895-1915,4,Arts & Sciences,Undergraduate Emory College,
AAAS 270L,The Narrative Of African Politics,4,Arts & Sciences,Undergraduate Emory College,
AAAS 270M,Art Of New Kingdom Egypt,4,Arts & Sciences,Undergraduate Emory College,
AAAS 270N,African Amer. Lit. 1900 To Present,4,Arts & Sciences,Undergraduate Emory College,
AAAS 270P,20th Century Black Biography,4,Arts & Sciences,Undergraduate Emory College,
AAAS 270Q,Lit & Thought-Of New Negro Movment,4,Arts & Sciences,Undergraduate Emory College,
AAAS 270S,Images Africa West & African Thoug,4,Arts & Sciences,Undergraduate Emory College,
AAAS 270T,"Art: Africa,Native Amer & Pacific",4,Arts & Sciences,Undergraduate Emory College,
AAAS 270U,Cultural Construction Of Africa,4,Arts & Sciences,Undergraduate Emory College,
AAAS 270V,French & Caribbean Literature,4,Arts & Sciences,Undergraduate Emory College,
AAAS 270W,Minority Issues In Biomedical Rsch,4,Arts & Sciences,Undergraduate Emory College,
AAAS 275,Black Images In The Media,4,Arts & Sciences,Undergraduate Emory College,
AAAS 280,African Arts & Architecture,4,Arts & Sciences,Undergraduate Emory College,
AAAS 285,Contemp Caribbean/Latin Amer Art,4,Arts & Sciences,Undergraduate Emory College,
AAAS 300,Civil Rights Mvmt &Cultural Change,4,Arts & Sciences,Undergraduate Emory College,
AAAS 301,African Amer: Africa To 1865,4,Arts & Sciences,Undergraduate Emory College,
AAAS 305,African American Music,4,Arts & Sciences,Undergraduate Emory College,
AAAS 325,Religion & Black Culture,4,Arts & Sciences,Undergraduate Emory College,
AAAS 326,Spiritual Dynamics Of Afro-America,4,Arts & Sciences,Undergraduate Emory College,
AAAS 334,Contemporary African Politics,4,Arts & Sciences,Undergraduate Emory College,
AAAS 338,Hist Of Afr-Amer: Africa To 1865,4,Arts & Sciences,Undergraduate Emory College,
AAAS 339,Hist Afro-Am: Emancipation-Present,4,Arts & Sciences,Undergraduate Emory College,
AAAS 358,African American Literature,4,Arts & Sciences,Undergraduate Emory College,
AAAS 360,Ethnic Minority Families,4,Arts & Sciences,Undergraduate Emory College,
AAAS 364,Af Civ To Era Trans-Atlantic Trade,4,Arts & Sciences,Undergraduate Emory College,
AAAS 365,Africa In Modern World To Present,4,Arts & Sciences,Undergraduate Emory College,
AAAS 366,Imperialism/Dependence: 3rd World,4,Arts & Sciences,Undergraduate Emory College,
AAAS 367,Apartheid & South African Society,4,Arts & Sciences,Undergraduate Emory College,
AAAS 370,Black Child Development,4,Arts & Sciences,Undergraduate Emory College,
AAAS 379,Afro-American Art,4,Arts & Sciences,Undergraduate Emory College,
AAAS 379G,20th Century African-American Art,4,Arts & Sciences,Undergraduate Emory College,
AAAS 379H,Intro To African Diaspora Arts,4,Arts & Sciences,Undergraduate Emory College,
AAAS 379J,Issues In African Diaspora Arts,4,Arts & Sciences,Undergraduate Emory College,
AAAS 385,Contemp Caribbean/Latin-Amer.Art,4,Arts & Sciences,Undergraduate Emory College,
AAAS 385G,Colonial & Contemp African Art,4,Arts & Sciences,Undergraduate Emory College,
AAAS 390,Senior Seminar In Aaas,4,Arts & Sciences,Undergraduate Emory College,
AAAS 397R,Internship,1-12,Arts & Sciences,Undergraduate Emory College,
AAAS 398R,Directed Reading,1-12,Arts & Sciences,Undergraduate Emory College,
AAS 100,Intro To African American Studies,4,African American Studies,Undergraduate Emory College,
AAS 110,Dynamics of Black Communities,3,African American Studies,Undergraduate Emory College,
AAS 115,Jazz: Its Evolution & Essence,4,African American Studies,Undergraduate Emory College,
AAS 190,Fresh Sem:African Amer.Studies,3,African American Studies,Undergraduate Emory College,
AAS 205,Introduction To Ethnomusicology,3,African American Studies,Undergraduate Emory College,
AAS 215,Jazz: Its Evolution & Essence,3,African American Studies,Undergraduate Emory College,
AAS 238,History of African Americans to 1865,3,African American Studies,Undergraduate Emory College,
AAS 239,History of African Americans Since 1865,3,African American Studies,Undergraduate Emory College,
AAS 239W,History of African Americans Since 1865,4,African American Studies,Undergraduate Emory College,
AAS 240,Methods in Black Studies,3,African American Studies,Undergraduate Emory College,
AAS 247,Race And Ethnic Relations,4,African American Studies,Undergraduate Emory College,
AAS 248,Sociological Imagination,3,African American Studies,Undergraduate Emory College,
AAS 250,African American Images in Media,4,African American Studies,Undergraduate Emory College,
AAS 259,"Race, Place, and Political Economy",3,African American Studies,Undergraduate Emory College,
