courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 1011,Introduction to Financial Accounting,3,Business Major,,
ACCT 1012,Introduction to Management Accounting,3,Business Major,,
BUSN 1101,Messaging and Persuasion: Effective Business Communication,3,Business Major,,
DATA 1101,Business Analytics,3,Business Major,,
ECON 1011,Introduction to Microeconomics,3,Business Major,,
ECON 1012,Introduction to Macroeconomics,3,Business Major,,
MKTG 1101,Principles of Marketing,3,Business Major,,
FNCE 2101,Introduction to Finance,3,Business Major,,
INTL 2101,Introduction to International Business,3,Business Major,,
MGMT 2101,Introduction to Management,3,Business Major,,
MATH 2217,Statistics I,3,Business Major,,
MATH 1122,Applied Calculus II,3,Computer Science Major,,
CPSC 1101,Introduction to Computing,3,Computer Science Major,,
CPSC 1131,Fundamentals of Programming,3,Computer Science Major,,
CPEG 2245,Digital Design I,3,Computer Science Major,,
CPSC 2231,Object-Orientated Programming,3,Computer Science Major,,
CPSC 3333,Introduction to Cybersecurity,3,Computer Science Major,,
CPSC 4314,Network Security,3,Computer Science Major,,
CPSC 2232,Data Structures,3,Computer Science Major,,
CPSC 2232L,Data Structures Lab,1,Computer Science Major,,
RLST 1001,Religion and the Critical Mind,3,Health Studies Major,,
BIOL 1088,Biomedical Science and Society,3,Health Studies Major,,
CHEM 1184,General Chemistry for Health Science,0-3,Health Studies Major,,
CHEM 1184L,General Chemistry for Health Science Lab,1,Health Studies Major,,
BIOL 1107,Human Anatomy and Physiology I,4,Health Studies Major,,
NURS 1112,Healthcare Delivery Systems,3,Health Studies Major,,
BIOL 1107L,Human Anatomy and Physiology I Lab,0,Health Studies Major,,
BIOL 1108,Human Anatomy and Physiology II,4,Health Studies Major,,
BIOL 1108L,Human Anatomy and Physiology II Lab,0,Health Studies Major,,
PSYC 1110,Lifespan Development,3,Health Studies Major,,
ACCT 2203,Intermediate Accounting I,3,Accounting,,
ACCT 2204,Intermediate Accounting II,3,Accounting,,
ACCT 2250,Role of Money and Accounting in Society,3,Accounting,,
ACCT 2265,Standalone Accounting Systems: Development and Use,3,Accounting,,
ACCT 2980,Internship,1,Accounting,,
ACCT 3255,Accounting Information Systems,3,Accounting,,
ACCT 3265,Enterprise-wide Accounting Systems: Design and Control,3,Accounting,,
ACCT 3275,Data Analytics in Accounting and Taxation,3,Accounting,,
ACCT 3320,Cost Management,3,Accounting,,
ACCT 3320L,Cost Management Lab,1,Accounting,,
ACCT 3330,Auditing,3,Accounting,,
ACCT 3343,Federal Income Taxation I,3,Accounting,,
ACCT 3344,Individual Taxation: Socioeconomic Applications,3,Accounting,,
ACCT 3345,Federal Income Taxation II,3,Accounting,,
ACCT 3380,Not-for-Profit Accounting,3,Accounting,,
ACCT 3900,Seminar: Special Topics in Accounting,3,Accounting,,
ACCT 3980,Internship,3,Accounting,,
ACCT 3990,Independent Study,0-6,Accounting,,
ACCT 4310,Advanced Accounting,3,Accounting,,
ACCT 5400,Introduction to Accounting,3,Accounting,,
ACCT 6500,Accounting Information for Decision-Making,3,Accounting,,
