courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACG 2021,Principles of Accounting 1,0-3,Accounting,Graduate (GR),
ACG 2071,Principles of Accounting 2,0-3,Accounting,Graduate (GR),
ACG 3131,Intermediate Theory 1,3,Accounting,Graduate (GR),
ACG 3141,Intermediate Theory 2,3,Accounting,Graduate (GR),
ACG 3151,Intermediate Theory 3,3,Accounting,Graduate (GR),
ACG 3341,Cost Accounting,3,Accounting,Graduate (GR),
ACG 3842,Accounting Applications of Data Analytics,3,Accounting,Graduate (GR),
ACG 3949,Cooperative Education - Accounting,1-3,Accounting,Graduate (GR),
ACG 4201,Advanced Financial Accounting,3,Accounting,Graduate (GR),
ACG 4401,Accounting Information Systems 1,3,Accounting,Graduate (GR),
ACG 4501,Government and Not-for-Profit Accounting,3,Accounting,Graduate (GR),
ACG 4651,Auditing and Assurance Services 1,3,Accounting,Graduate (GR),
ACG 4652,Auditing Assurance Services 2,3,Accounting,Graduate (GR),
ACG 4901,Directed Independent Study,1-3,Accounting,Graduate (GR),
ACG 4931,Special Topics,1-3,Accounting,Undergraduate (UG),
ACG 4932,Special Topics,1-3,Accounting,Graduate (GR),
ACG 4957,Accounting Study Abroad,1-3,Accounting,Undergraduate (UG),
ACG 5176,Financial Statement Analysis Concepts and Applications,3,Accounting,Graduate (GR),
ACG 5205,Advanced Accounting 1,3,Accounting,Graduate (GR),
ACG 5464,Accounting Applications in E-Commerce,3,Accounting,Graduate (GR),
ACG 5505,Governmental and Not-for-Profit Accounting Theory,3,Accounting,Graduate (GR),
ACG 5623,IT Auditing Theory and Practice,3,Accounting,Graduate (GR),
ACG 5647,Auditing and Assurance Services 2,3,Accounting,Graduate (GR),
ACG 5673,Forensic Accounting and Fraud Examination,3,Accounting,Graduate (GR),
ACG 5677,Internal Auditing,3,Accounting,Graduate (GR),
ACG 5932,Special Topics,3,Accounting,Graduate (GR),
ACG 5933,Special Topics,1-3,Accounting,Undergraduate (UG),
ACG 6027,Financial Accounting Concepts,3,Accounting,Graduate (GR),
ACG 6135,Advanced Accounting Theory,3,Accounting,Graduate (GR),
ACG 6137,Financial Reporting and Accounting Concepts,3,Accounting,Graduate (GR),
ACG 6138,Advanced Financial Reporting and Accounting Concepts,3,Accounting,Graduate (GR),
ACG 6175,Financial Statement Analysis,3,Accounting,Graduate (GR),
ACG 6315,Advanced Analysis and Application of Accounting Data,3,Accounting,Graduate (GR),
ACG 6347,Cost Accounting Theory and Practice,3,Accounting,Graduate (GR),
ACG 6375,Business Valuation for Forensic Accountants,3,Accounting,Graduate (GR),
ACG 6376,Communication Strategies for Forensic Accountants,3,Accounting,Graduate (GR),
ACG 6377,"Business Valuation for Fair Value Accounting, Auditing and Financial Reporting",3,Accounting,Graduate (GR),
ACG 6378,Advanced Accounting Applications in Business Valuation,3,Accounting,Undergraduate (UG),
ACG 6379,"Business Valuation, Advanced Theory, Concepts and Methodologies",3,Accounting,Undergraduate (UG),
ACG 6396,Communication Strategies for Professional Accountants,3,Accounting,Graduate (GR),
ACG 6465,Accounting for Ecommerce,3,Accounting,Graduate (GR),
ACG 6475,Advanced Accounting Information Systems,3,Accounting,Graduate (GR),
ACG 6496,Advanced Accounting Applications of Data Analytics,3,Accounting,Graduate (GR),
ACG 6498,Adv Dgtl Frncs in Frnc Acctng,3,Accounting,Undeclared (00),
ACG 6625,IT Auditing,3,Accounting,Graduate (GR),
ACG 6635,Auditing Theory and Practice,3,Accounting,Graduate (GR),
ACG 6655,Advanced Auditing Theory and Practice,3,Accounting,Graduate (GR),
ACG 6675,Internal Auditing Theory and Practice,3,Accounting,Graduate (GR),
ACG 6678,Internal Auditing Cases and Projects,3,Accounting,Graduate (GR),
ACG 6685,Interviewing for Forensic Accountants and Auditors,3,Accounting,Graduate (GR),
