courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
FRW 4420,16Th C French Lit,"(3, 3)",,Undergraduate,
EUH 4520,18Th C. England,"(3, 3)",,Undergraduate,
ARH 4355,18th Century European Art,"(3, 3)",,Undergraduate,
FRW 4213,18th Century French Prose,"(3, 3)",,Undergraduate,
SPW 4440,18Th C Spanish Lit,"(3, 3)",,Undergraduate,
SPW 4341,19-20C Trad Spanish Poetry,"(3, 3)",,Undergraduate,
SPW 6368,19Th C Sp-Carib Lit,"(3, 3)",,Graduate,
ENL 3261,19C Women Novelists,"(3, 3)",,Undergraduate,
ARH 4414,19th Century Art,"(3, 3)",,Undergraduate,
SPW 5475,19Th C Lat Amer Lit,"(3, 3)",,Graduate,
WST 4230,Women Write Empire,"(3, 3)",,Undergraduate,
SPW 3342,20Th C Spn Poets,"(3, 3)",,Undergraduate,
HUM 3252,20Th Cent Cult/Civ,"(3, 3)",,Undergraduate,
ARH 4670,20Th C.Latin Am.Art,"(3, 3)",,Undergraduate,
PHH 4600,20th Century Philosophy,"(3, 3)",,Undergraduate,
ART 5017,2D Animation,"(3, 3)",,Graduate,
ART 1201,2D Design,"(3, 3)",,Undergraduate,
ART 5018,3D Animation,"(3, 3)",,Graduate,
ARC 4173,3D Computer Modeling,"(3, 3)",,Undergraduate,
ART 1203,3D Design,"(3, 3)",,Undergraduate,
ART 5668,3D Digital Sculpture,"(3, 3)",,Graduate,
ARH 4672,History Cuban Art,"(3, 3)",,Undergraduate,
HIS 4492,History Health Policy,"(3, 3)",,Undergraduate,
PHC 5158,Hist of US Health Policy,"(3, 3)",,Graduate,
PHH 4930,A Major Philosopher,"(3, 3)",,Undergraduate,
MAP 5620,Math Primer for Env Fin,"(3, 3)",,Graduate,
ARH 4553,Chinese Painting,"(3, 3)",,Undergraduate,
PRO 4330,Above Knee Pros Lab,"(3, 3)",,Undergraduate,
PRO 4330,Above Knee Prosth I,"(2, 2)",,Undergraduate,
PRO 4340,Above Knee Prosth II,"(2, 2)",,Undergraduate,
LAH 4134,Abuse of Power,"(3, 3)",,Undergraduate,
EEX 4242,Acad Skl Exc Chld II,"(3, 3)",,Undergraduate,
SPS 6190,Acad Assess & Inter,"(3, 3)",,Graduate,
NGR 7736,Acad Health Care,"(3, 3)",,Graduate,
ATR 6555,Academic Leadership in AT,"(3, 3)",,Graduate,
ACG 5507,Acc Nonprofit Entity,"(3, 3)",,Graduate,
FRE 1071,Fre 1071,"(5, 5)",,Undergraduate,
SPN 1134,Accelerated Basic Spanish,"(3, 3)",,Undergraduate,
ACG 6105,Accel Fin Actg I,"(4, 4)",,Graduate,
ACG 6115,Accel Fin Actg II,"(4, 4)",,Graduate,
FRE 1109,Accelerated French I,"(3, 3)",,Undergraduate,
BUA 0307,Accelerated Haitian,"(3, 3)",,Graduate,
HAI 3213,Accelerated Haitian,"(3, 3)",,Undergraduate,
HAI 3214,Acc Interm Haitian,"(3, 3)",,Undergraduate,
ITA 1135,Accelerated Italian I,"(3, 3)",,Undergraduate,
POR 3202,Acc Portuguese I,"(5, 5)",,Undergraduate,
POR 3233,Acc Port II,"(5, 5)",,Undergraduate,
EDH 6055,Acc Choice Higher Ed,"(3, 3)",,Graduate,
NGR 7873,Managing Info,"(3, 3)",,Graduate,
MUN 2510,Accompanying,"(1, 1)",,Undergraduate,
MUN 5515,Accompanying,"(1, 1)",,Graduate,
MUN 4513,Accompanying,"(1, 1)",,Undergraduate,
ADV 4601,Account Planning,"(3, 3)",,Undergraduate,
BUL 5662,Accountants' Liab,"(3, 3)",,Graduate,
HFT 3424,Acct/Cont Fdserv,"(3, 3)",,Undergraduate,
HMG 6477,Acct & Fin Mgt,"(3, 3)",,Graduate,
ACG 6847,Accounting and Quant Methods,"(3, 3)",,Graduate,
ACG 6406,Acg Data Warehouse,"(3, 3)",,Graduate,
ACG 6466,Acctg Erp,"(3, 3)",,Graduate,
ACG 2021,Accounting for Decisions,"(3, 3)",,Undergraduate,
ACG 6866,Acc For Healthcare,"(3, 3)",,Graduate,
LAW 6760,Accounting For Lawyers,"(2, 3)",,Law,
ACG 6026,Actg For Managers,"(3, 3)",,Graduate,
HFT 2401,Accounting for Hosp,"(3, 3)",,Undergraduate,
ACG 4401,Acctg Info Systems,"(3, 3)",,Undergraduate,
ACG 6445,Acg Info Sys Design,"(3, 3)",,Graduate,
ACG 6455,Acg Info Sys Tech I,"(3, 3)",,Graduate,
ACG 6456,Acg Info Sys Tech II,"(3, 3)",,Graduate,
ACG 4940,Accounting Internship,"(3, 3)",,Undergraduate,
ACG 6940,Accounting Internship,"(3, 3)",,Graduate,
ACG 3083,Accounting Prep and Review,"(0, 0)",,Undergraduate,
ACG 6885,Accounting Research,"(3, 3)",,Graduate,
ACG 7896,Acc Res Meth Cap Mkt,"(3, 3)",,Graduate,
ACG 6308,Acct For Decision Mk,"(3, 3)",,Graduate,
LIN 5207,Acoustic Phonetics,"(3, 3)",,Graduate,
SPA 5150,Acoustics Sph and Hg,"(3, 3)",,Graduate,
EEX 6106,Acquisition Of Lang,"(3, 3)",,Graduate,
ACG 6245,Actg Audit Complianc,"(3, 3)",,Graduate,
ACG 4692,Actg Info Present,"(3, 3)",,Undergraduate,
ACG 4821,Actg Social Respons,"(3, 3)",,Undergraduate,
ACG 5596,Actg Sp Gvtl/Nfp En,"(3, 3)",,Graduate,
TPP 3281,Acting For Dance,"(2, 2)",,Undergraduate,
TPP 1110,Acting I,"(3, 3)",,Undergraduate,
TPP 2111,Acting II,"(3, 3)",,Undergraduate,
TPP 2112,Acting III,"(3, 3)",,Undergraduate,
TPP 3113,Acting IV,"(3, 3)",,Undergraduate,
TPP 3276,Acting the Song,"(2, 2)",,Undergraduate,
TPP 4114,Acting V,"(3, 3)",,Undergraduate,
TPP 4117,Acting VI,"(3, 3)",,Undergraduate,
TPP 4224,Acting VII,"(3, 3)",,Undergraduate,
TPP 4265,Acting VIII,"(3, 3)",,Undergraduate,
EDF 6487,Act Rsch Ed,"(3, 3)",,Graduate,
TPP 4921,Actor's Workshop II,"(3, 3)",,Undergraduate,
PET 4639,Acute Care Inj Prev,"(4, 4)",,Undergraduate,
MDE 7346,Acute Care Bootcamp,"(2, 4)",,College Of Medicine,
MDI 7341,Acute Coronary Care (CCU/CICU),"(1, 12)",,College Of Medicine,
NUR 3225,Ad Physiolog Nur Cl,"(6, 6)",,Undergraduate,
ENV 6511,Ad Unit Ops Ii Lab,"(1, 1)",,Graduate,
OTH 6937,Ada Workplace Accom,"(3, 3)",,Graduate,
OTH 5301,Psychosocial Practice I,"(2, 2)",,Graduate,
OTH 5301,Psychosocial Practice I Lab,"(1, 1)",,Graduate,
OTH 5843,Psychosocial Practice II,"(3, 3)",,Graduate,
PEQ 3126,Adapted Aquatics,"(2, 2)",,Undergraduate,
PET 3640,Adapted Phys Activities,"(3, 3)",,Undergraduate,
OTH 5166,Adapted Swim Instruction,"(3, 3)",,Graduate,
