courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACGL 0329,Accounting for Lawyers,2-3,Accounting LAW,,
ACGL 1329,Accounting Experiential Skills,1,Accounting LAW,,
ASGE 0701,Master&#39;s Comprehensive Exam/Assessment,0,Administration &amp; Supervision,,
ASGE 0702,Performance Assessment Completion,0,Administration &amp; Supervision,,
ASGE 0705,HRE Master&#39;s Comprehensive Exam,0,Administration &amp; Supervision,,
ASGE 0900,Permanent Matriculation,0,Administration &amp; Supervision,,
ASGE 0901,Comprehensive Assessment,0,Administration &amp; Supervision,,
ASGE 0999,ELAP Proposal Acceptance,0,Administration &amp; Supervision,,
ASGE 5112,"Administration, Management, and Budgeting",3,Administration &amp; Supervision,,
ASGE 5119,Fundamentals of Educational Supervision and Professional Learning,3,Administration &amp; Supervision,,
ASGE 5902,Management of Continuing and Adult Education Programs,3,Administration &amp; Supervision,,
ASGE 6130,Instructional Leadership,3,Administration &amp; Supervision,,
ASGE 6132,Organizational Behavior,3,Administration &amp; Supervision,,
ASGE 6145,Leading for Equity and Social Justice,3,Administration &amp; Supervision,,
ASGE 6150,Partnering with Families and Communities,3,Administration &amp; Supervision,,
ASGE 6224,The Superintendency,3,Administration &amp; Supervision,,
ASGE 6225,Boards of Education,3,Administration &amp; Supervision,,
ASGE 6227,Cases and Simulations in Administration and Supervision,3,Administration &amp; Supervision,,
ASGE 6322,School Finance,3,Administration &amp; Supervision,,
ASGE 6325,"Education Law, Policy &amp; Advocacy",3,Administration &amp; Supervision,,
ASGE 6331,Shaping Educational Policy,3,Administration &amp; Supervision,,
ASGE 6338,Ethics of School Administration,3,Administration &amp; Supervision,,
ASGE 6361,Leading Learning in Teams and Organizations,3,Administration &amp; Supervision,,
ASGE 6362,Understanding and Managing Change,3-4,Administration &amp; Supervision,,
ASGE 6371,Hist &amp; Descrip Research,3,Administration &amp; Supervision,,
ASGE 6461,Critical Issues in Educational Leadership,0-3,Administration &amp; Supervision,,
ASGE 6520,Internship I,3,Administration &amp; Supervision,,
ASGE 6521,Internship II,3,Administration &amp; Supervision,,
ASGE 6532,Seminar for Nonpublic School Administrators,1-3,Administration &amp; Supervision,,
ASGE 6541,Perspectives on Leadership,3,Administration &amp; Supervision,,
ASGE 6620,Advanced Statistics in Administration and Supervision,3,Administration &amp; Supervision,,
ASGE 6720,Research for Educational Change,3,Administration &amp; Supervision,,
ASGE 7320,Data Analysis &amp; Accountability,3,Administration &amp; Supervision,,
ASGE 7322,Economics and Finance of Education,3,Administration &amp; Supervision,,
ASGE 7333,Data Inquiry and Analysis,3,Administration &amp; Supervision,,
ASGE 7428,Seminar in Leadership,3,Administration &amp; Supervision,,
ASGE 7429,Social Theories and Educational Institutions,3,Administration &amp; Supervision,,
ASGE 7430,Leadership in Educational Policy and Reform,3,Administration &amp; Supervision,,
ASGE 7431,Administration and Supervision Seminar,3,Administration &amp; Supervision,,
ASGE 7432,Seminar in Organizational Theory,3,Administration &amp; Supervision,,
ASGE 7435,"Strategic Thinking, Planning, and Implementation",3,Administration &amp; Supervision,,
ASGE 7436,"Transforming Schools, Districts, and Communities",3,Administration &amp; Supervision,,
ASGE 7439,Advanced Seminar for Nonpublic School Administration,1-3,Administration &amp; Supervision,,
ASGE 7440,Seminar in Organizational Behavior,1-3,Administration &amp; Supervision,,
ASGE 7442,Leading Organizational Change,3,Administration &amp; Supervision,,
ASGE 7444,Leading a Learning Organization,3,Administration &amp; Supervision,,
ASGE 7445,Leading Instructional Improvement,3,Administration &amp; Supervision,,
ASGE 7446,"Seminar in Organizational Culture, Learning, and Change",3,Administration &amp; Supervision,,
ASGE 7448,Seminar in Ethics and Social Justice,3,Administration &amp; Supervision,,
ASGE 7449,Introduction to Inquiry and Improvement Science,3,Administration &amp; Supervision,,
ASGE 7450,Seminar in the Spirituality of Leadership,3,Administration &amp; Supervision,,
ASGE 7460,Community of Inquiry 1: Framing Problems of Practice,1,Administration &amp; Supervision,,
ASGE 7461,Community of Inquiry 2: Innovative Solutions,1,Administration &amp; Supervision,,
ASGE 7470,Design-Based Methods and Improvement Science in Education,3,Administration &amp; Supervision,,
ASGE 7471,Implementation Research and Program Evaluation,3,Administration &amp; Supervision,,
ASGE 7530,Clinical Practice in Administration and Supervision,3,Administration &amp; Supervision,,
ASGE 7531,Advanced Qualitative Research,3,Administration &amp; Supervision,,
ASGE 7681,Quantitative Research Methods 1,3,Administration &amp; Supervision,,
ASGE 7682,Quantitative Research Methods in Education II,3,Administration &amp; Supervision,,
ASGE 7721,Applied Quantitative Research Methods,3,Administration &amp; Supervision,,
ASGE 7731,Applied Qualitative Research Methods II,3,Administration &amp; Supervision,,
ASGE 8001,Research Apprenticeship,0,Administration &amp; Supervision,,
ASGE 8505,"Directed Research in Educational Leadership, Administration, and Policy",1-3,Administration &amp; Supervision,,
ASGE 8750,Dissertation in Practice Seminar,3,Administration &amp; Supervision,,
ASGE 8751,"Dissertation Seminar: Educational Leadership, Administration, and Policy, PhD",3,Administration &amp; Supervision,,
ASGE 9990,Independent Study,1-4,Administration &amp; Supervision,,
ZZBU 0000,Place Holder,1-4,Administrative CBA,,
ZZBU 0907,Visiting Scholar,0,Administrative CBA,,
ZZBU 0910,Administrative Registrat,0,Administrative CBA,,
ZZBU 0915,Non-Fordham Study Abroad,0,Administrative CBA,,
ZZBU 0917,Non-Fordham Study Abroad: NYS,0,Administrative CBA,,
ZZBU 1000,Gabelli First,0,Administrative CBA,,
ZZBU 1001,Placeholder,3,Administrative CBA,,
ZZBU 1002,Integrated Project 1,12,Administrative CBA,,
ZZBU 1003,Cohort 2,9,Administrative CBA,,
ZZBU 1004,Administrative: Analytics IP,0,Administrative CBA,,
ZZBU 1005,Cohort 2,12,Administrative CBA,,
ZZBU 1006,Administrative Leadership IP,0,Administrative CBA,,
ZZBU 1009,Placeholder BusCom2/InfoSyst2,3,Administrative CBA,,
ZZBU 1101,Fr Place Holder CBL,3,Administrative CBA,,
ZZBU 1102,Fr Place Holder CB,3,Administrative CBA,,
ZZBU 1103,Fr Place Holder CB,3,Administrative CBA,,
ZZBU 1104,Fr Place Holder CB,3,Administrative CBA,,
ZZBU 1105,So Place Holder,1,Administrative CBA,,
ZZBU 1106,CB PlaceHolder- FR Students,12,Administrative CBA,,
ZZBU 1107,Gabelli Place Holder - Manresa Only,9,Administrative CBA,,
ZZBU 2999,CBA Transfer Advising,0,Administrative CBA,,
ZZBU 5002,SAB/Non-Fordham-LDA,0,Administrative CBA,,
ZZBU 9000,Jesuit Exchange: San Francisco,0,Administrative CBA,,
ZZBU 9176,FU Study Abroad: UCD Commerce,0,Administrative CBA,,
ZZBU 9178,CBA/Sponsored Study Abroad,0,Administrative CBA,,
ZZBU ADV2,Sophomore Advising,0,Administrative CBA,,
ZZBU ADV3,Junior Advising,0,Administrative CBA,,
ZZBU ADV4,Senior Advising,0,Administrative CBA,,
ZZBU ADVI,First Year Advising/Mentoring,0,Administrative CBA,,
ZZBU AEXT,Gabelli Transfer Advising,0,Administrative CBA,,
