courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ABT 3504,Trailblazing Arab Women,3,Arabic,Undergraduate,
ABT 3520,Arab Culture and Civilization,3,Arabic,Undergraduate,
ABT 3521,Business Culture in the Middle East,3,Modern Languages & Linguistics,Undergraduate,
ACG 2021,Introduction to Financial Accounting,3,Accounting,Undergraduate,
ACG 2071,Introduction to Managerial Accounting,3,Accounting,Undergraduate,
ACG 3101,Financial Accounting and Reporting I,3,Accounting,Undergraduate,
ACG 3111,Financial Accounting and Reporting II,3,Accounting,Undergraduate,
ACG 3171,Analysis of Financial Statement Presentation,3,Accounting,Undergraduate,
ACG 3331,Cost Accounting and Analysis for Business Decisions,3,Accounting,Undergraduate,
ACG 3341,Cost Accounting,3,Accounting,Undergraduate,
ACG 4201,Financial Accounting and Reporting III,3,Accounting,Undergraduate,
ACG 4401,Accounting Information Systems,3,Accounting,Undergraduate,
ACG 4501,Accounting for Governmental and Not-for-Profit Entities,3,Accounting,Undergraduate,
ACG 4632,Auditing Theory and Application I,3,Accounting,Undergraduate,
ACG 4642,Auditing Theory and Application II,3,Accounting,Undergraduate,
ACG 4671,Internal Auditing,3,Accounting,Undergraduate,
ACG 4901,Directed Individual Study,1-3,Accounting,Undergraduate,
ACG 4930,Special Topics in Accounting,1-3,Accounting,Undergraduate,
ACG 4941,Accounting Internship,3,Accounting,Undergraduate,
ACG 4970,Honors in the Major Research,1-6,Accounting,Undergraduate,
ACG 5026,Financial Reporting and Managerial Control,3,Accounting,Graduate,
ACG 5106,Intermediate Accounting I,3,Accounting,Graduate,
ACG 5135,Financial Accounting Theory and Standard Setting,3,Accounting,Graduate,
ACG 5175,Financial Statement Analysis,3,Accounting,Graduate,
ACG 5216,Advanced Accounting,3,Accounting,Graduate,
ACG 5346,Cost Accounting,3,Accounting,Graduate,
ACG 5356,Advanced Management Accounting,3,Accounting,Graduate,
ACG 5405,Advanced Accounting Information Systems,3,Accounting,Graduate,
ACG 5458,Emerging Technologies in Accounting and Auditing,3,Accounting,Graduate,
ACG 5505,Government and Not-for-Profit Accounting and Auditing,3,Accounting,Graduate,
ACG 5635,Auditing Theory and Application II,3,Accounting,Graduate,
ACG 5685,Forensic Accounting,3,Accounting,Graduate,
ACG 5695,Challenges in Professional Accounting,3,Accounting,Graduate,
ACG 5905,Directed Individual Study,1-3,Accounting,Graduate,
ACG 5906,Special Studies in Management,1-3,Accounting,Graduate,
