courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 201A,Financial Accounting,"(3, 3)",,,
ACCT 201B,Managerial Accounting,"(3, 3)",,,
ACCT 301A,Intermediate Accounting,"(3, 3)",,,
ACCT 301B,Intermediate Accounting,"(3, 3)",,,
ACCT 302,Cost Accounting,"(3, 3)",,,
ACCT 307,Accounting Information Systems,"(3, 3)",,,
ACCT 308,Concepts of Federal Income Tax Accounting,"(3, 3)",,,
ACCT 401,Advanced Accounting,"(3, 3)",,,
ACCT 402,Auditing,"(3, 3)",,,
ACCT 403,Accounting for Governmental and Nonprofit Entities,"(3, 3)",,,
ACCT 404,Emerging Technologies in Accounting,"(3, 3)",,,
ACCT 405,Forensic Accounting and Fraud Examination,"(3, 3)",,,
ACCT 407,Accounting Data Analytics,"(3, 3)",,,
ACCT 408,Taxation of Business Entities,"(3, 3)",,,
ACCT 415,Accounting Ethics for Professionals,"(3, 3)",,,
ACCT 420,Advanced Cost Accounting,"(3, 3)",,,
ACCT 422,Internal Audit and Control,"(3, 3)",,,
ACCT 445,Valuation Concepts and Topics for Accountants,"(3, 3)",,,
ACCT 460,Seminar in Financial Statement Analysis,"(3, 3)",,,
ACCT 463,Financial Controls for Entrepreneurs,"(3, 3)",,,
ACCT 495,Internship,"(1, 3)",,,
ACCT 499,Independent Study,"(1, 3)",,,
ACCT 502,Accounting Theory and Professional Research,"(3, 3)",,,
ACCT 503,Seminar in Accounting Data Analytics,"(3, 3)",,,
ACCT 504,Advanced Accounting Analytics and Technology,"(3, 3)",,,
ACCT 505,Seminar in Auditing,"(3, 3)",,,
ACCT 506,Seminar in Professional Accounting Communications,"(3, 3)",,,
ACCT 507,Seminar in Accounting Information Systems,"(3, 3)",,,
ACCT 508,Seminar in Tax Planning,"(3, 3)",,,
ACCT 510,Financial Accounting,"(3, 3)",,,
ACCT 511,Seminar in Managerial Accounting,"(3, 3)",,,
ACCT 521,Advanced Management Accounting and Controls,"(3, 3)",,,
ACCT 535,Corporate Governance and External Reporting,"(3, 3)",,,
ACCT 570,Seminar in Taxation of Corporations and Shareholders - Corp 1,"(3, 3)",,,
ACCT 571,"Tax Research, Practice and Procedures","(3, 3)",,,
ACCT 572,Seminar in Taxation of Corporations and Shareholders Corp. II,"(3, 3)",,,
ACCT 573,Seminar in Taxation of Property and M&A Transactions,"(3, 3)",,,
ACCT 574,Seminar in Taxation of International Business Operations,"(3, 3)",,,
ACCT 575,"Seminar in Estate, Gift, Inheritance Taxes and Estate Planning","(3, 3)",,,
ACCT 576,Seminar in State and Local Taxation,"(3, 3)",,,
ACCT 577,Seminar in Taxation of Employee Compensation,"(3, 3)",,,
ACCT 578,Seminar in Taxation of Flow-Through Entities,"(3, 3)",,,
ACCT 579,Accounting for Income Taxes,"(740, 740)",,,
ACCT 580,"Seminar in Taxation of S Corporations, LLCs and LLPs","(3, 3)",,,
ACCT 581,Tax Accounting Methods,"(3, 3)",,,
ACCT 583,Seminar in Government Accounting and Public Finance Management,"(3, 3)",,,
ACCT 597,Accounting Capstone - Professional Research Project,"(3, 3)",,,
ACCT 599,Independent Graduate Research,"(1, 3)",,,
AFAM 101,Introduction to Ethnic Studies,"(3, 3)",,,
AFAM 103,Critical Race Theory,"(3, 3)",,,
AFAM 107,Introduction to African American Studies,"(3, 3)",,,
AFAM 160,Introduction to Black Creative Expression,"(3, 3)",,,
AFAM 190,Survey of American History with Emphasis on Ethnic Minorities,"(3, 3)",,,
AFAM 250,Introduction to Multi-Ethnic Literatures of the U.S.,"(3, 3)",,,
AFAM 260,Black Lives Matter Creative and Critical Ideas,"(3, 3)",,,
AFAM 280,Introduction to African American History,"(3, 3)",,,
AFAM 301,African American Food Culture,"(3, 3)",,,
AFAM 304,Black Families in America,"(3, 3)",,,
AFAM 307,Research and Writing in Ethnic Studies,"(3, 3)",,,
AFAM 308,Black Men in America,"(3, 3)",,,
AFAM 310,Black Women in America,"(3, 3)",,,
AFAM 311,Race and Relationships,"(3, 3)",,,
AFAM 314,Pan-African Dance and Movement,"(3, 3)",,,
