courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
3DA119,Project and Portfolio I: 3-D Arts,"(3, 3)",,,
3DA155,Project I: 3-D Arts,"(2, 2)",,,
3DA156,Portfolio I: 3-D Arts,"(1, 1)",,,
3DA229,Project and Portfolio II: 3-D Arts,"(3, 3)",,,
AAR 349,Project and Portfolio IV: Audio Arts,"(3, 3)",,,
AAR 359,Project and Portfolio V: Audio Arts,"(3, 3)",,,
AAR 469,Project and Portfolio VI: Audio Arts,"(3, 3)",,,
AAR 3222,Professional Development Seminar II: Audio Arts,"(1, 1)",,,
AAR 4601,Entrepreneurship in the Audio Industry,"(3, 3)",,,
AARC 322,Professional Development Seminar II: Audio Arts,"(1, 1)",,,
ACG 3223,Business Accounting,"(4, 4)",,,
ADF 155,Project I: Application Development Fundamentals,"(2, 2)",,,
ADF 156,Portfolio I: Application Development Fundamentals,"(1, 1)",,,
AEM 1001,Audio Arts in the Entertainment and Media Industries,"(4, 4)",,,
APB 239,Project and Portfolio III: Audio Production,"(3, 3)",,,
APR 1355,Fundamentals of Music,"(3, 3)",,,
APR 3466,Mixing Techniques,"(4, 4)",,,
APR 3570,Musical Structure and Analysis,"(4, 4)",,,
APR 3571,Structure of Music,"(4, 4)",,,
APR 4111,Advanced Audio Editing Techniques,"(4, 4)",,,
APR 4316,Game Audio Production Techniques,"(3, 3)",,,
APR 4404,Vocal Techniques,"(3, 3)",,,
APR 4704,Advanced Mixing Techniques,"(3, 3)",,,
ART 1201,Design and Art Theory,"(4, 4)",,,
ART 3006,Art History,"(4, 4)",,,
AUD 119,Project and Portfolio I: Audio Arts,"(3, 3)",,,
AUD 155,Project I: Audio Arts,"(2, 2)",,,
AUD 156,Portfolio I: Audio Arts,"(1, 1)",,,
AUD 229,Project and Portfolio II: Audio Arts,"(3, 3)",,,
AUD 239,Project and Portfolio III: Audio Arts,"(3, 3)",,,
AUD 1923,Recording Principles,"(4, 4)",,,
AUD 2001,Principles of Music,"(3, 3)",,,
AUD 3011,Fundamentals of Music Business,"(3, 3)",,,
AUD 3311,History of Recorded Music,"(3, 3)",,,
AUD 3425,Sound Design for Games,"(4, 4)",,,
BEM 1001,Business in the Entertainment and Media Industries,"(4, 4)",,,
BIN 520,Foundations of Business Intelligence,"(3, 3)",,,
BIN 530,Enterprise Data Management,"(3, 3)",,,
BIN 550,Business Intelligence Technologies,"(3, 3)",,,
BIN 560,Business Intelligence Analytics,"(3, 3)",,,
BIN 580,Data Mining,"(3, 3)",,,
BIN 610,Patterns and Recognition,"(3, 3)",,,
BIN 620,Process Modeling and Analysis,"(3, 3)",,,
BIN 630,Data Visualization and Creative Reporting,"(3, 3)",,,
BIN 650,Business Intelligence Leadership and Communication Skills,"(3, 3)",,,
BIN 660,Business Intelligence Case Studies,"(3, 3)",,,
BIN 680,Business Intelligence Capstone,"(3, 3)",,,
BUL 2100,Business Law,"(4, 4)",,,
BUL 3514,Intellectual Property,"(4, 4)",,,
BUL 5582,Legal Issues in Sports,"(4, 4)",,,
BUL 5629,Advanced Entertainment Law,"(4, 4)",,,
BUS 119,Project and Portfolio I: Personal Branding,"(3, 3)",,,
BUS 155,Project I: Personal Branding,"(2, 2)",,,
BUS 156,Portfolio I: Personal Branding,"(1, 1)",,,
BUS 229,Project and Portfolio II: Market Research,"(3, 3)",,,
BUS 349,Project and Portfolio IV: Business,"(3, 3)",,,
BUS 359,Project and Portfolio V: Business,"(3, 3)",,,
BUS 469,Project and Portfolio VI: Business,"(3, 3)",,,
BUS 4790,Innovative Business Solutions,"(3, 3)",,,
CAB 239,Project and Portfolio III: Computer Animation,"(3, 3)",,,
CAB 401,Industry Production,"(4, 4)",,,
CAN 3111,Professional Development Seminar I: Computer Animation,"(1, 1)",,,
CAN 3222,Professional Development Seminar II: Computer Animation,"(1, 1)",,,
CANC 311,Professional Development Seminar I: Computer Animation,"(1, 1)",,,
CANC 322,Professional Development Seminar II: Computer Animation,"(1, 1)",,,
CAP 320,The Artificial Intelligence Ecosystem,"(3, 3)",,,
CAP 350,Deep Learning,"(4, 4)",,,
CAP 355,Natural Language Processing,"(4, 4)",,,
CAP 415,Computer Vision,"(3, 3)",,,
CAP 445,Human-AI Interaction,"(3, 3)",,,
CAP 450,Security in Artificial Intelligence,"(3, 3)",,,
CAP 460,Artificial Intelligence Architecture,"(3, 3)",,,
CAP 4053,Artificial Intelligence,"(4, 4)",,,
CGA 101,Fundamentals of Art I,"(3, 3)",,,
CGA 103,Fundamentals of Art II,"(4, 4)",,,
CGA 121,3-D Foundations,"(4, 4)",,,
CGA 343,Character Modeling Fundamentals,"(4, 4)",,,
CGA 356,Compositing and Scene Finishing,"(4, 4)",,,
CGA 365,Compositing Fundamentals,"(3, 3)",,,
CGA 366,Visual Development,"(4, 4)",,,
CGA 462,Animation Production,"(3, 3)",,,
CGA 2112,3-D Animation I,"(4, 4)",,,
CGA 3112,3-D Animation II,"(4, 4)",,,
CGA 3312,Character Rigging,"(3, 3)",,,
CGA 4014,Character Animation,"(4, 4)",,,
CGA 4631,Technical Animation,"(3, 3)",,,
CGG 333,Game Animation I,"(4, 4)",,,
CGG 351,Art Creation for Games,"(4, 4)",,,
CGG 382,Game Production,"(3, 3)",,,
CGG 432,Texture Painting and Sculpting,"(3, 3)",,,
CGG 443,Advanced Game Characters,"(3, 3)",,,
CGG 452,Level Assembly and Lighting,"(4, 4)",,,
CGG 3447,Game Characters,"(4, 4)",,,
CGG 4316,Game Animation II,"(3, 3)",,,
CGG 4555,Environment Art,"(4, 4)",,,
COD 3315,Computer Graphics,"(3, 3)",,,
COD 3412,Digital Logic,"(4, 4)",,,
COD 3511,Computer Organization and Architecture,"(3, 3)",,,
COD 3622,Information and Database Systems,"(3, 3)",,,
COD 3721,Computer Networks,"(3, 3)",,,
COM 349,Project and Portfolio IV: Communications,"(3, 3)",,,
COM 359,Project and Portfolio V: Communications,"(3, 3)",,,
COM 469,Project and Portfolio VI: Communications,"(3, 3)",,,
COP 1000,Programming I,"(4, 4)",,,
COP 1050,Programming for Interactive Technology I,"(4, 4)",,,
COP 1334,Programming I,"(4, 4)",,,
COP 2050,Programming for Interactive Technology II,"(4, 4)",,,
COP 2334,Programming II,"(4, 4)",,,
COS 119,Project and Portfolio I: Computer Science,"(3, 3)",,,
COS 155,Project I: Computer Science,"(2, 2)",,,
COS 156,Portfolio I: Computer Science,"(1, 1)",,,
COS 229,Project and Portfolio II: Computer Science,"(3, 3)",,,
COS 239,Project and Portfolio III: Computer Science,"(3, 3)",,,
COS 349,Project and Portfolio IV: Computer Science,"(3, 3)",,,
COS 359,Project and Portfolio V: Computer Science,"(3, 3)",,,
COS 469,Project and Portfolio VI: Computer Science,"(3, 3)",,,
COS 479,Project and Portfolio VII: Computer Science,"(3, 3)",,,
COS 540,Research Approaches in Computer Science,"(3, 3)",,,
COS 550,Advanced Software Engineering,"(3, 3)",,,
COS 560,Data Science,"(3, 3)",,,
COS 570,Advanced Artificial Intelligence,"(3, 3)",,,
COS 580,Machine Learning,"(3, 3)",,,
COS 590,Human-Computer Interaction,"(3, 3)",,,
COS 630,Data Visualization and Extended Reality,"(3, 3)",,,
COS 640,HCI Application Development,"(3, 3)",,,
COS 650,"Software Project: Research, Planning, and Design","(3, 3)",,,
