courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 1101,Intro to Financial Accounting,,Accounting,,
ACCT 1181,Business Law,,Accounting,,
ACCT 2101,Mgmt Acct for Decision Making,,Accounting,,
ACCT 3101,Corporate Financial Reporting,,Accounting,,
ACCT 3102,Financl Measurement Risk Mgmt,,Accounting,,
ACCT 3103,Acct Management Strategy,,Accounting,,
ACCT 3221,Fed Income Taxatn: Individuals,,Accounting,,
ACCT 3222,Fed Income Taxatn:Bus Entities,,Accounting,,
ACCT 3223,Tax and Regulation,,Accounting,,
ACCT 3230,Performance Pay in Pro Sports,,Accounting,,
ACCT 3243,Financial Statement Analysis,,Accounting,,
ACCT 3251,MA Cmplx Financl Structures,,Accounting,,
ACCT 3258,Decision Support Systems,,Accounting,,
ACCT 3261,Governmental Internatnl Acct,,Accounting,,
ACCT 3265,Acct Analys for InvstrsMngrs,,Accounting,,
ACCT 3271,Auditing Analytics,,Accounting,,
ACCT 3281,Corporate Law,,Accounting,,
ACCT 4001,Principles of Accounting,,Accounting,,
ACCT 4949,Tutorial: Accounting,,Accounting,,
ACCT 6500,Corporate Financial Reporting,,Accounting,,
ACCT 6505,Fincl Anlysis for MngrInvestr,,Accounting,,
ACCT 6552,Financial Statement Analysis,,Accounting,,
ACCT 6553,Financl Statement Analysis II,,Accounting,,
ACCT 6554,Cases in Finc Statement Anal,,Accounting,,
ACCT 6556,"Healthcare, Nonprft, Govt Acct",,Accounting,,
ACCT 6561,Corporate Taxation,,Accounting,,
ACCT 6565,Taxes Business Strategy,,Accounting,,
ACCT 6572,Performance as Value Creation,,Accounting,,
ACCT 6573,Forensic Accounting,,Accounting,,
ACCT 6575,Bus Processes Enterprise Tech,,Accounting,,
ACCT 6580,Law for Managers,,Accounting,,
ACCT 6581,LawBusiness:Corp Transactions,,Accounting,,
ACCT 6582,Startup Law,,Accounting,,
ACCT 6585,Modern RealEstate Transactions,,Accounting,,
ACCT 6601,Acct for Sustainability Mgmt,,Accounting,,
ACCT 7949,Tutorial: Accounting,,Accounting,,
ADPP 6001,Foundations of Addiction I,,Addiction Policy & Practice,,
ADPP 6002,Foundations of Addiction II,,Addiction Policy & Practice,,
ADPP 6010,Data Stats in Drug Policy I,,Addiction Policy & Practice,,
ADPP 6011,Data Stats in Drug Policy II,,Addiction Policy & Practice,,
ADPP 6020,US Addiction Policy,,Addiction Policy & Practice,,
ADPP 6021,Comp. Appr to Addiction Policy,,Addiction Policy & Practice,,
ADPP 6025,Addiction Mental Hlth Law Pol,,Addiction Policy & Practice,,
ADPP 6030,Health Care Financing,,Addiction Policy & Practice,,
ADPP 6040,Social Epidemiol. Addiction,,Addiction Policy & Practice,,
ADPP 7001,Integrative Seminar,,Addiction Policy & Practice,,
ADPP 7002,Integrative Seminar,,Addiction Policy & Practice,,
ADPP 7003,Mentored Capstone,,Addiction Policy & Practice,,
AFSP 1105,Beginners Swahili II,,African Studies Program,,
AFSP 2012,Post-Apartheid S. African Lit,,African Studies Program,,
AFSP 2203,Intermediate Swahili,,African Studies Program,,
AFSP 2204,Intermediate Swahili II,,African Studies Program,,
AFSP 2205,Africa is People,,African Studies Program,,
AFSP 2206,West Africa and the World,,African Studies Program,,
AFSP 2207,C-Lab:Africa is People IFW,,African Studies Program,,
AFSP 2209,Women Politics in Africa,,African Studies Program,,
AFSP 2248,Qstn Eql:Lit/Pol Thry Afr/West,,African Studies Program,,
AFSP 2286,Advanced Swahili II,,African Studies Program,,
AFSP 2294,Environment in Africa,,African Studies Program,,
AFSP 2295,Religions in Africa,,African Studies Program,,
AFSP 3002,Back to Africa Movements,,African Studies Program,,
AFSP 3200,African Digital Geopolitics,,African Studies Program,,
AFSP 3201,African Digital Geopol. IFW,,African Studies Program,,
AFSP 3303,Making of A Region-West Africa,,African Studies Program,,
AFSP 3310,Advanced Swahili I,,African Studies Program,,
AFSP 3323,Civil SocietyDemoc. in Africa,,African Studies Program,,
AFSP 3325,Polts Society in West Africa,,African Studies Program,,
AFSP 3345,Ethnicity Nationalism:Africa,,African Studies Program,,
AFSP 3348,African Studies:Capstone Cours,,African Studies Program,,
AFSP 3349,African Studies: Thesis,,African Studies Program,,
AFSP 3350,Humanitarianism in Africa,,African Studies Program,,
AFSP 3351,Rev Struggles in Af. Atlantic,,African Studies Program,,
AFSP 3357,African Politics/Governments,,African Studies Program,,
AFSP 3358,Queer Africas,,African Studies Program,,
AFSP 3360,History of African Cities,,African Studies Program,,
AFSP 3361,Technology Politics in Africa,,African Studies Program,,
AFSP 3362,Humanitarianism Africa Media,,African Studies Program,,
AFSP 3364,Art and Power in Africa,,African Studies Program,,
AFSP 3365,Afrofuturism:PoliticsCulturDe,,African Studies Program,,
AFSP 3373,Intra-African Cooperation,,African Studies Program,,
AFSP 3377,Environment in Africa,,African Studies Program,,
AFSP 3381,Jihad Security/Challenge Afric,,African Studies Program,,
AFSP 3392,Economics of Africa,,African Studies Program,,
AFSP 3394,History of African Pop Culture,,African Studies Program,,
AFSP 4000,African Langs: Loss Renewal,,African Studies Program,,
AFSP 4200,Africa-China Dig Entanglements,,African Studies Program,,
AFSP 4362,Humanitarianism Africa Media,,African Studies Program,,
AFSP 4365,Decolonization in Africa,,African Studies Program,,
AFSP 4370,"Afro Paris:Art,Iden,Resistance",,African Studies Program,,
AFSP 4401,Environment in Africa,,African Studies Program,,
AFSP 4402,Cont. African Culture/Ideology,,African Studies Program,,
AFSP 4404,The Racial Life of Waste,,African Studies Program,,
AFSP 4406,Migrants Sahara-Sahel Region,,African Studies Program,,
AFSP 4409,Women Politics in Africa,,African Studies Program,,
AFSP 4425,Political Violence in Africa,,African Studies Program,,
AFSP 4428,Global History of Slavery,,African Studies Program,,
AFSP 4430,Islam in Africa,,African Studies Program,,
AFSP 4445,Nigeria: Conflict Change,,African Studies Program,,
AFSP 4447,Persp. on African Christianity,,African Studies Program,,
AFSP 4450,Reimagining Tech in Africa,,African Studies Program,,
AFSP 4453,"Startup States: Sov, Tech, Dev",,African Studies Program,,
AFSP 4455,Kenya Alternative Spring Break,,African Studies Program,,
AFSP 4456,Econmic Hum Dvlpmnt in Kenya,,African Studies Program,,
AFSP 4459,PubPolDynamicsAfrica Env Crime,,African Studies Program,,
AFSP 4475,ViolConflictFinance:SubSahAfr,,African Studies Program,,
AFSP 4480,Africa:Conf Mngmt Challenge,,African Studies Program,,
AFSP 4489,U.S. Policy in Africa,,African Studies Program,,
AFSP 4491,Business Politics in Africa,,African Studies Program,,
AFSP 4495,Health pol. sub-Saharan Africa,,African Studies Program,,
AFSP 5610,Forn Dir. Inv. Growth Africa,,African Studies Program,,
AFSP 5620,Africa-China Dig Entanglements,,African Studies Program,,
AFSP 5659,Theory and Policy in Africa,,African Studies Program,,
AFSP 5675,CBL:Polit of African Migration,,African Studies Program,,
AFSP 6773,"Democrats, Dict Devt Africa",,African Studies Program,,
AFSP 7615,Pvt Cap Flows into AfricanMkts,,African Studies Program,,
AGHL 5100,Aging in Place,,Aging and Health,,
AGHL 5101,Theories Perspectives of Ger,,Aging and Health,,
AGHL 5102,Research in Aging Health,,Aging and Health,,
AGHL 5103,Biology of Health and Disease,,Aging and Health,,
AGHL 5104,Humanities and Ethics of Aging,,Aging and Health,,
AGHL 5105,Psychology of Aging,,Aging and Health,,
AGHL 5206,Aging Policy,,Aging and Health,,
AGHL 5207,Senior Living Management,,Aging and Health,,
AGHL 6941,Aging Health Seminar Series,,Aging and Health,,
AGHL 7200,Senior Living Sales Marketin,,Aging and Health,,
AGHL 7949,Tutorial,,Aging and Health,,
AGHL 7951,Senior Living Internship/Capst,,Aging and Health,,
AGHL 9991,Continuous Registration,,Aging and Health,,
AGHL 9993,Continuous Registration,,Aging and Health,,
AGHL 9994,Continous Registration,,Aging and Health,,
AGHL 9999,Continuous Registration,,Aging and Health,,
AMST 1051,Exploring DC,,American Studies,,
AMST 1101,Race + Class in DC,,American Studies,,
AMST 1194,Work,,American Studies,,
AMST 1202,DC Inquiries,,American Studies,,
AMST 2003,Origins Identities,,American Studies,,
AMST 2004,"Memory, Power Culture",,American Studies,,
AMST 2222,Advertising Social Change,,American Studies,,
AMST 2230,"Houses, Schools, and Prisons",,American Studies,,
AMST 3007,American Horror 20th Century,,American Studies,,
AMST 3008,The Hollywood Blacklist,,American Studies,,
AMST 3027,Wrkers in the Amer Food System,,American Studies,,
AMST 3028,Public History: Theory Prac,,American Studies,,
AMST 3033,Crisis:AM Disasters:Film Fic,,American Studies,,
AMST 3044,Cutting Class: Turn of the Cen,,American Studies,,
AMST 3055,Religion and the Supreme Court,,American Studies,,
AMST 3056,Television Social Change,,American Studies,,
AMST 3063,Undocumented America,,American Studies,,
AMST 3070,Global Amer Studies Exchange,,American Studies,,
AMST 3071,American Photography,,American Studies,,
AMST 3073,Crime Punishment in America,,American Studies,,
AMST 3074,"Women, Domesticity Am Cult",,American Studies,,
AMST 3075,American Lit 1900-present,,American Studies,,
AMST 3076,Images of Internment,,American Studies,,
AMST 3077,"Privacy, Surveillance, Power",,American Studies,,
AMST 3078,Arabs in America,,American Studies,,
AMST 3079,"Sports, Media Amer Culture",,American Studies,,
AMST 3081,Advertising Social Change,,American Studies,,
AMST 3082,Am Indians in Amer Imagination,,American Studies,,
AMST 3083,Cinema and the American City,,American Studies,,
AMST 3272,Facing Georgetown's History,,American Studies,,
AMST 4949,Amst Tutorial,,American Studies,,
AMST 4960,Thesis Research Seminar,,American Studies,,
AMST 4961,Thesis Capstone Seminar,,American Studies,,
AMUS 5200,American Women Printmakers,,Art and Museum Studies,,
AMUS 5203,Museums and Social Justice,,Art and Museum Studies,,
AMUS 5204,MuseumEducation/Interpretation,,Art and Museum Studies,,
AMUS 5205,MuseumEducation/Interpretation,,Art and Museum Studies,,
AMUS 5206,Curatorial Studies,,Art and Museum Studies,,
AMUS 5207,Museums and Digital Media,,Art and Museum Studies,,
AMUS 5208,Museum Administration,,Art and Museum Studies,,
AMUS 5209,Climate Action in Museums,,Art and Museum Studies,,
AMUS 5210,Museum Development,,Art and Museum Studies,,
AMUS 6400,Sotheby's London Study Abroad,,Art and Museum Studies,,
AMUS 6401,Sotheby's NewYork Study Away,,Art and Museum Studies,,
AMUS 7000,AMUS Billing Placeholder,,Art and Museum Studies,,
AMUS 7949,Tutorial,,Art and Museum Studies,,
AMUS 7952,Spring Museum Internship,,Art and Museum Studies,,
AMUS 7953,Museum Capstone,,Art and Museum Studies,,
AMUS 7954,Summer Museum Internship,,Art and Museum Studies,,
AMUS 9991,Continuous Registration,,Art and Museum Studies,,
AMUS 9994,Continuous Registration,,Art and Museum Studies,,
ANTH 1120,Visual Anthro:Ways of Seeing,,Anthropology,,
ANTH 1125,Anthropological Eye,,Anthropology,,
ANTH 1141,Applied Anthropology,,Anthropology,,
ANTH 2004,Media Worlds and Technologies,,Anthropology,,
ANTH 2034,Trafficking/Terror./War Crimes,,Anthropology,,
ANTH 2070,Slavery Museums Monuments,,Anthropology,,
ANTH 2120,Movies and Masculinity,,Anthropology,,
ANTH 2203,Cyborg: HumanMachine Interface,,Anthropology,,
ANTH 2204,Thinking Beyond the Human,,Anthropology,,
ANTH 2205,Justice and Media,,Anthropology,,
ANTH 2208,"Ghosts, Spirits, and Anthro",,Anthropology,,
ANTH 2209,Anthropology of Social Media,,Anthropology,,
ANTH 2210,Dangerous Fun: Humor Power,,Anthropology,,
ANTH 2211,Anthropology of Development,,Anthropology,,
ANTH 2218,Exploring Race and Diversity,,Anthropology,,
ANTH 2219,Gender/Race/Nationalism,,Anthropology,,
ANTH 2220,Dangerous Kids,,Anthropology,,
ANTH 2224,Everyday Politics of Water,,Anthropology,,
ANTH 2225,Environmental Anthropology,,Anthropology,,
ANTH 2226,Material Culture Environment,,Anthropology,,
ANTH 2227,Mapping the Un/Real,,Anthropology,,
ANTH 2231,Giant Squid:Humans Animals,,Anthropology,,
ANTH 2233,Qatari Ethnography,,Anthropology,,
ANTH 2234,Anthropology of Gulf Cities,,Anthropology,,
ANTH 2235,Conspiracy Theory,,Anthropology,,
ANTH 2236,Fascism in Everyday Life,,Anthropology,,
ANTH 2242,Masculinities,,Anthropology,,
ANTH 2250,Intro: Medical Anthropology,,Anthropology,,
ANTH 2251,Anthropology the Body,,Anthropology,,
ANTH 2252,Gender and Global Health,,Anthropology,,
ANTH 2253,The Self in Culture Society,,Anthropology,,
ANTH 2254,Psychodynamic Ethnography,,Anthropology,,
ANTH 2256,Disability Culture,,Anthropology,,
ANTH 2259,"Pandemics, Plagues, and Peopl",,Anthropology,,
ANTH 2262,Racial Capitalism the NBA,,Anthropology,,
ANTH 2264,"Veterans: Hero, Victim, Threat",,Anthropology,,
ANTH 2268,Anthro Against the State,,Anthropology,,
ANTH 2270,Solidarity Forever,,Anthropology,,
ANTH 2271,Anth/Lit in Latin America,,Anthropology,,
ANTH 2273,Global Civil War,,Anthropology,,
ANTH 2275,Soldiers/Citizens/War/State,,Anthropology,,
ANTH 2276,Law and Justice,,Anthropology,,
ANTH 2277,Sound in Social Life,,Anthropology,,
ANTH 2278,Cultures of Security,,Anthropology,,
ANTH 2279,Police in Contemporary World,,Anthropology,,
ANTH 2280,Urban Anthropology,,Anthropology,,
ANTH 2281,Money Talks,,Anthropology,,
ANTH 2282,Anthropology of Human Rights,,Anthropology,,
ANTH 2286,Spies,,Anthropology,,
ANTH 2287,Football the American Dream,,Anthropology,,
ANTH 2300,Intro to Bioarchaeology,,Anthropology,,
ANTH 2301,Embodied Lives: Q St Ancestors,,Anthropology,,
ANTH 2302,Bioarch of African Diaspora,,Anthropology,,
ANTH 2303,The Road to Extinction,,Anthropology,,
ANTH 2304,Forensic Anthropology,,Anthropology,,
ANTH 2305,"Death, Burial, Vampires",,Anthropology,,
ANTH 2470,Color and Such,,Anthropology,,
ANTH 2471,Roma Around the World,,Anthropology,,
ANTH 2510,"Empire, Colony, Power",,Anthropology,,
ANTH 3305,Class/Culture/Race,,Anthropology,,
