courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AAST 2000,Introduction to African American Studies,"(3, 3)",,,
AAST 3030,Selected Topics in Africana Studies,"(1, 4)",,,
AAST 3230,Introduction to Africa and Its Diaspora,"(3, 3)",,,
AAST 3235,Race and Ethnicity,"(3, 3)",,,
AAST 3330,Yoruba Culture and Civilization,"(3, 3)",,,
AAST 3332,African American Theatre,"(3, 3)",,,
AAST 3435,African Art History,"(3, 3)",,,
AAST 3436,African American Art History,"(3, 3)",,,
AAST 4133,Gullah and Geechee Language and Culture,"(3, 3)",,,
AAST 4134,The Civil Rights Movement,"(3, 3)",,,
AAST 4330,Geography of Africa South of the Sahara,"(3, 3)",,,
AAST 4337,Rhetoric of Social Movements,"(3, 3)",,,
AAST 4530,Revelation and Revolution,"(3, 3)",,,
AAST 4532,Destruction of Slavery,"(3, 3)",,,
AAST 4630,Seminar in Africana Studies,"(3, 3)",,,
AAST 4890,Directed Individual Study in Yoruba,"(1, 15)",,,
AAST 5233,The American City,"(3, 3)",,,
ACCT 2030,Survey of Accounting,"(3, 3)",,,
ACCT 2101,Principles of Accounting I,"(3, 3)",,,
ACCT 2102,Principles of Accounting II,"(3, 3)",,,
ACCT 3131,Intermediate Accounting I,"(3, 3)",,,
ACCT 3132,Intermediate Accounting II,"(3, 3)",,,
ACCT 3330,Income Tax,"(3, 3)",,,
ACCT 3630,White Collar Crime,"(3, 3)",,,
ACCT 4030,Special Topics in Accounting,"(3, 3)",,,
ACCT 4130,Accounting Information Systems,"(3, 3)",,,
ACCT 4131,International Accounting,"(3, 3)",,,
ACCT 4133,Intermediate Accounting III,"(3, 3)",,,
ACCT 4231,Advanced Management Accounting & Data Analytics,"(3, 3)",,,
ACCT 4430,Auditing,"(3, 3)",,,
ACCT 4530,Governmental and Institutional Accounting,"(3, 3)",,,
ACCT 4631,Fraud Examination,"(3, 3)",,,
ACCT 4632,Fraud Schemes,"(3, 3)",,,
ACCT 4633,Forensic Interviews and Interrogation,"(3, 3)",,,
ACCT 4790,Internship in Accounting,"(3, 6)",,,
