courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AE 000,AE Pre-Registration,"(0, 0)",,,
AE 002,Core Foundations,"(10, 10)",,,
AE 003,Oral Communication Skills Foundations,"(6, 8)",,,
AE 010,Level 1 Core,"(10, 10)",,,
AE 011,Level 1 Oral Comm Skills,"(6, 8)",,,
AE 012,Level 1-2 Special Topics,"(1, 10)",,,
AE 013,Vocabulary in Daily Life,"(2, 2)",,,
AE 014,Listening in Daily Life,"(2, 2)",,,
AE 015,Writing Daily Life,"(2, 2)",,,
AE 017,Listening and Speaking,"(6, 6)",,,
AE 020,Level 2 Core,"(10, 10)",,,
AE 021,Level 2 Oral Comm Skills,"(6, 8)",,,
AE 022,Level 2-3 Special Topics,"(1, 10)",,,
AE 024,Basic Pronunciation Skills,"(2, 2)",,,
AE 030,Level 3 Core,"(10, 10)",,,
AE 031,Level 3 Oral Comm Skills,"(6, 8)",,,
AE 032,Level 3-4 Special Topics,"(1, 10)",,,
AE 033,Reading Plus,"(2, 2)",,,
AE 035,Developing Vocabulary,"(2, 2)",,,
AE 036,American Culture,"(2, 2)",,,
AE 040,Level 4 Core,"(10, 10)",,,
AE 041,Level 4 Oral Comm Skills,"(6, 8)",,,
AE 042,Level 4-5 Special Topics,"(1, 10)",,,
AE 044,Intro to IELTS Academic,"(2, 2)",,,
AE 046,Developing Pronunciation Skill,"(2, 2)",,,
AE 047,Intro to TOEFL iBT,"(2, 2)",,,
AE 048,Present Yourself,"(2, 2)",,,
AE 050,Level 5 Core,"(10, 10)",,,
AE 051,Level 5 Oral Comm Skills,"(6, 8)",,,
AE 052,Level 5-6 Special Topics,"(1, 10)",,,
AE 054,TED Talks,"(2, 2)",,,
AE 055,Let's Talk Math,"(2, 2)",,,
AE 056,Business English,"(2, 2)",,,
AE 060,Level 6 Core,"(10, 10)",,,
AE 061,Level 6 Oral Comm Skills,"(6, 8)",,,
AE 062,Level 6-7 Special Topics,"(1, 10)",,,
AE 063,American TV Comedy,"(2, 2)",,,
AE 064,English through Pop Music,"(2, 2)",,,
AE 065,Advanced Pronunciation Skills,"(2, 2)",,,
AE 068,China 1-2-1 Orientation,"(3, 3)",,,
AE 069,China 1-2-1 Orientation,"(1, 1)",,,
AE 070,Level 7 Core,"(10, 10)",,,
AE 071,Level 7 Oral Comm Skills,"(6, 8)",,,
AE 072,Level 6-7-8 Special Topics,"(1, 10)",,,
AE 073,Dialogue with Americans,"(4, 4)",,,
AE 074,Giving Presentations,"(2, 2)",,,
AE 075,Advanced Vocabulary,"(2, 2)",,,
AE 076,Preparation for GRE,"(2, 2)",,,
AE 077,Preparation for IELTS,"(2, 2)",,,
AE 078,Preparation for TOEFL iBT,"(2, 2)",,,
AE 079,Advanced English Grammar,"(4, 4)",,,
