courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
Aas 170,Intro to African History,"(3, 3)",African American Studies Program,,
Aas 201,African American Experience I,"(3, 3)",African American Studies Program,,
Aas 202,African American Experience II,"(3, 3)",African American Studies Program,,
Aas 302,Judicial System & African Amer Community,"(3, 3)",African American Studies Program,,
Aas 308,Const Law II:  Civil Lib & Civil Rights,"(3, 3)",African American Studies Program,,
Aas 310,Experiences of Black Mississippians,"(3, 3)",African American Studies Program,,
Aas 315,Politics of Sub-Saharan Africa,"(3, 3)",African American Studies Program,,
Aas 316,The African Diaspora,"(3, 3)",African American Studies Program,,
Aas 320,African American Politics,"(3, 3)",African American Studies Program,,
Aas 325,African American History to 1865,"(3, 3)",African American Studies Program,,
Aas 326,African American History since 1865,"(3, 3)",African American Studies Program,,
Aas 328,African American Feminist Thought,"(3, 3)",African American Studies Program,,
Aas 330,Racism and Religion,"(3, 3)",African American Studies Program,,
Aas 334,Introduction to Field Work Techniques,"(3, 3)",African American Studies Program,,
Aas 337,Anthropology of Blues Culture,"(3, 3)",African American Studies Program,,
Aas 341,African American Lit Survey to 1920,"(3, 3)",African American Studies Program,,
Aas 342,African American Lit Survey Since 1920,"(3, 3)",African American Studies Program,,
Aas 350,Topics in African American History,"(3, 3)",African American Studies Program,,
Aas 351,Topics in AAS Pol & Social Institutions,"(3, 3)",African American Studies Program,,
Aas 352,Topics in AAS Culture,"(3, 3)",African American Studies Program,,
Aas 353,Black Psychology,"(3, 3)",African American Studies Program,,
Aas 360,Topics in African Amer. Studies Abroad,"(1, 6)",African American Studies Program,,
Aas 362,African American Women's History,"(3, 3)",African American Studies Program,,
Aas 363,African American Genres,"(3, 3)",African American Studies Program,,
Aas 364,Studies in African American Lit,"(3, 3)",African American Studies Program,,
Aas 366,African American Science Fiction Lit,"(3, 3)",African American Studies Program,,
Aas 367,Blues Tradition in American Literature,"(3, 3)",African American Studies Program,,
Aas 368,African American Lit and the Classics,"(3, 3)",African American Studies Program,,
Aas 370,African American Legal Experience,"(3, 3)",African American Studies Program,,
Aas 372,Decolonization in Africa,"(3, 3)",African American Studies Program,,
Aas 373,Studies in Comparative Black Lit,"(3, 3)",African American Studies Program,,
Aas 374,Survey of Carribbean Literature,"(3, 3)",African American Studies Program,,
Aas 375,Survey of African Literature,"(3, 3)",African American Studies Program,,
Aas 376,History of West Africa to 1800,"(3, 3)",African American Studies Program,,
Aas 377,History of West Africa Since 1800,"(3, 3)",African American Studies Program,,
Aas 378,Africa since Independence,"(3, 3)",African American Studies Program,,
