courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 2101,Principles of Accounting I,"(3, 3)",,,
ACCT 2102,Principles of Accounting II,"(3, 3)",,,
ACCT 4101,Essentials of Financial Reporting I,"(3, 3)",,,
ACCT 4102,Essentials of Financial Reporting II,"(3, 3)",,,
ACCT 4111,Intermediate Accounting I,"(3, 3)",,,
ACCT 4112,Intermediate Accounting II,"(3, 3)",,,
ACCT 4113,Intermediate Accounting III,"(3, 3)",,,
ACCT 4210,Cost Managerial Accounting,"(3, 3)",,,
ACCT 4310,Accounting Information Systems,"(3, 3)",,,
ACCT 4389,Directed Readings in Accounting,"(1, 1)",,,
ACCT 4391,Field Study in Accounting (May be repeated once),"(None, None)",,,
ACCT 4411,Financial Reporting Issues in the European Union,"(3, 3)",,,
ACCT 4510,Introduction to Federal Income Taxes,"(3, 3)",,,
ACCT 4610,Introduction to Assurance Services,"(3, 3)",,,
ACCT 4750,Technology and Values in the Accounting Profession,"(3, 3)",,,
AS 3230,Financial Mathematics,"(3, 3)",,,
AS 3230L,Financial Mathematics Lab,"(1, 1)",,,
AS 4140,Probability,"(3, 3)",,,
AS 4140L,Probability Lab,"(1, 1)",,,
AS 4260,Microeconomic Foundations of Actuarial Science,"(3, 3)",,,
AS 4320,Loss Models and Credibility,"(3, 3)",,,
AS 4340,Life Contingencies I,"(3, 3)",,,
AS 4350,Life Contingencies II,"(3, 3)",,,
AS 4360,Ratemaking and Loss Reserving,"(3, 3)",,,
AS 4389,Directed Readings in Actuarial Science,"(1, 1)",,,
AS 4510,Derivative Valuation and Risk Management,"(3, 3)",,,
AAS 1141,Introduction to African and African American History to 1865,"(3, 3)",,,
AAS 1142,Introduction to African American History Since 1865,"(3, 3)",,,
AAS 2010,Introduction to African- American Studies,"(3, 3)",,,
AAS 2140,Africana Literature in the Americas,"(3, 3)",,,
AAS 3000,African-American Family,"(3, 3)",,,
AAS 3010,"Narratives of Race, Gender and Sexuality: Quare Readings","(3, 3)",,,
AAS 3050,Introduction to African- American Psychology,"(3, 3)",,,
AAS 3070,African-Americans in the Criminal Justice System,"(3, 3)",,,
AAS 3120,African Diaspora,"(3, 3)",,,
AAS 3240,Peoples and Cultures of Africa,"(3, 3)",,,
AAS 3450,History of African-Americans in Georgia,"(3, 3)",,,
AAS 3500,Jazz History,"(3, 3)",,,
AAS 3670,Social Justice in Sports,"(3, 3)",,,
AAS 3750,Race and Racism,"(3, 3)",,,
AAS 3810,History of African-American Music,"(3, 3)",,,
AAS 3880,African-American Literature,"(3, 3)",,,
AAS 3960,African-American Literature by Women,"(3, 3)",,,
AAS 3975,Concepts and Theories in African-American Studies,"(3, 3)",,,
AAS 3980,Research Methods in African- American Studies-CTW,"(3, 3)",,,
AAS 4000,Issues in the African-American Community,"(3, 3)",,,
AAS 4010,Service Learning in the African American Community,"(3, 3)",,,
AAS 4030,African-American Relationships,"(3, 3)",,,
AAS 4105,Race & Health,"(3, 3)",,,
AAS 4110,Black Women and Health,"(3, 3)",,,
AAS 4120,African-American Political Thought,"(3, 3)",,,
AAS 4125,Black Feminist Thought,"(3, 3)",,,
AAS 4160,African-American Politics,"(3, 3)",,,
AAS 4180,Politics of the Civil Rights Movement,"(3, 3)",,,
AAS 4200,Critical Pedagogy and African American Education,"(3, 3)",,,
AAS 2010,"with a D or higher DESCRIPTION This course will explore the principles and practices of critical pedagogy theory as it has developed both internationally and in the United States. This theory will be particularly focused on its application in the historical and current education in the African American community. The course will examine applications of critical pedagogy in both primary and higher education arenas with a particular focus on what it means to ""teach for freedom."" The course will review applications of critical pedagogy and its focus on cultural and social context of both students and teachers and the relationship of education to social development and social change. This course includes both class participation and class room participant observer research.","(None, None)",,,
AAS 4230,Religions of the African World,"(3, 3)",,,
AAS 4250,African-American Religion,"(3, 3)",,,
AAS 4255,"Religion, Race, Nation","(3, 3)",,,
AAS 4280,African-American Anthropology,"(3, 3)",,,
AAS 4330,The Black Arts Movement,"(3, 3)",,,
AAS 4350,Black Visual Representation,"(3, 3)",,,
AAS 4360,Studies of Black Dance,"(3, 3)",,,
AAS 4400,Geography of Africa,"(3, 3)",,,
AAS 4550,Activism and the Black Freedom Movement,"(3, 3)",,,
AAS 2010,with a D or higher DESCRIPTION Examine 20th and 21st century Black movements for social justice. Insurgent movements that primarily worked outside of parliamentary taking a multi- disciplinary approach and studying theories and histories of social movements.,"(None, None)",,,
AAS 4600,Enslavement and Resistance in North America,"(3, 3)",,,
AAS 4620,Enslavement and Resistance in the Americas,"(3, 3)",,,
AAS 4625,Atlanta and Black Culture,"(3, 3)",,,
AAS 2010,with a C or higher; and at least,"(48, 48)",,,
AAS 4640,African-American People,"(4, 4)",,,
AAS 4650,African-American Theatre,"(3, 3)",,,
AAS 4660,African-American Women,"(4, 4)",,,
AAS 4670,Education of Blacks in the South,"(None, None)",,,
AAS 4771,Gender and Sexuality in the African Diaspora,"(3, 3)",,,
AAS 4772,Women in Africa,"(3, 3)",,,
AAS 4774,African Rebellions,"(3, 3)",,,
AAS 4776,"Africa and Hollywood: Myth, Romance, and Savage Imagery","(4, 4)",,,
AAS 4780,African-American Lesbian and Gay Activism,"(3, 3)",,,
AAS 4870,Honors Thesis I,"(1, 1)",,,
AAS 4880,Honors Thesis II,"(1, 1)",,,
AAS 4890,Caribbean Literature,"(3, 3)",,,
AAS 4900,African-Americans in Film,"(4, 4)",,,
AAS 4940,African-American Achievement,"(48, 48)",,,
AAS 4950,African-American Popular Culture,"(3, 3)",,,
AAS 4970,Topics in African-American Studies,"(12, 12)",,,
AAS 4975,"Race, Class and Gender in Contemporary South Africa","(3, 3)",,,
AAS 4980,Seminar and Practicum in African-American Studies-CTW,"(3, 3)",,,
AAS 4995,Directed Readings B.I.S.-CTW,"(3, 3)",,,
ASL 1001,Elementary American Sign Language I,"(3, 3)",,,
ASL 1002,Elementary American Sign Language II,"(3, 3)",,,
ASL 2001,Intermediate American Sign Language I,"(3, 3)",,,
ASL 2002,Intermediate American Sign Language II,"(3, 3)",,,
ASL 1002,"with a grade of ""B"" or higher; and ASL 2001 with a grade of ""B"" or higher DESCRIPTION This course continues the study of ASL, Deaf Culture, deaf literature and poetry, and extended discourse at the advanced intermediate level. It surveys the skills associated with the ASL GACE. 792","(None, None)",,,
ANTH 1102,Introduction to Anthropology,"(3, 3)",,,
ANTH 2010,Introduction to Biological Anthropology,"(3, 3)",,,
ANTH 2020,Introduction to Cultural Anthropology,"(3, 3)",,,
ANTH 2030,Archaeology and Prehistory,"(3, 3)",,,
ANTH 2040,Introduction to Linguistic Anthropology,"(3, 3)",,,
ANTH 3033,The Anthropology of Violence- CTW,"(3, 3)",,,
ANTH 3050,Anthropology of Religion,"(3, 3)",,,
ANTH 3075,Greek Mythology,"(3, 3)",,,
ANTH 3100,"Sex, Culture, and Sexuality","(3, 3)",,,
ANTH 3120,African Diaspora,"(3, 3)",,,
ANTH 3500,Culture and Change in Africa,"(3, 3)",,,
ANTH 3770,Tragedy and Comedy in Cultural Theory,"(3, 3)",,,
ANTH 4020,Anthropological Theory,"(3, 3)",,,
ANTH 4040,"Race, Class, and Gender in Global Perspective","(3, 3)",,,
ANTH 4060,Environmental Anthropology,"(3, 3)",,,
ANTH 4070,Ethnobotany,"(3, 3)",,,
ANTH 4080,Consumption and Material Culture,"(3, 3)",,,
ANTH 4111,Anthropology of Self and Emotion,"(3, 3)",,,
ANTH 4112,Modernity and Identity,"(4, 4)",,,
ANTH 4114,Language and Social Justice,"(4, 4)",,,
ANTH 4150,Museum Anthropology,"(3, 3)",,,
ANTH 4160,Archaeology of South America,"(3, 3)",,,
ANTH 4170,Mesoamerican Archaeology,"(3, 3)",,,
ANTH 4180,Archaeology of Southeastern United States,"(4, 4)",,,
ANTH 4190,Archaeological Practice and the Public,"(3, 3)",,,
ANTH 4200,Urban Anthropology,"(3, 3)",,,
ANTH 4210,The Anthropology of Europe,"(3, 3)",,,
ANTH 4220,Refugees and Forced Migration,"(3, 3)",,,
ANTH 4230,The Archaeology of Death and Dying,"(3, 3)",,,
ANTH 4240,"Food: History, Ecology, and Political Economy","(3, 3)",,,
ANTH 4241,Sexuality and Gender in Asia,"(3, 3)",,,
ANTH 4280,African-American Anthropology,"(3, 3)",,,
ANTH 4300,Human Evolution,"(3, 3)",,,
ANTH 4310,Human Biology,"(4, 4)",,,
ANTH 4330,Primate Behavioral Ecology,"(3, 3)",,,
ANTH 4340,Applied Anthropology,"(3, 3)",,,
ANTH 4350,Anthropology and Natural History Museums in the Netherlands and Belgium,"(3, 3)",,,
ANTH 4360,Methods and Theories in Biological Anthropology,"(3, 3)",,,
ANTH 4370,Forensic Anthropology,"(3, 3)",,,
ANTH 4390,"Diet, Demography, and Disease","(3, 3)",,,
ANTH 4420,Gender and Power in Ethnographic Perspective,"(3, 3)",,,
ANTH 4430,Anthropology and Public Health,"(3, 3)",,,
ANTH 4440,Epidemiology and Anthropology,"(4, 4)",,,
ANTH 4460,Health and Culture,"(4, 4)",,,
ANTH 4470,Visual Culture,"(3, 3)",,,
ANTH 4480,Ethnography in the 21st Century,"(4, 4)",,,
ANTH 4490,Anthropology of Globalization,"(4, 4)",,,
ANTH 4500,Work and Culture,"(3, 3)",,,
ANTH 4520,Anthropology of Public Culture,"(4, 4)",,,
ANTH 4530,The Archaeology of Ancient Cities,"(3, 3)",,,
ANTH 4550,Field School in Anthropology,"(4, 4)",,,
ANTH 4560,Advanced Field School in Anthropology,"(4, 4)",,,
ANTH 4590,Archaeological Methods,"(4, 4)",,,
ANTH 4600,Archaeological Theory,"(4, 4)",,,
ANTH 4670,Research Methods in Sociocultural Anthropology,"(3, 3)",,,
ANTH 4700,"Cultures of Display: Archaeology, Museums and Nationalism","(3, 3)",,,
ANTH 4740,Cultural History of Sexuality: From Plato to Foucault,"(3, 3)",,,
