courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACA 5099,Variable Topics,"(1, 99)",Academy For Classical Acting,,
ACA 6201,Acting I,"(3, 3)",Academy For Classical Acting,,
ACA 6202,Acting II,"(2, 2)",Academy For Classical Acting,,
ACA 6203,Acting: Classical Comedy,"(2, 2)",Academy For Classical Acting,,
ACA 6204,Acting: Master Class,"(2, 2)",Academy For Classical Acting,,
ACA 6205,Topics in Classical Drama and Culture,"(2, 2)",Academy For Classical Acting,,
ACA 6206,Topics in Classical Drama and Culture,"(2, 2)",Academy For Classical Acting,,
ACA 6207,Topics in Classical Drama and Culture,"(2, 2)",Academy For Classical Acting,,
ACA 6208,Topics in Classical Drama and Culture,"(1, 1)",Academy For Classical Acting,,
ACA 6209,Text I,"(2, 2)",Academy For Classical Acting,,
ACA 6210,Text II,"(2, 2)",Academy For Classical Acting,,
ACA 6211,Voice and Speech I,"(3, 3)",Academy For Classical Acting,,
ACA 6212,Voice and Speech II,"(2, 2)",Academy For Classical Acting,,
ACA 6213,Voice and Speech III,"(3, 3)",Academy For Classical Acting,,
ACA 6214,Voice and Speech IV,"(2, 2)",Academy For Classical Acting,,
ACA 6215,Movement I,"(1, 1)",Academy For Classical Acting,,
ACA 6216,Movement II,"(1, 1)",Academy For Classical Acting,,
ACA 6217,Movement III,"(1, 1)",Academy For Classical Acting,,
ACA 6218,Movement IV,"(1, 1)",Academy For Classical Acting,,
ACA 6219,Alexander Technique I,"(1, 1)",Academy For Classical Acting,,
ACA 6220,Alexander Technique II,"(1, 1)",Academy For Classical Acting,,
ACA 6221,Alexander Technique III,"(1, 1)",Academy For Classical Acting,,
ACA 6222,Alexander Technique IV,"(1, 1)",Academy For Classical Acting,,
ACA 6223,Stage Combat I,"(2, 2)",Academy For Classical Acting,,
ACA 6224,Stage Combat II,"(2, 2)",Academy For Classical Acting,,
ACA 6225,Practicum I,"(2, 2)",Academy For Classical Acting,,
ACA 6226,Practicum II,"(1, 6)",Academy For Classical Acting,,
ACA 6227,Practicum III,"(1, 6)",Academy For Classical Acting,,
ACA 6228,Practicum IV,"(1, 6)",Academy For Classical Acting,,
ACA 6229,Audition Techniques,"(3, 3)",Academy For Classical Acting,,
ACA 6595,Selected Topics,"(1, 1)",Academy For Classical Acting,,
ACCY 1099,Variable Topics,"(1, 36)",Accountancy,,
ACCY 2001,Introduction to Financial Accounting,"(3, 3)",Accountancy,,
ACCY 2002,Introductory Managerial Accounting,"(3, 3)",Accountancy,,
ACCY 3101,Intermediate Accounting I,"(3, 3)",Accountancy,,
ACCY 3102,Intermediate Accounting II,"(3, 3)",Accountancy,,
ACCY 3106,Financial Statement Analysis,"(3, 3)",Accountancy,,
ACCY 3401,Federal Income Tax: Individuals,"(3, 3)",Accountancy,,
ACCY 3403,Advanced Tax,"(3, 3)",Accountancy,,
ACCY 3601,"Business Law: Contracts, Torts, and Property","(3, 3)",Accountancy,,
ACCY 4107,Advanced Accounting,"(3, 3)",Accountancy,,
