courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ASL 2500,American Deaf Culture,3,American Sign Language,,
ASL 2750,American Sign Language I,3,American Sign Language,,
ASL 2770,American Sign Language II,3,American Sign Language,,
ASL 3270,American Sign Language III,3,American Sign Language,,
AMST 3009,Found of the American Republic,3,American Studies,,
AMST 4900,Senior Seminar in Am Studies,3,American Studies,,
ANTH 2500,Anthropology,3,Anthropology,,
ARCH 1010,Intro to the Built Environment,2,Architecture,,
ARCH 1020,Architectural Graphics I,3,Architecture,,
ARCH 1060,Architectural Graphics II,3,Architecture,,
ARCH 1080,Human Behavior &amp; Built Environ,2,Architecture,,
ARCH 2210,Architectural Graphics III,3,Architecture,,
ARCH 2500,Hist &amp; Theory of Architect I,3,Architecture,,
ARCH 2610,Architecture Studio I,4,Architecture,,
ARCH 2700,Hist &amp; Theory of Architect II,3,Architecture,,
ARCH 2780,Architecture Studio II,4,Architecture,,
ARCH 2800,Structural Systems I,3,Architecture,,
ARCH 3200,Environmental Systems,3,Architecture,,
ARCH 3400,Structural Systems II,3,Architecture,,
ARCH 3500,Regulatory Codes,3,Architecture,,
ARCH 3610,Architecture Studio III,5,Architecture,,
ARCH 3780,Architecture Studio IV,5,Architecture,,
ARCH 3820,Hist &amp; Theory of Architect III,3,Architecture,,
ARCH 4100,Architectural Travel,3,Architecture,,
ARCH 4200,Building Envelope,3,Architecture,,
ARCH 4320,Professional Practice,3,Architecture,,
ARCH 4800,Building Systems Integration,3,Architecture,,
ARCH 4870,Architecture Internship,3,Architecture,,
ARCH 5610,Advanced Architecture Studio I,5,Architecture,,
ARCH 5780,Advanced Arch Studio II,5,Architecture,,
ARCH 5820,Building Technology,3,Architecture,,
ARCH 5870,Architecture Internship,3,Architecture,,
ARCH 6410,Special Topics in Architecture,0-3,Architecture,,
ARCH 6411,Special Topics in Architecture,0-3,Architecture,,
ARCH 6412,Special Topics in Architecture,0-3,Architecture,,
ARCH 6413,Special Topics in Architecture,0-3,Architecture,,
ARCH 6414,Special Topics in Architecture,0-3,Architecture,,
ARCH 6415,Special Topics in Architecture,0-3,Architecture,,
ARCH 6416,Special Topics in Architecture,0-3,Architecture,,
ARCH 6417,Special Topics in Architecture,0-3,Architecture,,
ARCH 6418,Special Topics in Architecture,0-3,Architecture,,
ARCH 6419,Special Topics in Architecture,0-3,Architecture,,
ARCH 6500,Design Research,3,Architecture,,
ARCH 6610,Advanced Arch Studio III,6,Architecture,,
ARCH 6780,Advanced Arch Studio IV,6,Architecture,,
ARCH 6800,Advanced Professional Practice,3,Architecture,,
ART 1010,Art Appreciation,3,Art,,
ART 1030,Drawing I,3,Art,,
ART 1050,Drawing II,3,Art,,
ART 1060,Figure Drawing,1,Art,,
ART 1180,Graphic Design Profession,3,Art,,
ART 1190,Fine Art Profession,1,Art,,
ART 1600,2D Design Foundations,3,Art,,
ART 1600L,LAB: 2D Design Foundations,0,Art,,
ART 2050,3D Foundations,3,Art,,
ART 2200,Design Software &amp; Production I,3,Art,,
ART 2210,Design Software &amp; Prod II,3,Art,,
ART 2310,Ancient - Medieval Art Survey,3,Art,,
ART 2320,Renaissance to WW II Art Survy,3,Art,,
ART 2350,Ceramics I,3,Art,,
ART 2400,Special Studies: Art &amp; Design,0-3,Art,,
ART 2401,Special Studies: Art &amp; Design,0-3,Art,,
ART 2402,Special Studies: Art &amp; Design,0-3,Art,,
ART 2403,Special Studies: Art &amp; Design,0-3,Art,,
ART 2410,Special Studies-Art&amp;Des Travel,0-3,Art,,
ART 2411,Special Studies-Art&amp;Des Travel,0-3,Art,,
ART 2412,Special Studies-Art&amp;Des Travel,0-3,Art,,
ART 2413,Special Studies-Art&amp;Des Travel,0-3,Art,,
ART 2414,Special Studies-Art&amp;Des Travel,0-3,Art,,
ART 2415,Special Studies-Art&amp;Des Travel,0-3,Art,,
ART 2416,Special Studies-Art&amp;Des Travel,0-3,Art,,
ART 2600,Color Theory,3,Art,,
ART 2900,Sophomore Portfolio Review,0,Art,,
ART 2990,Typography I,2,Art,,
ART 3000,Watercolor,3,Art,,
ART 3010,Typography II,2,Art,,
ART 3030,Illustration I,3,Art,,
ART 3040,Painting I,3,Art,,
ART 3050,Illustration II,3,Art,,
ART 3060,Introduction to Animation,3,Art,,
ART 3100,Painting II,3,Art,,
ART 3110,Teaching Art (P-8),3,Art,,
ART 3130,Bookbinding &amp; Letterpress,3,Art,,
ART 3140,Fine Arts Seminar,1,Art,,
ART 3141,Fine Arts Seminar,1,Art,,
ART 3142,Fine Arts Seminar,1,Art,,
ART 3143,Fine Arts Seminar,0,Art,,
ART 3144,Fine Arts Seminar,0,Art,,
ART 3200,Photography-Visual Artists I,3,Art,,
ART 3300,Photography-Visual Artists II,3,Art,,
ART 3330,Contemporary Art Survey,3,Art,,
ART 3350,Ceramics II,3,Art,,
ART 3400,Prof Practice in Visual Arts,2,Art,,
ART 3450,Printmaking I,3,Art,,
ART 3490,Graphic Design I,3,Art,,
ART 3500,Graphic Design II,3,Art,,
ART 3530,Advanced Drawing,3,Art,,
ART 3560,Graphic Design Internship I,3,Art,,
ART 3600,History of Photography,3,Art,,
ART 3630,History of Graphic Design,3,Art,,
ART 3650,Printmaking II,3,Art,,
ART 3670,Cooperative Education,1-6,Art,,
ART 3750,Visual Aesthetics,3,Art,,
ART 3800,Non-Western Art Survey,3,Art,,
ART 4000,Sculpture I,3,Art,,
ART 4010,Sculpture II,3,Art,,
ART 4040,Advanced Painting I,3,Art,,
ART 4100,Advanced Painting II,3,Art,,
ART 4150,Advanced Printmaking,3,Art,,
ART 4200,Teaching Art,3,Art,,
ART 4300,American Art History,3,Art,,
ART 4310,Ancient Art History,3,Art,,
ART 4320,Renaissance Art History,3,Art,,
ART 4330,Modern Art History,3,Art,,
ART 4350,Contemporary Topics in Art,3,Art,,
ART 4400,Visual Arts Studio I,3,Art,,
ART 4410,Visual Arts Studio II,3,Art,,
ART 4420,Visual Arts Studio III,3,Art,,
ART 4440,Visual Arts Studio IV,3,Art,,
ART 4500,Graphic Design Senior Seminar,1,Art,,
ART 4501,Fine Arts Senior Seminar,1,Art,,
ART 4510,Graphic Design III,3,Art,,
ART 4520,Graphic Design IV,3,Art,,
ART 4560,Graphic Design Internship II,3,Art,,
ART 4710,Internship in Art,1-3,Art,,
ART 4750,Independent Study,1-3,Art,,
ART 4751,Independent Study,1-3,Art,,
ART 4752,Independent Study,1-3,Art,,
ART 4753,Independent Study,1-3,Art,,
ART 5000,Watercolor,3,Art,,
ART 5010,Sculpture I,3,Art,,
ART 5020,Advanced Painting,3,Art,,
ART 5100,Explorations in Visual Art,1-3,Art,,
ART 5110,Teaching Art (P-8),3,Art,,
ART 5120,Weaving,3,Art,,
ART 5200,Teaching Art,3,Art,,
ART 5300,American Art History,3,Art,,
ART 5310,Ancient Art History,3,Art,,
ART 5320,Renaissance Art History,3,Art,,
ART 5330,Modern Art History,3,Art,,
ART 5340,Non-Western Art History,3,Art,,
ART 5450,Printmaking I,3,Art,,
ART 5650,"Printmkng II, Serigr &amp; Lithogr",3,Art,,
ART 5670,Co-op Education,1-6,Art,,
ART 5750,Visual Aesthetics,3,Art,,
ART 6750,Independent Study,1-3,Art,,
BIB 2020,Biblical Interpretation,3,Bible/Bible,,
BIB 4010,Critical Issues in OT &amp; NT,3,Bible/Bible,,
BDOC 3010,The New Testament Church,2-3,Bible/Doctrinal,,
BDOC 3022,Christian Faith and Vocation,2,Bible/Doctrinal,,
BDOC 3030,Living Christian Traditions,3,Bible/Doctrinal,,
BDOC 3050,Evidences of Christianity,2-3,Bible/Doctrinal,,
BDOC 3060,Christ &amp; Culture,2,Bible/Doctrinal,,
BDOC 3070,The Good Life,2,Bible/Doctrinal,,
BDOC 3080,Theology of Beauty,2-3,Bible/Doctrinal,,
BDOC 3090,The Literature of Faith,3,Bible/Doctrinal,,
BDOC 4020,Christian Theology,3,Bible/Doctrinal,,
BDOC 4090,Seminar in Doctrine,3,Bible/Doctrinal,,
BDOC 4091,Seminar in Doctrine,3,Bible/Doctrinal,,
BDOC 4092,Seminar in Doctrine,3,Bible/Doctrinal,,
BDOC 4093,Seminar in Doctrine,3,Bible/Doctrinal,,
BDOC 4094,Seminar in Doctrine,3,Bible/Doctrinal,,
BDOC 4095,Seminar in Doctrine,3,Bible/Doctrinal,,
BDOC 4096,Seminar in Doctrine,3,Bible/Doctrinal,,
BDOC 4097,Seminar in Doctrine,3,Bible/Doctrinal,,
BDOC 4098,Seminar in Doctrine,3,Bible/Doctrinal,,
BDOC 4099,Seminar in Doctrine,3,Bible/Doctrinal,,
BDOC 4192,Doctrine of Christ,3,Bible/Doctrinal,,
BDOC 4193,Doctrine of the Holy Spirit,3,Bible/Doctrinal,,
BDOC 5400,Systematic Theology,3,Bible/Doctrinal,,
BDOC 5410,Theological Hermeneutics,3,Bible/Doctrinal,,
BDOC 5442,Theol of Stone-Campbell Mvmt,3,Bible/Doctrinal,,
BDOC 5450,Contemporary Christian Thought,3,Bible/Doctrinal,,
BDOC 5470,Providence and Suffering,3,Bible/Doctrinal,,
BDOC 5520,Faith and Reason,3,Bible/Doctrinal,,
BDOC 5550,Ethics and Character Formation,3,Bible/Doctrinal,,
BDOC 5555,Seminar in Theology,3,Bible/Doctrinal,,
BDOC 5560,Christian Worship,3,Bible/Doctrinal,,
BDOC 5599,Guid Rsrch Systematic Theology,3,Bible/Doctrinal,,
BFAM 2030,Seminar in Family Ministries,1,Bible/Family Ministry,,
BFAM 2031,Seminar in Family Ministries,1,Bible/Family Ministry,,
BFAM 2032,Seminar in Family Ministries,1,Bible/Family Ministry,,
BFAM 2033,Seminar in Family Ministries,1,Bible/Family Ministry,,
BFAM 2034,Seminar in Family Ministries,1,Bible/Family Ministry,,
BFAM 3000,Teaching Strategies,3,Bible/Family Ministry,,
BFAM 3040,Children&#39;s Ministry,3,Bible/Family Ministry,,
BFAM 3050,Youth Ministry,3,Bible/Family Ministry,,
BFAM 3070,Fieldwork in Family Ministries,1,Bible/Family Ministry,,
BFAM 3071,Fieldwork in Family Ministries,1,Bible/Family Ministry,,
BFAM 3072,Fieldwork in Family Ministries,2,Bible/Family Ministry,,
BFAM 3073,Fieldwork in Family Ministries,3,Bible/Family Ministry,,
BFAM 3080,Christian Families,2,Bible/Family Ministry,,
BFAM 3090,Intro to Campus Ministry,3,Bible/Family Ministry,,
BFAM 3130,Spiritual Formation,2,Bible/Family Ministry,,
BHIS 1040,Mediterranean World,2-3,Bible/Historical,,
BHIS 3010,Bib Backgrounds,2-3,Bible/Historical,,
BHIS 3020,Biblical World &amp; Archaeology,2-3,Bible/Historical,,
BHIS 3030,Living World Religions,3,Bible/Historical,,
BHIS 3040,Church Hstry: Ancient-Medieval,2-3,Bible/Historical,,
BHIS 3050,Church History: Reform to Mdrn,2-3,Bible/Historical,,
BHIS 3060,History of Renewal Movements,3,Bible/Historical,,
BHIS 3070,Biblical Archeology Practicum,3,Bible/Historical,,
BHIS 3080,Archaeology &amp; Geog of Israel,3,Bible/Historical,,
BHIS 3120,Short Course in Church History,1,Bible/Historical,,
BHIS 3121,Short Course in Church History,1,Bible/Historical,,
BHIS 3122,Short Course in Church History,1,Bible/Historical,,
BHIS 3123,Short Course in Church History,1,Bible/Historical,,
BHIS 3124,Short Course in Church History,1,Bible/Historical,,
BHIS 3125,Short Course in Church History,1,Bible/Historical,,
BHIS 3126,Short Course in Church History,1,Bible/Historical,,
BHIS 3127,Short Course in Church History,1,Bible/Historical,,
BHIS 3128,Short Course in Church History,1,Bible/Historical,,
BHIS 3129,Short Course in Church History,1,Bible/Historical,,
BHIS 4090,Seminar in Church History,3,Bible/Historical,,
BHIS 4091,Seminar in Church History,3,Bible/Historical,,
BHIS 4092,Seminar in Church History,3,Bible/Historical,,
BHIS 4093,Seminar in Church History,3,Bible/Historical,,
BHIS 4094,Seminar in Church History,3,Bible/Historical,,
BHIS 4095,Seminar in Church History,3,Bible/Historical,,
BHIS 4096,Seminar in Church History,3,Bible/Historical,,
BHIS 4097,Seminar in Church History,3,Bible/Historical,,
BHIS 4098,Seminar in Church History,3,Bible/Historical,,
BHIS 4099,Seminar in Church History,3,Bible/Historical,,
BHIS 5601,History of Christianity I,3,Bible/Historical,,
BHIS 5602,History of Christianity II,3,Bible/Historical,,
BHIS 5640,Stone-Campbell Movement,3,Bible/Historical,,
BHIS 5641,Afrcn Amer in Stone-Cmpbl Mvmt,3,Bible/Historical,,
BHIS 5650,History Religion in America,3,Bible/Historical,,
BHIS 5699,Guid Rsrch in Hist Theology,3,Bible/Historical,,
HOML 5810,Sermon Development &amp; Delivery,3,Bible/Homiletics,,
HOML 5830,Biblical Preaching,3,Bible/Homiletics,,
HOML 5840,Preaching from Old Testament,3,Bible/Homiletics,,
HOML 5841,Preaching Wisdom Literature,3,Bible/Homiletics,,
