courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
BIOPHYS 381,Single-Molecule Biophysics,,Biophysics,FAS,
RELIGION 16,Religious Dimensions in Human Experience,,"Religion, The Study of",FAS,
PORTUG 30,"Upper-level Portuguese: Traditions, Culture, and Current events through Brazilian folklore",,Romance Languages & Lit,FAS,
HEB 55,Human Evolutionary Anatomy,,"Human Biology, Behavior,& Evol",FAS,
TIBET 102A,Intermediate Classical Tibetan,,South Asian Studies,FAS,
TIBET 102B,Intermediate Classical Tibetan,,South Asian Studies,FAS,
TIBET 106AR,Advanced Colloquial Tibetan,,South Asian Studies,FAS,
COMPSCI 2360R,Topics at the Interface between Computer Science and Economics,,Computer Science,FAS,
NEUROBIO 338,Neural Circuitry of Primate Visual Cortex,,Neuroscience,FAS,
GOV 1061,The History of Modern Political Philosophy,,Government,FAS,
ECON 1640,Industrial Organization: Theory and Applications,,Economics,FAS,
MATH 212,Advanced Real Analysis,,Mathematics,FAS,
CHEM 163,Frontiers in Biophysics,,Chemistry & Chemical Biology,FAS,
APMTH 318,Special Topics in Physical Mathematics,,Applied Mathematics,FAS,
PHYSICS 345B,Experimental Gravitation: Radio and Radar Astronomy,,Physics,FAS,
CELLBIO 314,Molecular Biology of Extracellular Matrix,,Biological and Biomedical Scie,FAS,
APPHY 356,Special Topics in Theoretical Engineering,,Applied Physics,FAS,
CHEM 393,Physical Chemistry,,Chemistry & Chemical Biology,FAS,
ITAL 40,Advanced Italian I: Italian Through Cinema: Oral Expression and Performance,,Romance Languages & Lit,FAS,
PHYSICS 389B,Topics in Field Theory: The Standard Model and Beyond,,Physics,FAS,
CHEM 304,"Theoretical Atomic, Molecular, and Chemical Physics",,Chemistry & Chemical Biology,FAS,
MATH 137,Algebraic Geometry,,Mathematics,FAS,
SPANSH 15,Intensive Beginning Spanish: Special Course,,Romance Languages & Lit,FAS,
PORTUG 91R,Supervised Reading and Research,,Romance Languages & Lit,FAS,
GENED 1019,"The Caribbean Crucible: Colonialism, Capitalism and Post-Colonial Misdevelopment In The Region",,General Education,FAS,
ARABIC 241BR,"Advanced Modern Arabic Bridge: Language, Literature, and Culture II",,Near Eastern Languages & Civ,FAS,
PHYSICS 285B,Modern Atomic and Optical Physics II,,Physics,FAS,
GENED 1018,How to Build a Habitable Planet,,General Education,FAS,
GOV 1740,International Law and Institutions,,Government,FAS,
SOCIOL 1128,Models of Social Science Research,,Sociology,FAS,
ECON 3009,Graduate Student Workshop in Industrial Organization,,Economics,FAS,
BIOPHYS 242R,Special Topics in Biophysics,,Biophysics,FAS,
ITAL 91R,Supervised Reading and Research,,Romance Languages & Lit,FAS,
ECON 3012,Graduate Student Workshop in Labor Economics,,Economics,FAS,
ENG-SCI 302,Nanophotonics,,Engineering Sciences,FAS,
ECON 10A,Principles of Economics (Microeconomics),,Economics,FAS,
HAA 91R,Directed Study in History of Art and Architecture,,History of Art & Architecture,FAS,
CHEM 342,Inorganic Chemistry,,Chemistry & Chemical Biology,FAS,
CHEM 98R,Introduction to Research - Junior Year,,Chemistry & Chemical Biology,FAS,
HBTM 352,Regulation of Vascular Development and Pathology,,Biological and Biomedical Scie,FAS,
