courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACC 200,Introduction to Accounting I,,ACC,,
ACC 210,Introduction to Accounting II,,ACC,,
ACC 321,Intermediate Financial Accounting I,,ACC,,
ACC 323,Intermediate Financial Accounting II,,ACC,,
ACC 395,Accounting Internship,,ACC,,
ACC 399,Directed Reading and Research,,ACC,,
ACC 401,Federal Individual Income Taxation,,ACC,,
ACC 407,Taxation of Business Entities,,ACC,,
ACC 409,Accounting Information Systems,,ACC,,
ACC 413,Law for the Accountant,,ACC,,
ACC 415,Advanced Financial Accounting,,ACC,,
ACC 416,Special Topics in Accounting,,ACC,,
ACC 418,Auditing,,ACC,,
ACC 425,Forensic Accounting,,ACC,,
ACC 465,(Alpha) Accounting Capstone,,ACC,,
ACC 465B,Accounting Capstone: Managerial Accounting-Tax-Ethics,,ACC,,
ACC 465C,Accounting Capstone: Financial Accounting-Auditing-Accounting Information Systems,,ACC,,
ACC 602,CPA Review-Audit and Attestation,,ACC,,
ACC 603,CPA Review-The Business Environment and Concepts,,ACC,,
ACC 604,CPA Review-The Financial Accounting and Reporting,,ACC,,
ACC 605,CPA Review-The Regulation,,ACC,,
ACC 610,International Corporate Governance,,ACC,,
ACC 616,Accounting Theory and Development,,ACC,,
ACC 619,Information and Assurance and Analytics,,ACC,,
ACC 620,Global Accounting,,ACC,,
ACC 625,Accounting and Tax Research,,ACC,,
ACC 631,Tax of Partners/Partnerships,,ACC,,
ACC 635,Advanced Public Sector Accounting,,ACC,,
ACC 638,Estate and Gift Taxation and Planning,,ACC,,
ACC 639,Multijurisdictional Taxation,,ACC,,
ACC 648,Financial Statements Analysis,,ACC,,
ACC 649,Data Analytics for Accountants,,ACC,,
ACC 660,Analysis and Decision-Making,,ACC,,
ACC 690,Current Topics in Accounting,,ACC,,
ACC 695,Accounting Internship,,ACC,,
ACC 700,Thesis Research,,ACC,,
ACC 701,Financial Accounting Research,,ACC,,
ACC 702,Managerial Accounting Research,,ACC,,
ACC 703,Research in Behavioral Accounting,,ACC,,
ACC 704,Research in Accounting Information Systems,,ACC,,
ACC 705,Research in Auditing and International Accounting,,ACC,,
ACC 799,Directed Reading and Research,,ACC,,
AS 101,United States Air Force Heritage and Values I,,AS,,
