courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AERM 1141,"Wood, Fabric, and Finishes",,AERM,,
AERM 1205,Weight and Balance,,AERM,,
AERM 1208,Federal Aviation Regulations,,AERM,,
AERM 1243,Instruments and Navigation/Communication,,AERM,,
AERM 1254,Aircraft Composites,,AERM,,
AERM 1280,Cooperative Education - Airframe Mechanics and Aircraft Maintenance Technology/Technician,,AERM,,
AERM 1303,Shop Practices,,AERM,,
AERM 1310,Ground Operations,,AERM,,
AERM 1315,Aviation Science,,AERM,,
AERM 1340,Aircraft Propellers,,AERM,,
AERM 1347,Airframe Auxiliary Systems,,AERM,,
AERM 1349,"Hydraulic, Pneumatic, and Fuel Systems",,AERM,,
AERM 1350,Landing Gear Systems,,AERM,,
AERM 1351,Aircraft Turbine Engine Theory,,AERM,,
AERM 1357,Fuel Metering and Induction Systems,,AERM,,
AERM 1414,Basic Electricity,,AERM,,
AERM 1444,Aircraft Reciprocating Engines,,AERM,,
AERM 1445,Airframe Electrical Systems,,AERM,,
AERM 1452,Aircraft Sheet Metal,,AERM,,
AERM 1456,Aircraft Powerplant Electrical,,AERM,,
AERM 2231,Airframe Inspection,,AERM,,
AERM 2233,Assembly and Rigging,,AERM,,
AERM 2252,Aircraft Powerplant Inspection,,AERM,,
AERM 2351,Aircraft Turbine Engine Overhaul,,AERM,,
AERM 2447,Aircraft Reciprocating Engine Overhaul,,AERM,,
ACCT 2301,Principles of Financial Accounting,,ACCT,,
ACCT 2302,Principles of Managerial Accounting,,ACCT,,
ACNT 1303,Introduction to Accounting I,,ACNT,,
ACNT 1305,Forensic Accounting,,ACNT,,
ACNT 1313,Computerized Accounting Applications,,ACNT,,
ACNT 1329,Payroll and Business Tax Accounting,,ACNT,,
ACNT 1331,Federal Income Tax: Individual,,ACNT,,
ACNT 1335,Accounting Ethics,,ACNT,,
ACNT 1347,Federal Income Tax for Partnerships and Corporations,,ACNT,,
ACNT 1373,Accounting Data Analytics,,ACNT,,
ACNT 1382,Cooperative Education-Accounting Technology/Technician and Bookkeeping,,ACNT,,
ACNT 1391,Special Topics in Accounting: Fraud Examinations,,ACNT,,
ACNT 1392,Special Topics in Accounting: Small Business Accounting,,ACNT,,
ACNT 2303,Intermediate Accounting I,,ACNT,,
ACNT 2304,Intermediate Accounting II,,ACNT,,
ACNT 2309,Cost Accounting,,ACNT,,
ACNT 2330,Governmental and Not-for-Profit Accounting,,ACNT,,
ACNT 2331,Internal Control and Auditing,,ACNT,,
ACNT 2333,Advanced Accounting,,ACNT,,
ACNT 2382,Cooperative Education-Accounting Technology/Technician and Bookkeeping,,ACNT,,
ANTH 2101,Physical Anthropology (Lab),,ANTH,,
ANTH 2301,Physical Anthropology (Lecture),,ANTH,,
ANTH 2302,Introduction to Archaeology,,ANTH,,
ANTH 2346,General Anthropology,,ANTH,,
ANTH 2351,Cultural Anthropology,,ANTH,,
ANTH 2389,Academic Cooperative in Anthropology,,ANTH,,
SCIT 1320,Physics for Allied Health,,SCIT,,
SCIT 1408,Applied Human Anatomy and Physiology II,,SCIT,,
SCIT 1414,Applied General Chemistry I,,SCIT,,
SCIT 1418,Applied Physics,,SCIT,,
ARAB 1411,Beginning Arabic I,,ARAB,,
ARAB 1412,Beginning Arabic II,,ARAB,,
ARAB 2311,Intermediate Arabic I,,ARAB,,
ARAB 2312,Intermediate Arabic II,,ARAB,,
ARTS 1301,Art Appreciation,,ARTS,,
ARTS 1303,Art History I (Prehistoric to the 14th Century),,ARTS,,
ARTS 1304,Art History II (14th Century to the Present),,ARTS,,
ARTS 1311,Design I (2-Dimensional Design),,ARTS,,
ARTS 1312,Design II (3-Dimensional Design),,ARTS,,
ARTS 1313,Foundations of Art,,ARTS,,
ARTS 1316,Drawing I,,ARTS,,
ARTS 1317,Drawing II,,ARTS,,
ARTS 2311,Design III (Color Theory),,ARTS,,
ARTS 2313,Graphic Design,,ARTS,,
ARTS 2316,Painting I,,ARTS,,
ARTS 2317,Painting II,,ARTS,,
ARTS 2323,Life Drawing,,ARTS,,
ARTS 2326,Sculpture,,ARTS,,
ARTS 2333,Printmaking,,ARTS,,
ARTS 2341,Metals,,ARTS,,
ARTS 2346,Ceramics I,,ARTS,,
ARTS 2347,Ceramics II,,ARTS,,
ARTS 2348,Digital Media,,ARTS,,
ARTS 2356,Photography I (Fine Arts Emphasis),,ARTS,,
ARTS 2357,Photography II (Fine Arts Emphasis),,ARTS,,
ARTS 2366,Watercolor,,ARTS,,
ARTS 2389,Academic Cooperative,,ARTS,,
ITAI 1370,"Artificial Intelligence (A I) History, Theory, and Platforms",,ITAI,,
ITAI 1371,Introduction to Machine Learning,,ITAI,,
ITAI 1372,Artificial Intelligence (A I) in Cybersecurity,,ITAI,,
ITAI 1378,Computer Vision for Artificial Intelligence (A I),,ITAI,,
ITAI 2275,Cooperative Education-Artificial Intelligence (A I),,ITAI,,
ITAI 2277,Artificial Intelligence (A I) Resources & References,,ITAI,,
ITAI 2372,Artificial Intelligence (A I) Applications & Case Histories,,ITAI,,
ITAI 2373,Natural Language Processing (NLP),,ITAI,,
ITAI 2374,Robot Operating System & Platforms in Artificial Intelligence (A I),,ITAI,,
ITAI 2376,Deep Learning in Artificial Intelligence (A I),,ITAI,,
ITAI 2377,Data Science in Artificial Intelligence (A I),,ITAI,,
ITAI 3371,Cloud Configurations & Resources for A.I.,,ITAI,,
ITAI 3374,On-Premises A.I. Hardware Platforms,,ITAI,,
ITAI 3375,Curating DATA for A.I. Optimization,,ITAI,,
ITAI 3377,A.I. at the Edge and IIOT Environments,,ITAI,,
ITAI 3378,Finance and Business A.I.,,ITAI,,
ITAI 3379,Artificial Intelligence in Robotics,,ITAI,,
ITAI 4370,A.I. 5/6G Communications & ORAN Networks,,ITAI,,
ITAI 4371,Digital Twins & Virtual Simulation in A.I.,,ITAI,,
ITAI 4372,"A.I. Policies, Procedures and Governance",,ITAI,,
ITAI 4373,The New Nature of Work in A.I.,,ITAI,,
ITAI 4374,Neuroscience as a Model for A.I. Systems,,ITAI,,
ITAI 4375,Artificial Intelligence (A.I.) in Healthcare,,ITAI,,
ITAI 4376,A.I. Controls for Robotics,,ITAI,,
ITAI 4377,A.I. & Robotics Planning Cooperative Education,,ITAI,,
ASTR 1103,Stars and Galaxies Laboratory (lab),,ASTR,,
ASTR 1104,Solar System Laboratory (Lab),,ASTR,,
ASTR 1303,Stars and Galaxies (Lecture),,ASTR,,
ASTR 1304,Solar System (lecture),,ASTR,,
MUSC 1220,Live Sound Workshop,,MUSC,,
MUSC 1249,Applied Music: Conducting,,MUSC,,
MUSC 1270,Fundamentals of Music Production,,MUSC,,
MUSC 1305,Live Sound I,,MUSC,,
MUSC 1309,Conducting Class,,MUSC,,
MUSC 1321,Songwriting I,,MUSC,,
MUSC 1323,Audio Electronics,,MUSC,,
MUSC 1325,Acoustics,,MUSC,,
MUSC 1327,Audio Engineering I,,MUSC,,
MUSC 1330,Computer Music Notation I,,MUSC,,
MUSC 1331,MIDI I,,MUSC,,
MUSC 1335,Commercial Music Software,,MUSC,,
MUSC 1350,Remixing,,MUSC,,
MUSC 1396,Special Topics in Recording Arts Technology / Technician: Advanced Mixing and Mastering in Protocols,,MUSC,,
MUSC 1405,Live Sound I,,MUSC,,
MUSC 2141,Forum/Recital,,MUSC,,
MUSC 2201,Audio Engineering Practices,,MUSC,,
MUSC 2214,Improvisation Theory I,,MUSC,,
MUSC 2230,Commercial Music Arranging and Composition,,MUSC,,
MUSC 2234,Improvisation Theory II,,MUSC,,
MUSC 2319,Orchestration,,MUSC,,
MUSC 2345,Synthesis II,,MUSC,,
MUSC 2350,Computer Music Notation II,,MUSC,,
MUSC 2355,MIDI II,,MUSC,,
MUSC 2403,Live Sound II,,MUSC,,
MUSC 2427,Audio Engineering II,,MUSC,,
MUSC 2433,Scoring for Video and Film,,MUSC,,
MUSC 2447,Audio Engineering III,,MUSC,,
MUSC 2448,Audio Engineering IV,,MUSC,,
MUSC 2457,Audio Engineering V,,MUSC,,
MUSC 2458,Audio Engineering VI,,MUSC,,
RTVB 1240,Audio/Radio Production Practices,,RTVB,,
RTVB 1309,Audio/Radio Production I,,RTVB,,
RTVB 1321,TV/Video Field Production,,RTVB,,
RTVB 1329,Scriptwriting,,RTVB,,
RTVB 2164,Practicum (or Field Experience)-Radio and Television,,RTVB,,
RTVB 2232,Audio/Radio Production Practices II,,RTVB,,
RTVB 2282,Cooperative Education-Radio and Television Broadcasting Technology/Technician,,RTVB,,
RTVB 2330,Film and Video Editing,,RTVB,,
RTVB 2337,TV/Video Production Workshop I,,RTVB,,
RTVB 2340,Portfolio Development,,RTVB,,
RTVB 2343,Commercial Recording Techniques,,RTVB,,
RTVB 2386,Internship-Radio and Television Broadcasting,,RTVB,,
ABDR 1215,Vehicle Trim and Hardware,,ABDR,,
ABDR 1280,Cooperative Education-Autobody / Collision and Repair Technology / Technician,,ABDR,,
ABDR 1307,Collision Repair Welding,,ABDR,,
ABDR 1431,Basic Refinishing,,ABDR,,
ABDR 1441,Structural Analysis and Damage Repair I,,ABDR,,
ABDR 1442,Structural Analysis and Damage Repair II,,ABDR,,
ABDR 1458,Intermediate Refinishing,,ABDR,,
ABDR 2353,Color Analysis and Paint Matching,,ABDR,,
ABDR 2431,Structural Analysis and Damage Repair III,,ABDR,,
ABDR 2441,Major Collision Repair and Panel Replacement,,ABDR,,
ABDR 2449,Advanced Refinishing,,ABDR,,
AUMT 1305,Introduction to Automotive Technology,,AUMT,,
AUMT 1306,Automotive Engine Removal and Installation,,AUMT,,
AUMT 1307,Automotive Electrical Systems,,AUMT,,
AUMT 1310,Automotive Brake Systems,,AUMT,,
AUMT 1316,Automotive Suspension and Steering Systems,,AUMT,,
AUMT 1319,Automotive Engine Repair,,AUMT,,
AUMT 1345,Automotive Climate Control Systems,,AUMT,,
AUMT 1380,Cooperative Education-Automobile / Automotive Mechanics Technology / Technician,,AUMT,,
AUMT 2310,Automotive Service Consultant,,AUMT,,
AUMT 2313,Automotive Drive Train and Axles,,AUMT,,
AUMT 2317,Automotive Engine Performance Analysis I,,AUMT,,
AUMT 2321,Automotive Electrical Diagnosis and Repair,,AUMT,,
AUMT 2325,Automotive Automatic Transmission and Transaxle,,AUMT,,
AUMT 2328,Automotive Service,,AUMT,,
AUMT 2334,Automotive Engine Performance Analysis II,,AUMT,,
AUMT 2380,Cooperative Education-Automobile/Automotive Mechanics Technology/Technician,,AUMT,,
PSTR 1301,Fundamentals of Baking,,PSTR,,
PSTR 1305,Breads and Rolls,,PSTR,,
PSTR 1306,Cake Decorating I,,PSTR,,
PSTR 1310,"Pies, Tarts, Teacakes and Cookies",,PSTR,,
PSTR 1312,"Laminated Dough, Pate a Choux and Donuts",,PSTR,,
PSTR 1340,Plated Desserts,,PSTR,,
PSTR 1343,Bakery Operations and Management,,PSTR,,
PSTR 1391,Special Topics in Baker/Pastry Chef,,PSTR,,
