courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 101,FINANCIAL ACCOUNTING,3,Accounting,,
ACCT 102,MANAGERIAL ACCOUNTING,3,Accounting,,
ACCT 115,ACCT APP W SPREADSHT &amp; DATASBS,3,Accounting,,
ACCT 123,INTERMEDIATE ACCOUNTING I,3,Accounting,,
ACCT 124,INTERMEDIATE ACCOUNTING II,3,Accounting,,
ACCT 125,ADVANCED ACCOUNTING,3,Accounting,,
ACCT 126,GOVRNMNT &amp; NOT-FOR-PROFIT ACCT,3,Accounting,,
ACCT 128,ACCT IN A GLOBAL ENVIRONMENT,3,Accounting,,
ACCT 129,INTERNAL AUDITING,3,Accounting,,
ACCT 131,COST ACCT &amp; ADV MANAGERL ACCT,3,Accounting,,
ACCT 133,AUDITING THEORY &amp; PRACTICE,3,Accounting,,
ACCT 134,ACCTNG INFO SYSTEMS &amp; CONTROLS,3,Accounting,,
ACCT 135,ACCOUNTING INFO SYSTEMS,3,Accounting,,
ACCT 136,FRAUD PREVENTION &amp; DETECTION,3,Accounting,,
ACCT 137,FORENSIC &amp; INVESTIGATIVE ACCT,3,Accounting,,
ACCT 139,INTRO TO STRATEGIC ACCT TECH,3,Accounting,,
ACCT 140,APPLY STRAT ACCT TECH DEC MKG,3,Accounting,,
ACCT 142,TAXATION FOR NON-ACCT MAJORS,3,Accounting,,
ACCT 143,INCOME TAX ACCT 1,3,Accounting,,
ACCT 144,INCOME TAX ACCT 2,3,Accounting,,
ACCT 145,ADVANCED TAX TOPICS,3,Accounting,,
ACCT 150,ACCOUNTNG INFO FOR STAKEHOLDRS,3,Accounting,,
ACCT 154,PUBLIC ACCT PRACT,3,Accounting,,
ACCT 155,RDGS IN ACCOUNTING,1-3,Accounting,,
ACCT 156,SPECIAL TOPICS IN ACCT (A-Z),1-2,Accounting,,
ACCT 156A,ADV SPREADSHEET TOOLS IN ACCT,1-2,Accounting,,
ACCT 157,SEM: SPECIAL TOPICS IN ACCT,3,Accounting,,
ACCT 157A,SEM: SPL TPC INTL REG ENVIROMT,3,Accounting,,
ACCT 157B,ADV SPREADSHT SKILLS APPL ACCT,3,Accounting,,
ACCT 157C,FNDMNTLS DSGN THNKNG &amp; DTA SCI,3,Accounting,,
ACCT 157D,IBM BLOCKCHAIN,3,Accounting,,
ACCT 157E,INTRO TO STRATEGIC ACCT TECH,3,Accounting,,
ACCT 157F,ARTIFICIAL INTEL FOR BUSINESS,3,Accounting,,
ACCT 157G,SEM: SUSTAINABLTY IN GLOB ACCT,3,Accounting,,
ACCT 157H,SEMINAR: ACCOUNTING TECHNOLOGY,3,Accounting,,
ACCT 157I,SEMINAR: ACCOUNTING ANALYTICS,3,Accounting,,
ACCT 174,BUSINESS INTERNSHIP,1-3,Accounting,,
ACCT 185,INTERNSHIP,2-3,Accounting,,
ACCT 190,DEPT HONORS CANDIDACY: ESSAY,3,Accounting,,
ACCT 201,FINANCIAL ACCT &amp; REPORTING,3,Accounting,,
ACCT 203,ACCT &amp; FINANCIAL REPORTING,3,Accounting,,
ACCT 208,ACCOUNTING INFO SYSTEMS,3,Accounting,,
ACCT 210,FINANCIAL ACCT PERSPECTIVES,3,Accounting,,
ACCT 214,INDIVIDUAL INCOME TAX,3,Accounting,,
ACCT 215,INCOME TAX FOR BUS. ENTITIES,3,Accounting,,
ACCT 216,TAX ACCOUNTING,3,Accounting,,
ACCT 218,FINANCIAL STATEMENT ANALYSIS,3,Accounting,,
ACCT 220,RESCH &amp; PROCED IN FED TAX,3,Accounting,,
ACCT 221,INCOME TAX PROBLEMS,3,Accounting,,
ACCT 222,FED TAX OF CORP &amp; SHAREHLDRS,3,Accounting,,
ACCT 223,LIQDATN-MERGR&amp;REORGN TAX,3,Accounting,,
ACCT 224,FINANCIAL REPORTING &amp; ANALYSIS,3,Accounting,,
ACCT 225,DEFERRED COMP/PENSION PLANS,3,Accounting,,
ACCT 226,STATE AND LOCAL TAXATION,3,Accounting,,
ACCT 227,TAX OF INTL TRNSCTNS,3,Accounting,,
ACCT 228,STRATEGIC ACCT FOR MANAGERS,3,Accounting,,
ACCT 229,COMM IN DIGITAL ACCT ENV,3,Accounting,,
ACCT 230,MANAGERIAL ACCT &amp; REPORTING,3,Accounting,,
ACCT 231,COST ACCOUNTING SYSTEMS,3,Accounting,,
ACCT 232,ACCT IN GLOBAL ENVRN,3,Accounting,,
ACCT 233,AUDITING THEORY,3,Accounting,,
ACCT 234,ACCTNG INFO SYSTEMS &amp; CONTROLS,3,Accounting,,
ACCT 237,FORENSIC ACCT &amp; FRAUD EXAM,3,Accounting,,
ACCT 241,ADVANCED ACCOUNTING,3,Accounting,,
ACCT 242,ADV ACCT THRY AND PRACTICE,3,Accounting,,
ACCT 243,GOV&#39;T &amp; NO PROFIT ACCT,3,Accounting,,
ACCT 245,STRATEGIC ACCTING TECHNOLOGIES,3,Accounting,,
ACCT 246,ADVNCD SPRDSHT TOOLS APLD ACCT,1,Accounting,,
ACCT 248,BUSINESS VALUATION ACOUNTANTS,3,Accounting,,
ACCT 250,SEM ADV CNTMP ACCT,3,Accounting,,
ACCT 257,SEM:SPCL TPCS IN ACCT: USE A-Z,3,Accounting,,
ACCT 257A,SEM: SPL TPC INTL REG ENVIROMT,3,Accounting,,
ACCT 257B,SEM: SUSTAINABLTY IN GLOB ACCT,3,Accounting,,
ACCT 257C,SEM: COMM IN DIGITAL ACCT ENV,3,Accounting,,
ACCT 257F,ARTFCL INTLIGNC FOR BUS &amp; ACCT,3,Accounting,,
ACCT 257G,SPECIAL TOPIC IN ACCOUNTING,3,Accounting,,
ACCT 257Z,PRACTICUM IN ACCOUNTING,3,Accounting,,
ACCT 302,MASTERS ESSAY,3,Accounting,,
ACCT 304,ADV RES SEMINAR:ACCT,3,Accounting,,
ACCT 305,MBA HONORS RSCH THESIS/ACCT,3-6,Accounting,,
ACCT 306,CASE FOUCES RES SEM IN BUSNS,3,Accounting,,
ACCT 307,CNSLTG RESEARCH PROJECT,3,Accounting,,
ACCT 308,INTGRTV BUS SIMULATION,3,Accounting,,
ACCT 309,RESEARCH SEMINAR,3,Accounting,,
ACCT 310,APPL RES CAP DIGTL ACCT TECH,3,Accounting,,
ACCT 329,GRADUATE BASIC INTERNSHIP,1-3,Accounting,,
ACCT 330,GRADUATE INTERNSHIP,1-3,Accounting,,
ACCT 331,M.S. INTERNSHIP,3,Accounting,,
ACCT 401A,FNCL RPT &amp; MGR ACCT,3,Accounting,,
ACCT 889,BUSINESS ELECTIVE,3,Accounting,,
ACCT 889A,NON LIBERAL ARTS ELECTIVE,3,Accounting,,
ACCT 889R,DEPARTMENTAL REVIEW,0,Accounting,,
APS 245,LEGAL ASPECTS MANGNG HEALTHCRE,3,Admin &amp; Policy Studies,,
APS 251,READINGS IN ADMINSTRATION,3,Admin &amp; Policy Studies,,
APS 294,ADMINISTRATIVE INTERNSHIP,3,Admin &amp; Policy Studies,,
APS 295,ADMINISTRATIVE INTERNSHIP,3,Admin &amp; Policy Studies,,
APS 351,INDEPENDENT STUDY,3,Admin &amp; Policy Studies,,
APS 352,INDEPNDNT RSRCH CAPSTONE PRJCT,3,Admin &amp; Policy Studies,,
APS 370,INTRO TO HIGHER ED IN U.S.A.,3,Admin &amp; Policy Studies,,
APS 371,ECO &amp; FIN OF HIGHER EDUCATION,3,Admin &amp; Policy Studies,,
APS 372,GOVERNANCE IN HIGHER EDUCAT,3,Admin &amp; Policy Studies,,
APS 373,STUDENT IN AMER HIGHER EDUCATI,3,Admin &amp; Policy Studies,,
APS 374,TCHNG/LEARN HIGHER EDUCATN,3,Admin &amp; Policy Studies,,
APS 375,CONTEMPRY ISSUES IN HIGHER ED,3,Admin &amp; Policy Studies,,
APS 376,LEGAL &amp; ETHICAL ISSUES IN H.E.,3,Admin &amp; Policy Studies,,
APS 377,STUDENT AFFAIRS LEADERSHIP,3,Admin &amp; Policy Studies,,
APS 378,"PLNG, ASSEMNT, ACCRDTN IN H.E.",3,Admin &amp; Policy Studies,,
APS 380,CURRICULUM DEVELOPMENT,3,Admin &amp; Policy Studies,,
APS 381,ASSESSMENT &amp; PRGM EVALUATION,3,Admin &amp; Policy Studies,,
APS 382,THE COMMUNITY COLLEGE,3,Admin &amp; Policy Studies,,
APS 383,STDT LDRSHP IN HIGHER EDUC,3,Admin &amp; Policy Studies,,
APS 390,LEADING CHANGE IN HIGHER ED,3,Admin &amp; Policy Studies,,
APS 391,PUBLIC POLICY IN HIGHER ED,3,Admin &amp; Policy Studies,,
APS 392,ORG THEORY &amp; DEC MKG HIGHER ED,3,Admin &amp; Policy Studies,,
APS 393,STU DEVLMNT THEORIES HIGHER ED,3,Admin &amp; Policy Studies,,
APS 394,INTRNATNL PERSPCTV &amp; GLOBALZTN,3,Admin &amp; Policy Studies,,
APS 396,FACULTY &amp; STAFF DEVELOPMENT,3,Admin &amp; Policy Studies,,
AFST 012S,FIRST-YEAR SEMINAR,1-3,Africana Studies,,
AFST 014S,(CC) FIRST YEAR SEMINAR,3-4,Africana Studies,,
AFST 032,"(BH, CC) WOMEN &amp; DEVELOPMENT",3,Africana Studies,,
AFST 039,"(CC, CP) AMER EXP &amp; AFRCN DNCE",3,Africana Studies,,
AFST 043,"(CC,LT) DCLNZG MND:AFR/SE ASIA",3,Africana Studies,,
AFST 047,"(LT) AFRICA, GREECE, AND ROME",3,Africana Studies,,
AFST 050,(IS) FROM CIVIL RIGHTS TO BLM,3,Africana Studies,,
AFST 051,READINGS IN AFRICAN THOUGHT,1,Africana Studies,,
AFST 052,READINGS IN AFRICAN THOUGHT,1,Africana Studies,,
AFST 102,(BH) AFRICAN CULTURES,3,Africana Studies,,
