courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
BIOL 114 —,Biological Principles,,Biology,,
BIOL 161 —,Introduction to Cell & Molecular Biology,,Biology,,
BIOL 162 —,Introduction to Organismal Biology,,Biology,,
BIOL 163 —,Introduction to Biol Diversity and Ecology,,Biology,,
BIOL 199-R01 —,Introduction to Human Nutrition,,Biology,,
BIOL 201 —,Microbiology of a Hurricane,,Biology,,
BIOL 210 —,Medical Microbiology,,Biology,,
BIOL 211 —,Anatomy & Physiology I,,Biology,,
BIOL 212 —,Anatomy and Physiology 2,,Biology,,
BIOL 213 —,Comparative Vertebrate Anatomy,,Biology,,
BIOL 214 —,Comparative Biomechanics,,Biology,,
BIOL 220 —,Entomology,,Biology,,
BIOL 223 —,Microbiology,,Biology,,
BIOL 232 —,Developmental Biology Lecture,,Biology,,
BIOL 233 —,Freshwater Ecology,,Biology,,
BIOL 234 —,Freshwater Ecology Lab,,Biology,,
BIOL 235 —,Marine Biology,,Biology,,
BIOL 237 —,Plant Ecology,,Biology,,
BIOL 241 —,Virology,,Biology,,
BIOL 242 —,Virology Lab,,Biology,,
BIOL 261 —,Genetics,,Biology,,
BIOL 263 —,Genetics Lab,,Biology,,
BIOL 266 —,Cell Biology,,Biology,,
BIOL 268 —,Cell Biology Lab,,Biology,,
BIOL 269 —,Neurobiology Lecture,,Biology,,
BIOL 270 —,Neurobiology Lab,,Biology,,
BIOL 275 —,Biological Statistics,,Biology,,
BIOL 280 —,Ecology,,Biology,,
BIOL 282 —,Ecology Lab,,Biology,,
BIOL 283 —,Evolution,,Biology,,
BIOL 285 —,Invertebrate Biology,,Biology,,
BIOL 292 —,Comparative Physiology,,Biology,,
BIOL 301 —,Biochemistry 1,,Biology,,
BIOL 302 —,Biochemistry 2,,Biology,,
BIOL 303 —,Biochemistry 1 Lab,,Biology,,
BIOL 304 —,Biochemistry 2 Lab,,Biology,,
BIOL 310 —,Molecular Biology of Cancer,,Biology,,
