courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 221,Financial Accounting,,ACCT,,
ACCT 222,Managerial Accounting,,ACCT,,
ACCT 295,Studies in Accounting,,ACCT,,
ACCT 321,Intermediate Accounting I,,ACCT,,
ACCT 322,Intermediate Accounting II,,ACCT,,
ACCT 333,Accounting Information Systems,,ACCT,,
ACCT 361,Accounting Practicum I,,ACCT,,
ACCT 362,Accounting Practicum II,,ACCT,,
ACCT 375,Cost Accounting,,ACCT,,
ACCT 395,Advanced Studies in Accounting,,ACCT,,
ACCT 423,Auditing,,ACCT,,
ACCT 425,Individual Taxation,,ACCT,,
ACCT 426,Corporate Tax and Research,,ACCT,,
ACCT 427,Advanced Accounting,,ACCT,,
ACCT 428,Governmental and Not-for-Profit Accounting,,ACCT,,
ACCT 430,Ethics in Accounting,,ACCT,,
ACCT 490,Independent Studies in Accounting,,ACCT,,
ACCT 495,Advanced Studies in Accounting,,ACCT,,
AES 210,Introduction to American Ethnic Studies,,AES,,
AES 490,Independent Study,,AES,,
AES 494,Capstone Seminar,,AES,,
APPL 299,Applied Learning Internship,,APPL,,
APPL 399,Applied Learning Internship,,APPL,,
APPL 499,Applied Learning Internship,,APPL,,
ART 195,Special Topics in Art,,ART,,
ART 295,Advanced Special Studies,,ART,,
ART 395,Advanced Special Studies,,ART,,
ART 499,Art Internship,,ART,,
ART 105,Basic Design,,ART,,
ART 112,Color and Context,,ART,,
ART 113,Basic Painting,,ART,,
ART 114,Basic Drawing,,ART,,
ART 115,Basic Sculpture,,ART,,
ART 116,Basic Printmaking,,ART,,
ART 117,Basic Ceramics,,ART,,
ART 121,Basic Photographic Arts,,ART,,
ART 130,Time-Based Media,,ART,,
ART 205,Design II,,ART,,
ART 213,Painting II,,ART,,
ART 214,Drawing II,,ART,,
ART 215,Sculpture II,,ART,,
ART 217,Ceramics II,,ART,,
ART 221,Photography II,,ART,,
ART 224,Figure Drawing,,ART,,
ART 305,Elementary Art Education Methods,,ART,,
ART 305F,Elementary Art Education Methods Field Placement,,ART,,
ART 306,Teaching Visual Arts in Secondary Schools,,ART,,
ART 306F,Teaching Visual Arts in Secondary Schools Clinical Experience,,ART,,
ART 307,Field Experience in Art Education,,ART,,
ART 350,Art Studio Seminar,,ART,,
ART 365,Independent Studio Projects,,ART,,
ART 490,Special Problems in Studio,,ART,,
ART 100V,Austrian Art and Architecture,,ART,,
ART 111,Introduction to Art History,,ART,,
ART 231,"3rd through 14th Century Arts: Jewish, Christian and Muslim Perspectives",,ART,,
ART 232,"14th through 16th Century Arts: Tradition, Innovation, and Global Exchange",,ART,,
ART 233,"16th through 18th Century Arts: Splendor, Spectacle, and Cultural Encounters",,ART,,
ART 241,Modern Art: Counter Cultures from the Turn of the 20th Century to the Post-War Period,,ART,,
ART 242,Global Art Since 1960,,ART,,
ART 245,Introduction to the Arts of the Islamic World,,ART,,
ART 250,"Art, History, and Global Citizenship in Paris",,ART,,
ART 360,Special Problems in Art History,,ART,,
ART 361,Special Projects in Art History,,ART,,
ART 399,Art History Internship,,ART,,
ART 491,Independent Study in Art History,,ART,,
ART 494,Introduction to Theory and Methods,,ART,,
ART 495,Special Studies in Art,,ART,,
BIOL 102A,Organisms and Environments Pre-Kindergarten through 3rd Grades,,BIOL,,
BIOL 102B,Organisms and Environments 3rd through 6th Grades,,BIOL,,
BIOL 103,Introduction to Cell Biology,,BIOL,,
BIOL 103L,Introduction to Cell Biology Laboratory,,BIOL,,
BIOL 105,General Biology I,,BIOL,,
BIOL 106,General Biology II,,BIOL,,
BIOL 107,General Biology Laboratory I,,BIOL,,
BIOL 107D,General Biology Laboratory I Discussion,,BIOL,,
BIOL 108,General Biology Laboratory II,,BIOL,,
BIOL 108D,General Biology Laboratory II Discussion,,BIOL,,
BIOL 123,Day 1 Watershed Laboratory II,,BIOL,,
