courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 2150,Legal Environment of Business,"(3, 3)",,,
ACCT 2840,Financial Accounting,"(3, 3)",,,
ACCT 2850,Managerial Accounting,"(3, 3)",,,
ACCT 3010,The Accounting Cycle,"(1, 1)",,,
ACCT 3150,Business Data Streams and Issues,"(None, None)",,,
ACCT 3830,Intermediate Managerial Accounting,"(3, 3)",,,
ACCT 3840,Accounting Information Systems and Analytics,"(3, 3)",,,
ACCT 3860,Intermediate Financial Accounting I,"(3, 3)",,,
ACCT 3870,Intermediate Financial Accounting II,"(3, 3)",,,
ACCT 4010,Financial Management for Healthcare Organizations,"(None, None)",,,
ACCT 4160,Business Law,"(None, None)",,,
ACCT 4420X,Generative AI in Business Decision-Making,"(None, None)",,,
ACCT 4610,Entrepreneurship and Accounting Information,"(None, None)",,,
ACCT 4830,Application and Communication in Managerial Accounting,"(None, None)",,,
ACCT 4840,Advanced Accounting Information Systems,"(None, None)",,,
ACCT 4850,Principles of Federal Income Tax,"(3, 3)",,,
ACCT 4870,Volunteer Income Tax Assistance,"(None, None)",,,
ACCT 4880,Governmental and Non-profit Institution Accounting,"(None, None)",,,
ACCT 4890,Sustainability Reporting,"(None, None)",,,
ACCT 4900,Independent Study,"(1, 3)",,,
ACCT 4930,Corporate Taxation,"(None, None)",,,
ACCT 4950,Advanced Financial Accounting Problems,"(None, None)",,,
ACCT 4960,Accounting in the Global Economy,"(None, None)",,,
ACCT 4970,Introduction to Auditing,"(3, 3)",,,
ACCT 4980,Accounting Communication and Analysis,"(3, 3)",,,
ACCT 5010,Financial Accounting,"(3, 3)",,,
ACCT 5150,Accounting Analytics,"(3, 3)",,,
ACCT 5160,Business Law,"(None, None)",,,
ACCT 5420X,Generative AI in Business Decision-Making,"(None, None)",,,
ACCT 5610,Entrepreneurship and Accounting Information,"(None, None)",,,
ACCT 5710,Real Estate Law,"(3, 3)",,,
ACCT 5800A,CPA Exam Preparation - AUD,"(3, 3)",,,
ACCT 5800B,CPA Exam Preparation - BEC,"(3, 3)",,,
ACCT 5800C,CPA Exam Preparation - FAR,"(3, 3)",,,
ACCT 5800D,CPA Exam Preparation - REG,"(3, 3)",,,
ACCT 5800E,CMA Exam Preparation - Part 1,"(3, 3)",,,
ACCT 5800F,CMA Exam Preparation - Part 2,"(3, 3)",,,
ACCT 5810,Accounting for Decision Making,"(3, 3)",,,
ACCT 5820,Corporate Governance and Top Management,"(None, None)",,,
ACCT 5830,Application and Communication in Managerial Accounting,"(None, None)",,,
ACCT 5840,Advanced Accounting Information Systems,"(None, None)",,,
ACCT 5850,Taxes and Business Strategy,"(3, 3)",,,
ACCT 5860,Advanced Federal Taxation,"(3, 3)",,,
ACCT 5870,Volunteer Income Tax Assistance,"(None, None)",,,
