courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AAS 100,Intro Asian American Studies,"(3, 3)",Asian American Studies,,
AAS 105,Introduction to Arab American Studies,"(3, 3)",Asian American Studies,,
AAS 120,Intro to Asian Am Pop Culture,"(3, 3)",Asian American Studies,,
AAS 199,Undergraduate Open Seminar,"(1, 5)",Asian American Studies,,
AAS 200,U.S. Race and Empire,"(3, 3)",Asian American Studies,,
AAS 201,US Racial & Ethnic Politics,"(3, 3)",Asian American Studies,,
AAS 203,"Race, Science, and Technology","(3, 3)",Asian American Studies,,
AAS 211,Asian Americans and the Arts,"(3, 3)",Asian American Studies,,
AAS 215,US Citizenship Comparatively,"(3, 3)",Asian American Studies,,
AAS 246,Asian American Youth in Film,"(3, 3)",Asian American Studies,,
AAS 258,Muslims in America,"(3, 3)",Asian American Studies,,
AAS 260,Intro Asian American Theatre,"(3, 3)",Asian American Studies,,
AAS 275,The Politics of Fashion,"(3, 3)",Asian American Studies,,
AAS 281,Constructing Race in America,"(3, 3)",Asian American Studies,,
AAS 282,Feminist and Queer Activisms,"(3, 3)",Asian American Studies,,
AAS 283,Asian American History,"(3, 3)",Asian American Studies,,
AAS 286,Asian American Literature,"(3, 3)",Asian American Studies,,
AAS 287,Food and Asian Americans,"(3, 3)",Asian American Studies,,
AAS 288,Global Islam and Feminisms,"(3, 3)",Asian American Studies,,
AAS 290,Individual Study,"(2, 3)",Asian American Studies,,
AAS 291,Hinduism in the United States,"(3, 3)",Asian American Studies,,
AAS 297,Asian Families in America,"(3, 3)",Asian American Studies,,
AAS 299,Begin Topics Asian Am Studies,"(3, 3)",Asian American Studies,,
AAS 300,"Theories of Race, Gender, and Sexuality","(3, 3)",Asian American Studies,,
AAS 310,Race and Cultural Diversity,"(4, 4)",Asian American Studies,,
AAS 315,"War, Memory, and Cinema","(3, 3)",Asian American Studies,,
AAS 317,Asian American Politics,"(3, 3)",Asian American Studies,,
AAS 343,Criminalization and Punishment,"(3, 3)",Asian American Studies,,
AAS 346,Asian American Youth,"(3, 3)",Asian American Studies,,
AAS 355,Race and Mixed Race,"(3, 3)",Asian American Studies,,
AAS 357,Literatures of the Displaced,"(3, 3)",Asian American Studies,,
AAS 365,Asian American Media and Film,"(3, 3)",Asian American Studies,,
AAS 370,"Immigration, Law, and Rights","(3, 3)",Asian American Studies,,
AAS 375,"Prisons, Race, and Terror","(3, 3)",Asian American Studies,,
AAS 390,Intermed Topics Asian Am St,"(3, 3)",Asian American Studies,,
AAS 395,Adv Asian Am Undergrad Reading,"(2, 2)",Asian American Studies,,
AAS 400,Critical Ethnic Studies,"(3, 3)",Asian American Studies,,
AAS 402,Asian American Education,"(4, 4)",Asian American Studies,,
AAS 435,Commodifying Difference,"(3, 3)",Asian American Studies,,
AAS 464,Theories & Theologies of Liberation,"(3, 3)",Asian American Studies,,
AAS 465,"Race, Sex, and Deviance","(3, 3)",Asian American Studies,,
AAS 479,"Race, Medicine, and Society","(3, 3)",Asian American Studies,,
AAS 490,Adv Topics in Asian Am Studies,"(3, 3)",Asian American Studies,,
AAS 494,Writing with Performance: Politics of Love,"(3, 3)",Asian American Studies,,
AAS 495,Minoritarian Aesthetics Practicum,"(3, 3)",Asian American Studies,,
AAS 496,Experiments in Queer of Color Performance,"(3, 3)",Asian American Studies,,
AAS 501,Theory and Methods in AAS,"(4, 4)",Asian American Studies,,
