courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AAS 287,Independent Study in African American Studies,1-3,Interdisciplinary Studies,Undergraduate,
AAS 291,Undergraduate Teaching in African American Studies,1-3,Interdisciplinary Studies,Undergraduate,
AAS 398A01,Professional Practice: Internship in African American Studies,1-3,Interdisciplinary Studies,Undergraduate,
ACC 131,Financial Accounting,3,Accounting,Undergraduate,
ACC 132,Managerial Accounting,3,Accounting,Undergraduate,
ACC 230,Cost And Management Accounting,3,Accounting,Undergraduate,
ACC 231,Intermediate Accounting I,3,Accounting,Undergraduate,
ACC 232,Intermediate Accounting II,3,Accounting,Undergraduate,
ACC 233,Federal Income Taxation,3,Accounting,Undergraduate,
ACC 235,Auditing,3,Accounting,Undergraduate,
ACC 236,Ethics and Leadership for Accountants,3,Accounting,Undergraduate,
ACC 239,Income Tax Planning,3,Accounting,Undergraduate,
ACC 263,Accounting Information Systems,3,Accounting,Undergraduate,
ACC 287,Independent Study,1-6,Accounting,Undergraduate,
ACC 291,Undergraduate Teaching Experience In Accounting,1-3,Accounting,Undergraduate,
ACC 298,Professional Practice: Internship/Coop Education In Accounting,1-6,Accounting,Undergraduate,
ACC 299,Independent Honor Study,1-6,Accounting,Undergraduate,
ACC 303,Sustainability and ESG Reporting,3,Accounting,Undergraduate,
ACC 330,Accounting For Non-Profit Entities,3,Accounting,Undergraduate,
ACC 334,Advanced Tax,3,Accounting,Undergraduate,
ACC 336,Advanced Auditing,3,Accounting,Undergraduate,
ACC 337,Advanced Financial Accounting,3,Accounting,Undergraduate,
ACC 340,International Accounting,3,Accounting,Undergraduate,
ACC 353,Forensic Analytics,3,Accounting,Undergraduate,
ACC 398,Professional Practice: Internship In Accounting,1-6,Accounting,Undergraduate,
ACC 400,Independent Study,1-4,Accounting,Graduate,
ACC 403,Sustainability & ESG Reporting,3,Accounting,Graduate,
ACC 410,Accounting For Non-Profit Entities,3,Accounting,Graduate,
ACC 430,Financial Accounting Theory,3-4,Accounting,Graduate,
ACC 431,Current Issues In Accounting,3-4,Accounting,Graduate,
ACC 434,Federal Taxes And Management Decisions,3,Accounting,Graduate,
ACC 435,Auditing Issues And Cases,3-4,Accounting,Graduate,
ACC 437,Financial Statement Analysis/Equity Valuation,3,Accounting,Graduate,
ACC 439,Managerial Accounting Theory,3,Accounting,Graduate,
ACC 440,International Accounting,3,Accounting,Graduate,
ACC 444,Advanced Tax,3,Accounting,Graduate,
ACC 446,Advanced Auditing,3,Accounting,Graduate,
ACC 447,Advanced Financial Accounting,3,Accounting,Graduate,
ACC 451,Forensic Analytics,3,Accounting,Graduate,
ACC 452,Fraud Examination and Forensic Accounting,3,Accounting,Graduate,
ACC 453,Advanced Forensic Analytics,3,Accounting,Graduate,
ACC 497,Introduction To Research Methodology,3-4,Accounting,Graduate,
ACC 498,Professional Practice: Internship In Accounting,1-3,Accounting,Graduate,
ACC 398A01,Professional Practice: Internship In Business Information Systems,1-6,Accounting,Undergraduate,
ACC 498A01,Professional Practice: Internship In Business Information Systems,1-6,Accounting,Graduate,
AGR 109,Introduction To The Agricultural Industry,3,Agriculture,Undergraduate,
AGR 110,Introductory Agricultural Economics,3,Agriculture,Undergraduate,
AGR 120,Introductory Horticulture,3,Agriculture,Undergraduate,
AGR 130,Introduction To Agricultural Engineering Technology,3,Agriculture,Undergraduate,
AGR 150,Principles Of Agronomy,4,Agriculture,Undergraduate,
AGR 157,Soil Science,4,Agriculture,Undergraduate,
AGR 170,Introduction To Animal Science,4,Agriculture,Undergraduate,
AGR 190,Introduction To Agricultural Education,2,Agriculture,Undergraduate,
AGR 191,Introduction To Agricultural Education Teacher Licensure,2,Agriculture,Undergraduate,
AGR 192,Introduction To Agricultural Communications And Leadership,1,Agriculture,Undergraduate,
AGR 198,Professional Practice: Farm Internship,1-6,Agriculture,Undergraduate,
AGR 201,"Resources, Food & Society: A Global Perspective",3,Agriculture,Undergraduate,
AGR 203,Agriculture And The Environment,3,Agriculture,Undergraduate,
AGR 205,Microcomputer Applications In Agriculture,3,Agriculture,Undergraduate,
AGR 213,Farm Management,3,Agriculture,Undergraduate,
AGR 214,Agriculture Marketing,3,Agriculture,Undergraduate,
AGR 215,Farm Supply & Food Industry Management,3,Agriculture,Undergraduate,
AGR 216,Financial Accounting For Agricultural Producers,3,Agriculture,Undergraduate,
AGR 220,Animal Growth and Development,3,Agriculture,Undergraduate,
AGR 225,Renewable Energy & Agriculture,3,Agriculture,Undergraduate,
AGR 231,Managing & Teaching In Agricultural & Technology Laboratories,3,Agriculture,Undergraduate,
AGR 234,Soil And Water Conservation,3,Agriculture,Undergraduate,
AGR 236,Livestock Parturition and Breeding Management,3,Agriculture,Undergraduate,
AGR 251,Forage Management,3,Agriculture,Undergraduate,
AGR 252,Urban Landscape Management,3,Agriculture,Undergraduate,
AGR 254,Herbaceous Plant Material,3,Agriculture,Undergraduate,
AGR 255,Landscape Plants - Fall,3,Agriculture,Undergraduate,
AGR 256,Landscape Plants II,3,Agriculture,Undergraduate,
AGR 257,Fruit And Vegetable Production,3,Agriculture,Undergraduate,
AGR 262,Ornamental Plant Production,3,Agriculture,Undergraduate,
AGR 271,Foods Of Animal Origin,3,Agriculture,Undergraduate,
AGR 272,Agricultural Genetics,3,Agriculture,Undergraduate,
AGR 275,Introduction To Animal Nutrition,4,Agriculture,Undergraduate,
AGR 280,Livestock And Dairy Cattle Selection,3,Agriculture,Undergraduate,
AGR 282,Anatomy and Physiology of Livestock,3,Agriculture,Undergraduate,
AGR 283,Reproductive Physiology Of Livestock,3,Agriculture,Undergraduate,
AGR 285,Meat Science,3,Agriculture,Undergraduate,
AGR 286,Behavior and Welfare of Domestic Animals,3,Agriculture,Undergraduate,
